FunctionId,Dimension,Algorithm,RunId,Seed,BestObjective,Feasible,TotalViolation,NormalizedViolation,FEs,FirstFeasibleFE,Runtime,CVFTriggers,CVFSuccesses,CVFExtraFEs
1,10,AE,1,21261625,4.16365730639096,1,0,0,3000,5,0.2150399,0,0,0
1,10,AE,2,21261626,2.47429824464858,1,0,0,3000,1,0.20031,0,0,0
1,10,AE,3,21261627,1.97585555442923,1,0,0,3000,1,0.1624277,0,0,0
1,10,CVF-AE,1,21261625,3.22978494270442,1,0,0,3000,5,0.1848554,2,2,2
1,10,CVF-AE,2,21261626,1.78863355528913,1,0,0,3000,1,0.2169724,1,1,1
1,10,CVF-AE,3,21261627,2.25361302237058,1,0,0,3000,1,0.2152753,3,3,3
1,10,CVF-AE-w/o-CVF,1,21261625,4.16365730639096,1,0,0,3000,5,0.1858627,0,0,0
1,10,CVF-AE-w/o-CVF,2,21261626,2.47429824464858,1,0,0,3000,1,0.1637338,0,0,0
1,10,CVF-AE-w/o-CVF,3,21261627,1.97585555442923,1,0,0,3000,1,0.1828162,0,0,0
1,10,DE,1,21261625,116.427241807587,1,0,0,3000,5,0.1336022,0,0,0
1,10,DE,2,21261626,20.1902518196642,1,0,0,3000,1,0.1229763,0,0,0
1,10,DE,3,21261627,158.050395128314,1,0,0,3000,1,0.175364,0,0,0
1,10,PSO,1,21261625,0.252557486848002,1,0,0,3000,5,0.1274926,0,0,0
1,10,PSO,2,21261626,0.80303271446994,1,0,0,3000,1,0.0951086,0,0,0
1,10,PSO,3,21261627,2.54306393914454,1,0,0,3000,1,0.1121771,0,0,0
3,10,AE,1,21263625,19401.7597761889,0,0.0105631520952665,0.0102966515672692,3000,NaN,0.1657343,0,0,0
3,10,AE,2,21263626,8159.62344533356,0,0.0334122318612393,0.0312753977206235,3000,NaN,0.1606616,0,0,0
3,10,AE,3,21263627,23775.7877042607,0,0.00522658445633384,0.00512353958557366,3000,NaN,0.1889803,0,0,0
3,10,CVF-AE,1,21263625,19401.7597761889,0,0.0105631520952665,0.0102966515672692,3000,NaN,0.183123,0,0,0
3,10,CVF-AE,2,21263626,8159.62344533356,0,0.0334122318612393,0.0312753977206235,3000,NaN,0.2108726,0,0,0
3,10,CVF-AE,3,21263627,23775.7877042607,0,0.00522658445633384,0.00512353958557366,3000,NaN,0.1704423,0,0,0
3,10,CVF-AE-w/o-CVF,1,21263625,19401.7597761889,0,0.0105631520952665,0.0102966515672692,3000,NaN,0.1689441,0,0,0
3,10,CVF-AE-w/o-CVF,2,21263626,8159.62344533356,0,0.0334122318612393,0.0312753977206235,3000,NaN,0.1654144,0,0,0
3,10,CVF-AE-w/o-CVF,3,21263627,23775.7877042607,0,0.00522658445633384,0.00512353958557366,3000,NaN,0.1775536,0,0,0
3,10,DE,1,21263625,210869.237047281,0,0.033421233325118,0.031283308172693,3000,NaN,0.1207052,0,0,0
3,10,DE,2,21263626,184477.778201304,0,0.0148463294429462,0.0143710518089329,3000,NaN,0.1310433,0,0,0
3,10,DE,3,21263627,105911.717484855,0,0.0122226827501812,0.0118833775796264,3000,NaN,0.1266886,0,0,0
3,10,PSO,1,21263625,70888.1725336992,0,8.86409435505442e-05,3.86379575362721e-05,3000,NaN,0.1056779,0,0,0
3,10,PSO,2,21263626,37017.8376530932,0,0.00605347751263707,0.005932249262543,3000,NaN,0.1075597,0,0,0
3,10,PSO,3,21263627,64523.5655443043,1,0,0,3000,2352,0.0917176,0,0,0
6,10,AE,1,21266625,442.427947313835,0,2.13314206909669,0.580846425803744,3000,NaN,0.1800014,0,0,0
6,10,AE,2,21266626,1308.01164702777,0,3.35376213732602,0.62729471909116,3000,NaN,0.1687944,0,0,0
6,10,AE,3,21266627,1770.40195385913,0,4.50103302112239,0.729934877226879,3000,NaN,0.2026194,0,0,0
6,10,CVF-AE,1,21266625,1054.70103135048,0,2.84027168539878,0.616733686134872,3000,NaN,0.1941152,126,74,126
6,10,CVF-AE,2,21266626,794.410128687501,0,2.56033436741848,0.574461053566106,3000,NaN,0.1896804,45,19,45
6,10,CVF-AE,3,21266627,2034.85596574383,0,4.70091711958816,0.734093455086034,3000,NaN,0.1922465,123,47,123
6,10,CVF-AE-w/o-CVF,1,21266625,442.427947313835,0,2.13314206909669,0.580846425803744,3000,NaN,0.2077606,0,0,0
6,10,CVF-AE-w/o-CVF,2,21266626,1308.01164702777,0,3.35376213732602,0.62729471909116,3000,NaN,0.2253846,0,0,0
6,10,CVF-AE-w/o-CVF,3,21266627,1770.40195385913,0,4.50103302112239,0.729934877226879,3000,NaN,0.2748334,0,0,0
6,10,DE,1,21266625,2033.16679256896,0,5.05894990622459,0.710497537480171,3000,NaN,0.2064106,0,0,0
6,10,DE,2,21266626,594.207517802355,0,3.27799609333643,0.612379863956613,3000,NaN,0.2782604,0,0,0
6,10,DE,3,21266627,672.400361937697,0,2.9984423912555,0.546426303808868,3000,NaN,0.28098,0,0,0
6,10,PSO,1,21266625,9899.58473132781,0,9.5232223605018,0.691811474263013,3000,NaN,0.1669926,0,0,0
6,10,PSO,2,21266626,4247.65487130039,0,4.34242144365878,0.635815170594447,3000,NaN,0.1683675,0,0,0
6,10,PSO,3,21266627,9462.86960468268,0,6.17177227332813,0.572517612743712,3000,NaN,0.2298958,0,0,0
14,10,AE,1,21274625,4.00312484016593,0,0.521050694981587,0.289756717716709,3000,NaN,0.3603756,0,0,0
14,10,AE,2,21274626,4.35533936113764,0,0.528123784161552,0.332840480685712,3000,NaN,0.3717809,0,0,0
14,10,AE,3,21274627,4.19432547411291,0,0.835397225098202,0.408078609514151,3000,NaN,0.3112847,0,0,0
14,10,CVF-AE,1,21274625,4.19802512180344,0,0.981446038071496,0.483772081819461,3000,NaN,0.4060572,13,9,13
14,10,CVF-AE,2,21274626,4.44149605934319,0,0.885406035468197,0.410399319602174,3000,NaN,0.3740559,80,49,80
14,10,CVF-AE,3,21274627,3.82691063034707,0,1.31348946770648,0.447843079511496,3000,NaN,0.2501558,39,24,39
14,10,CVF-AE-w/o-CVF,1,21274625,4.00312484016593,0,0.521050694981587,0.289756717716709,3000,NaN,0.3397362,0,0,0
14,10,CVF-AE-w/o-CVF,2,21274626,4.35533936113764,0,0.528123784161552,0.332840480685712,3000,NaN,0.2369095,0,0,0
14,10,CVF-AE-w/o-CVF,3,21274627,4.19432547411291,0,0.835397225098202,0.408078609514151,3000,NaN,0.2430174,0,0,0
14,10,DE,1,21274625,3.9883005492917,0,0.00011875915308579,6.87496987436691e-05,3000,NaN,0.1729556,0,0,0
14,10,DE,2,21274626,4.0119619596682,0,5.46011038378147e-05,4.60106149789126e-06,3000,NaN,0.2151678,0,0,0
14,10,DE,3,21274627,4.01638133265812,0,0.000447605433482767,0.000397289504551417,3000,NaN,0.2386095,0,0,0
14,10,PSO,1,21274625,3.74962389126367,1,0,0,3000,2035,0.1684657,0,0,0
14,10,PSO,2,21274626,3.95524224049196,0,0.00014538878175574,9.53705871874855e-05,3000,NaN,0.1859393,0,0,0
14,10,PSO,3,21274627,3.93220299779633,1,0,0,3000,1782,0.178776,0,0,0
18,10,AE,1,21278625,115.273899783853,0,368.385994724234,0.33303198997349,3000,NaN,0.22985,0,0,0
18,10,AE,2,21278626,897.927102739736,0,1049.38064475691,0.333227484390708,3000,NaN,0.234399,0,0,0
18,10,AE,3,21278627,84.0990525685361,0,44.7386057759437,0.330868136683707,3000,NaN,0.2527516,0,0,0
18,10,CVF-AE,1,21278625,80.2635017300358,0,66.7869629630262,0.331677929939394,3000,NaN,0.3753839,39,17,39
18,10,CVF-AE,2,21278626,1595.76079307523,0,1512.67211992661,0.665871991988016,3000,NaN,0.3500599,114,43,114
18,10,CVF-AE,3,21278627,79.8570124979226,0,22.6994963946457,0.32850929420203,3000,NaN,0.2115771,17,9,17
18,10,CVF-AE-w/o-CVF,1,21278625,115.273899783853,0,368.385994724234,0.33303198997349,3000,NaN,0.2032512,0,0,0
18,10,CVF-AE-w/o-CVF,2,21278626,897.927102739736,0,1049.38064475691,0.333227484390708,3000,NaN,0.3512586,0,0,0
18,10,CVF-AE-w/o-CVF,3,21278627,84.0990525685361,0,44.7386057759437,0.330868136683707,3000,NaN,0.3032253,0,0,0
18,10,DE,1,21278625,93.5405306330835,0,4724.93494557285,0.333309819089202,3000,NaN,0.2214849,0,0,0
18,10,DE,2,21278626,219.25,0,739.654333089329,0.333183180673826,3000,NaN,0.1990403,0,0,0
18,10,DE,3,21278627,581.269596890978,0,277.623275102866,0.332933590635863,3000,NaN,0.1759265,0,0,0
18,10,PSO,1,21278625,69.1887871960552,0,36.8204650340061,0.330342758595903,3000,NaN,0.1509717,0,0,0
18,10,PSO,2,21278626,659.04153075728,0,26.1271778210706,0.329134198613905,3000,NaN,0.1997077,0,0,0
18,10,PSO,3,21278627,51.6312454597103,0,0.141320831238839,0.099228330354234,3000,NaN,0.1531788,0,0,0
