Function,AE Mean,AE Std,AE Best,AE Worst,AE Median,FAEAE Mean,FAEAE Std,FAEAE Best,FAEAE Worst,FAEAE Median
F1,9955474.12612161,1149639.29263065,8080687.54757429,12007853.4059607,9954677.98974618,104802231.920644,16209612.5018769,66177064.6790514,125119697.763718,109649330.387476
F3,41744.4391872631,8510.52445246331,26217.4257189419,73670.7917376723,41191.0814633498,15661.6667026215,4857.05741857695,8244.35527652866,25348.9126389035,15785.5610266508
F4,506.592107965915,15.8560649062694,471.32165571682,517.138433544699,514.516384835648,514.846832276563,16.0546653584773,481.693155771108,534.159725083455,521.518574280881
F5,691.717486516398,32.4982466971181,635.32115555045,770.492164001816,691.651744883592,659.582546882232,24.7747604136658,622.158048197642,721.98043975772,654.034521957188
F6,661.808336059902,7.46431947250189,647.799367461767,684.487145163735,662.142536191257,618.399043570553,8.82140084098112,606.435473131191,641.155769794605,616.985144052185
F7,995.096653898169,31.1890060852921,942.206095978877,1047.74286283891,1000.44188425204,917.694679383,10.9121222517335,899.307972403124,936.678102113984,918.280017441306
F8,926.951123566466,19.7029244351932,890.224225259032,971.815644352395,926.647144851759,941.537513253234,21.9354619485729,902.345737661276,1011.81635104636,937.039843210304
F9,7471.4862112271,1291.19291871595,4829.77620826311,9724.06877902049,7106.3460787218,1272.17471783626,705.509516659458,919.075657368245,3663.23457133076,934.946812389837
F10,6340.70571056388,1317.62382755163,3936.36346495493,8006.68860489142,6701.43524349228,5431.17503953745,733.927178508568,4151.2302018887,7136.2990232666,5430.74860434484
F11,1233.12491922936,26.3189955532192,1180.41495796391,1281.10461146107,1231.62462221289,1276.61761468031,35.459128661237,1220.36337033366,1342.76093355465,1279.67545409722
F12,11446179.9810194,7136459.88670718,2923011.70609487,29204077.8421151,9360695.59018299,24373716.2726521,6523000.76270634,12757327.4305599,36953456.6050984,24110078.2591731
F13,925209.271082234,248810.11274442,300597.819714639,1253054.93283484,935406.062492806,8791248.09228747,2213690.11484107,4443342.52850987,13659361.5540774,9021468.44646912
F14,40344.8679862661,30600.4378750012,3953.46352214327,138958.241856528,30093.0238797589,16739.9241977983,12529.1634779147,2505.46745164057,49608.9099529648,12073.2588677132
F15,170814.775967904,78650.9583764924,65106.4190872428,339785.350949376,149948.5300975,1327940.69796086,573094.274382653,242982.245537331,2404722.40942008,1306184.05443262
F16,2973.08829178813,267.689294258132,2467.33521522161,3494.769636573,2988.0249181724,2628.70322104031,144.594838177021,2275.41736573605,2986.0266602076,2633.3026719744
F17,2514.57600683798,316.772273272465,1935.96282774106,3077.04772067384,2537.03937304382,2086.3824327772,107.01238856457,1951.01204409638,2412.68338082802,2048.75564810248
F18,377882.924445205,269478.809388365,64990.6527449269,1290780.34996601,316638.662942856,587636.557645798,507458.606433125,122769.126698693,2593269.55204263,419344.859832041
F19,1923770.04462486,1086916.63620592,238691.313168662,3699009.95516493,2070052.27216842,2769892.67070396,1038464.06489223,1494079.27764486,5423014.72086515,2400878.26589009
F20,2594.43414567922,185.70840980583,2373.89835351381,3061.32611134116,2551.11360033528,2478.06890912724,104.599432032399,2325.06164374512,2687.80115042704,2466.75331894246
F21,2503.38405051559,32.1438355788381,2426.46899898576,2563.85883051167,2505.18197593929,2430.58254409606,20.3444580283906,2389.63781616833,2484.16280833805,2431.63797540675
F22,3824.07804707815,2176.54123558597,2318.28229533578,7461.44378190013,2319.99554505283,2782.73792164613,1346.0052222565,2341.07714543747,7758.84877909532,2350.1095977926
F23,3177.53058104297,107.409252342515,3010.71807752596,3370.26320862193,3201.82929754733,2824.77766553202,40.3443289775702,2747.72761928176,2923.48267377761,2811.14457109939
F24,3179.5442929306,68.5296693635975,3055.09421974573,3294.49981124942,3187.451984844,2937.59080798054,47.1018357171073,2866.27778628648,3038.49341347805,2923.43209023823
F25,2924.71236181916,16.6928027447675,2887.87815679887,2945.38264492527,2929.47908350737,2928.13627958893,18.2680680434471,2893.49057899026,2950.43340279749,2935.56765273248
F26,6434.71042534995,1821.95915145473,2872.55672613059,8156.5537453015,7289.94990107454,3292.53916642466,824.707694405579,2953.85305742561,6217.04320922232,2996.06869333925
F27,3722.10429844885,216.547465308813,3272.59021496245,4289.23519044828,3681.21188313054,3243.71328427779,23.2367320185273,3214.09996810463,3314.03851931961,3239.72705173491
F28,3223.19854246508,23.0578211817414,3201.10890628345,3267.15644143599,3210.75835356478,3245.82957274597,25.0837469503262,3210.23432025396,3281.75545986339,3237.39778982616
F29,4425.09157713037,239.585985631457,3802.78203538351,4984.50315563394,4474.98770672629,3936.18142389185,158.350665999742,3654.78479629288,4339.33343374758,3945.07479152454
F30,4755283.26264502,2001728.78261336,1993543.46584626,10939137.3062397,4529720.58674666,5865773.08697874,2170559.64396661,2620645.66930514,13461657.0885701,5491984.81044954
