Scene,Variant,MeanFitness,StdFitness,FeasibleRate,SceneRank,AverageRank,RuntimeSeconds,NEvals,FirstFeasibleIteration,RepairCount,CVFTriggerCount,CVFSuccessCount
1,CVF-AE,297.831801364604,3.11190201143395,1,1,1,27.4089501233333,9566.36666666667,1.93333333333333,515.233333333333,21.1333333333333,19.1666666666667
1,CVF-AE-w/o-CVF,298.211687631612,2.44708398399425,1,2,2,11.64591358,9545.1,1.5,515.1,0,0
1,CVF-AE-w/o-StateAdaptiveCVF,298.303684854115,3.21609369562628,1,3,3.33333333333333,24.53378375,9565.96666666667,1.73333333333333,515.333333333333,20.6333333333333,19.6666666666667
1,CVF-AE-w/o-SparsePreservation,300.776591986734,1.76853566374277,1,4,3.66666666666667,8.77849291333333,9060.93333333333,4.1,4.33333333333333,26.6,24.4333333333333
1,CVF-AE-w/o-Init,309.94844744007,9.63082224452996,1,5,5,11.8940086266667,9581.83333333333,19.6666666666667,491.4,60.4333333333333,41.5333333333333
1,Base-AE,654.047521060856,328.714214134176,0.633333333333333,6,6,4.37732100666667,9030,NaN,NaN,0,0
2,CVF-AE,300.661217364572,3.2775077673419,1,1,1,28.3060269366667,9551.6,4.6,511,10.6,7.9
2,CVF-AE-w/o-CVF,301.433029498659,2.29890205847115,1,2,2,12.0892565133333,9540.43333333333,4.66666666666667,510.433333333333,0,0
2,CVF-AE-w/o-StateAdaptiveCVF,301.816403969189,2.93321887813262,1,4,3.33333333333333,28.8627510466667,9560.86666666667,10.1666666666667,510.433333333333,20.4333333333333,14.5666666666667
2,CVF-AE-w/o-SparsePreservation,301.725271505035,3.54855393199508,1,3,3.66666666666667,8.64709356,9041.96666666667,4.93333333333333,0.6,11.3666666666667,8.33333333333333
2,CVF-AE-w/o-Init,314.425756957535,51.5188484966144,0.966666666666667,5,5,12.4178668866667,9614.86666666667,41.4827586206897,464.6,120.266666666667,90.7
2,Base-AE,1597.48289152937,342.479097072238,0,6,6,18.1763893466667,9030,NaN,NaN,0,0
3,CVF-AE,348.585570334195,21.815306818365,1,1,1,18.5574635633333,9367.06666666667,0,250.266666666667,86.8,59.5333333333333
3,CVF-AE-w/o-CVF,350.377927580968,20.1849266309853,1,2,2,13.28287806,9276.7,0,246.7,0,0
3,CVF-AE-w/o-StateAdaptiveCVF,361.312281976107,35.0403448813833,1,3,3.33333333333333,26.13774229,9321.83333333333,0,219.366666666667,72.4666666666667,46.2666666666667
3,CVF-AE-w/o-SparsePreservation,374.053364761204,20.1816682315274,1,4,3.66666666666667,9.61708791,9119.93333333333,0,0.0333333333333333,89.9,58
3,CVF-AE-w/o-Init,819.252692852453,527.665070360414,0.466666666666667,5,5,15.1009945366667,9801.93333333333,120.714285714286,368.166666666667,403.766666666667,341.666666666667
3,Base-AE,1643.73195315121,199.402741409474,0,6,6,11.5175831466667,9030,NaN,NaN,0,0
