Algorithm,AverageRank,AverageMeanFitness,AverageFeasibility,AverageNEvals,AverageRuntime
CVF-AE,2,316.188906529539,1,9492.76666666667,6.84867373333333
CPO,3,365.452880520233,0.911111111111111,9030,5.24750746444444
GDSAO,3,323.223049987381,1,17955,11.15970089
MSCSO,3.33333333333333,335.928181299334,0.977777777777778,21451.8555555556,14.0345156588889
ERIME,4.33333333333333,333.139057483156,1,9483.16666666667,6.72091470666667
DBO,5.33333333333333,352.991152795202,1,9030,5.87675518444444
GWO,7,431.662552329609,0.855555555555555,9030,5.35251839555555
HHO,8.33333333333333,581.578601887852,0.688888888888889,11470.3111111111,6.90147802666667
PSO,8.66666666666667,807.6387980299,0.444444444444444,9030,4.94711624888889
WOA,10,1004.22505976195,0.433333333333333,9030,5.26716696444444
AE,11,1377.33353500999,0.111111111111111,9030,5.39308167666667
