Scene,Algorithm,NumRuns,FeasibleRate,MeanBestFitness,StdBestFitness,MeanFinalViolation,MeanRuntime,MeanNEvals,MeanFirstFeasibleIter,MeanRepairCount,MeanRepairSuccessCount,MeanViabilityFieldCount,MeanViabilityFieldSuccessCount,MeanViabilityFieldNorm,MeanCVFObstacleFrac,MeanCVFNFZFrac,MeanCVFRiskFrac,MeanCVFAltitudeFrac,MeanCVFCurvatureFrac,MeanCVFBoundaryFrac,Rank
1,Base-AE,30,0.6,691.8684259648,367.744784673865,1.3,6.03035801,9030,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,6
1,CVF-AE-w/o-Init,30,1,316.956358600693,10.5298969679805,0,8.265322,9582.6,19.3333333333333,414.966666666667,219.7,137.633333333333,92.2,1.2993558165326,0.130333333333333,0.00577777777777778,0.159777777777778,0.0153333333333333,0.0243333333333333,0.00811111111111111,5
1,CVF-AE-w/o-StateAdaptiveCVF,30,1,298.107781061337,2.7332687326487,0,9.10877331,9566.13333333333,1.63333333333333,515.333333333333,140.933333333333,20.8,19.8,0.0683539644456067,0.0334444444444444,0,0.0301111111111111,0,0,0.000333333333333333,1
1,CVF-AE-w/o-SparsePreservation,30,1,307.720623768493,3.96076440664262,0,6.58733195666667,9141.33333333333,5.6,0,0,111.333333333333,92.1,0.586986707631654,0.168555555555556,0.00388888888888889,0.125,0,0.00466666666666667,0.032,4
1,CVF-AE-w/o-CVF,30,1,306.350392552863,3.25747419480548,0,7.41485403666667,9473.36666666667,3.3,443.366666666667,147.1,0,0,0,0,0,0,0,0,0,3
1,CVF-AE,30,1,305.801050606928,5.04558204931512,0,7.05332158,9570.76666666667,3.1,439.066666666667,138.666666666667,101.7,84.6666666666667,0.530147665100951,0.133444444444444,0.000333333333333333,0.159444444444444,0.002,0.00644444444444444,0.0166666666666667,2
2,Base-AE,30,0,2335.37878431355,498.851407089238,11.5333333333333,5.48892022666667,9030,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,6
2,CVF-AE-w/o-Init,30,0.966666666666667,348.274093093988,169.594894765797,0.166666666666667,7.98298888,9501.66666666667,74.8275862068966,323.066666666667,264.333333333333,148.6,106.8,1.471313093259,0.333444444444444,0,0,0.011,0.000111111111111111,0.0123333333333333,4
2,CVF-AE-w/o-StateAdaptiveCVF,30,0.933333333333333,427.473349260003,416.724204534175,0.566666666666667,8.60836240333333,9550.13333333333,41.8571428571429,436.766666666667,189.933333333333,83.3666666666667,61.6333333333333,0.724621710131592,0.133555555555556,0,0,0,0.00355555555555556,0.0417777777777778,5
2,CVF-AE-w/o-SparsePreservation,30,1,326.099973734554,9.56185851504836,0,7.01447033666667,9176.6,35.7666666666667,0,0,146.6,116.166666666667,1.38650864871786,0.233333333333333,0,0,0,0.0122222222222222,0.0974444444444445,3
2,CVF-AE-w/o-CVF,30,1,319.188169302,9.41442306378058,0,6.89641791333333,9390.43333333333,34.8333333333333,360.433333333333,181.333333333333,0,0,0,0,0,0,0,0,0,1
2,CVF-AE,30,1,322.73568885951,11.2398330240101,0,7.15395581333333,9505.96666666667,29.4333333333333,342.566666666667,174.266666666667,133.4,102.366666666667,1.30963217743281,0.248888888888889,0.00655555555555555,0,0.00177777777777778,0.00155555555555556,0.0704444444444444,2
4,Base-AE,30,0,1665.74544162155,208.27075405661,7.63917026821794,5.53562763333333,9030,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,6
4,CVF-AE-w/o-Init,30,0.666666666666667,590.680149561228,372.081008433389,1.33333333333333,8.39876274666667,9795.7,120.7,347.833333333333,182.566666666667,417.866666666667,332.8,2.66233108489045,0.685555555555556,0,0,0.00177777777777778,0,0,5
4,CVF-AE-w/o-StateAdaptiveCVF,30,1,361.790301145135,33.8787313729506,0,7.27602308333333,9316.16666666667,0,215.733333333333,122.733333333333,70.4333333333333,43.4,0.737153003357291,0.234222222222222,0,0,0,0,0.000555555555555556,3
4,CVF-AE-w/o-SparsePreservation,30,1,369.270191845729,21.3275520675098,0,6.58173382666667,9119.86666666667,0,0,0,89.8666666666667,58.9333333333333,1.07595031560544,0.273777777777778,0,0,0,0,0.0257777777777778,4
4,CVF-AE-w/o-CVF,30,1,356.60503237131,20.0256969687858,0,7.31349740666667,9252.03333333333,0,222.033333333333,147.666666666667,0,0,0,0,0,0,0,0,0,2
4,CVF-AE,30,1,348.84964998118,18.622963584136,0,8.26726393666667,9340.46666666667,0,220.833333333333,143.5,89.6333333333333,58.1333333333333,1.05417840811795,0.277888888888889,0,0,0,0,0.0208888888888889,1
