Scene,Algorithm,NumRuns,FeasibleRate,MeanBestFitness,MeanZ,MeanMaxZ,MeanHighAltitudeFrac,MeanVeryHighAltitudeFrac,MeanDetourRatio,MeanBoundaryDist,MeanBoundaryHugFrac,MeanControlPointBoundaryHugFrac,HighAltitudeFlagRate,BoundaryHugFlagRate,ExcessiveDetourFlagRate,ControlPointEdgeFlagRate,VisualReviewFlagRate
1,BASE_AE,30,0.633333333333333,654.047521060856,23.8532837301516,28.3640428004083,0.521363636363636,0.02,1.29581581112859,31.7808910538927,0.0067001675041876,0.0166666666666667,0.533333333333333,0,0,0,0.533333333333333
1,CVF_AE_W_O_CVF,30,1,306.198450220584,14.8738158348181,18.0322250467554,0,0,1.05776968408233,23.3794463245697,0.0150753768844221,0.0722222222222222,0,0,0,0,0
1,CVF_AE_W_O_INIT,30,1,316.996351911397,19.5243239551748,22.342893568077,0.158939393939394,0.0133333333333333,1.11498838049135,21.4432929631067,0.0725293132328308,0.166666666666667,0.166666666666667,0,0,0.0333333333333333,0.166666666666667
1,CVF_AE_W_O_SPARSEPRESERVATION,30,1,306.379264738591,15.0362797361789,18.0696004319093,0,0,1.05773921940401,23.0217071467125,0.0169179229480737,0.0666666666666667,0,0,0,0,0
1,CVF_AE_W_O_STATEADAPTIVECVF,30,1,298.303684854115,13.3432295556669,18.0034568112412,0,0,1.06688171988074,22.4740278054635,0.0190954773869347,0.1,0,0,0,0,0
1,CVF_AE,30,1,297.831801364604,13.3165215420034,18,0,0,1.06409851033653,22.7685358848232,0.0149078726968174,0.0611111111111111,0,0,0,0,0
2,BASE_AE,30,0,1597.48289152937,20.1427439128872,22.8475022200979,0.0583333333333333,0,1.30183767932894,35.191147291592,0.00770519262981575,0.0444444444444444,0.0666666666666667,0,0.0333333333333333,0,0.1
2,CVF_AE_W_O_CVF,30,1,303.769662038529,15.9183650126597,18.2450316964999,0,0,1.1592376478464,18.7367583331652,0.141708542713568,0.338888888888889,0,0,0,0,0
2,CVF_AE_W_O_INIT,30,1,313.219109309391,18.3658087188319,20.762929947782,0.0693939393939394,0,1.17324408625565,22.6656982510588,0.0582914572864322,0.216666666666667,0.0666666666666667,0,0,0,0.0666666666666667
2,CVF_AE_W_O_SPARSEPRESERVATION,30,1,303.311404708488,15.7243223801786,18.0601099030449,0,0,1.16105725113503,18.6419147764594,0.112227805695142,0.277777777777778,0,0,0,0,0
2,CVF_AE_W_O_STATEADAPTIVECVF,30,1,301.816403969189,16.2551594106607,18.4579207233968,0,0,1.15875941088673,19.9021008259175,0.10536013400335,0.283333333333333,0,0,0,0,0
2,CVF_AE,30,1,300.661217364572,15.9581930363107,18.2921442345199,0,0,1.1607671069014,20.4046767240756,0.0867671691792295,0.261111111111111,0,0,0,0,0
4,BASE_AE,30,0,1643.73195315121,16.9118000779575,18.7673281142133,0,0,1.22715659684795,41.8162589146456,0,0,0,0,0,0,0
4,CVF_AE_W_O_CVF,30,1,355.834749037852,14.8045011922039,19.1572080799111,0.00272727272727273,0,1.25607144248873,16.9055950898398,0.380234505862647,0.522222222222222,0,0.3,0,0.3,0.3
4,CVF_AE_W_O_INIT,30,0.7,556.75154586589,12.6064579876739,18.7074416806485,0,0,1.24437038669297,27.2533602614952,0.0541038525963149,0.283333333333333,0,0,0,0,0
4,CVF_AE_W_O_SPARSEPRESERVATION,30,1,372.225548848178,15.4017159038477,18.5289212532473,0,0,1.31038678376177,11.2476373338539,0.636348408710218,0.727777777777778,0,0.6,0,0.6,0.6
4,CVF_AE_W_O_STATEADAPTIVECVF,30,1,361.312281976107,14.7487961006825,18.6678196031093,0,0,1.27748865918136,13.9141484583587,0.542713567839196,0.633333333333333,0,0.533333333333333,0,0.533333333333333,0.533333333333333
4,CVF_AE,30,1,348.585570334195,15.2898131117859,19.1415218639208,0,0,1.23126471672768,19.8010723314999,0.268844221105528,0.455555555555556,0,0.2,0,0.2,0.2
