Scene,Algorithm,NumRuns,FeasibleRate,MeanBestFitness,StdBestFitness,MeanFinalViolation,MeanRuntime,MeanNEvals,MeanFirstFeasibleIter,MeanRepairCount,MeanRepairSuccessCount,MeanViabilityFieldCount,MeanViabilityFieldSuccessCount,MeanViabilityFieldNorm,MeanCVFObstacleFrac,MeanCVFNFZFrac,MeanCVFRiskFrac,MeanCVFAltitudeFrac,MeanCVFCurvatureFrac,MeanCVFBoundaryFrac,Rank
1,Base-AE,30,0.633333333333333,654.047521060856,328.714214134176,1.06666666666667,4.37732100666667,9030,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,6
1,CVF-AE-w/o-Init,30,1,309.94844744007,9.63082224452996,0,11.8940086266667,9581.83333333333,19.6666666666667,491.4,208.466666666667,60.4333333333333,41.5333333333333,0.637729273207751,0.0743333333333333,0.004,0.0507777777777778,0.00377777777777778,0.00844444444444445,0.000444444444444444,5
1,CVF-AE-w/o-StateAdaptiveCVF,30,1,298.303684854115,3.21609369562628,0,24.53378375,9565.96666666667,1.73333333333333,515.333333333333,140.8,20.6333333333333,19.6666666666667,0.0695243955201238,0.0392222222222222,0,0.0231111111111111,0,0,0.000666666666666667,3
1,CVF-AE-w/o-SparsePreservation,30,1,300.776591986734,1.76853566374277,0,8.77849291333333,9060.93333333333,4.1,4.33333333333333,0.566666666666667,26.6,24.4333333333333,0.0871582899738645,0.0446666666666667,0,0.027,0,0.00122222222222222,0.00211111111111111,4
1,CVF-AE-w/o-CVF,30,1,298.211687631612,2.44708398399425,0,11.64591358,9545.1,1.5,515.1,149.133333333333,0,0,0,0,0,0,0,0,0,2
1,CVF-AE,30,1,297.831801364604,3.11190201143395,0,27.4089501233333,9566.36666666667,1.93333333333333,515.233333333333,146.933333333333,21.1333333333333,19.1666666666667,0.0698320837596739,0.0361111111111111,0,0.0266666666666667,0,0,0.00122222222222222,1
2,Base-AE,30,0,1597.48289152937,342.479097072238,7.13333333333333,18.1763893466667,9030,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,6
2,CVF-AE-w/o-Init,30,0.966666666666667,314.425756957535,51.5188484966144,0.0333333333333333,12.4178668866667,9614.86666666667,41.4827586206897,464.6,318.566666666667,120.266666666667,90.7,1.13113136656662,0.252555555555556,0,0.000555555555555556,0.000444444444444444,0.003,0.00122222222222222,5
2,CVF-AE-w/o-StateAdaptiveCVF,30,1,301.816403969189,2.93321887813262,0,28.8627510466667,9560.86666666667,10.1666666666667,510.433333333333,311.166666666667,20.4333333333333,14.5666666666667,0.172610080135754,0.0363333333333333,0.000222222222222222,0,0.001,0.000111111111111111,0.00833333333333333,4
2,CVF-AE-w/o-SparsePreservation,30,1,301.725271505035,3.54855393199508,0,8.64709356,9041.96666666667,4.93333333333333,0.6,0.366666666666667,11.3666666666667,8.33333333333333,0.121269065779246,0.0202222222222222,0,0,0.000333333333333333,0.00111111111111111,0.00855555555555555,3
2,CVF-AE-w/o-CVF,30,1,301.433029498659,2.29890205847115,0,12.0892565133333,9540.43333333333,4.66666666666667,510.433333333333,319.533333333333,0,0,0,0,0,0,0,0,0,2
2,CVF-AE,30,1,300.661217364572,3.2775077673419,0,28.3060269366667,9551.6,4.6,511,315.266666666667,10.6,7.9,0.107353530418301,0.0207777777777778,0,0,0,0.000777777777777778,0.00555555555555555,1
4,Base-AE,30,0,1643.73195315121,199.402741409474,7.5058369348846,11.5175831466667,9030,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,6
4,CVF-AE-w/o-Init,30,0.466666666666667,819.252692852453,527.665070360414,2.93426198845509,15.1009945366667,9801.93333333333,120.714285714286,368.166666666667,184.633333333333,403.766666666667,341.666666666667,2.87426957981642,0.713555555555556,0,0,0,0,0,5
4,CVF-AE-w/o-StateAdaptiveCVF,30,1,361.312281976107,35.0403448813833,0,26.13774229,9321.83333333333,0,219.366666666667,125.033333333333,72.4666666666667,46.2666666666667,0.750870631797066,0.241,0,0,0,0,0.000555555555555556,3
4,CVF-AE-w/o-SparsePreservation,30,1,374.053364761204,20.1816682315274,0,9.61708791,9119.93333333333,0,0.0333333333333333,0,89.9,58,1.11973966667986,0.264777777777778,0,0,0,0,0.0348888888888889,4
4,CVF-AE-w/o-CVF,30,1,350.377927580968,20.1849266309853,0,13.28287806,9276.7,0,246.7,164.4,0,0,0,0,0,0,0,0,0,2
4,CVF-AE,30,1,348.585570334195,21.815306818365,0,18.5574635633333,9367.06666666667,0,250.266666666667,165.366666666667,86.8,59.5333333333333,1.05949328249976,0.242666666666667,0,0,0,0,0.0466666666666667,1
