Scene,Algorithm,NumRuns,FeasibleRate,MeanBestFitness,MeanZ,MeanMaxZ,MeanHighAltitudeFrac,MeanVeryHighAltitudeFrac,MeanDetourRatio,MeanBoundaryDist,MeanBoundaryHugFrac,MeanControlPointBoundaryHugFrac,HighAltitudeFlagRate,BoundaryHugFlagRate,ExcessiveDetourFlagRate,ControlPointEdgeFlagRate,VisualReviewFlagRate
1,BASE_AE,30,0.633333333333333,654.047521060856,23.8532837301516,28.3640428004083,0.521363636363636,0.02,1.29581581112859,31.7808910538927,0.0067001675041876,0.0166666666666667,0.533333333333333,0,0,0,0.533333333333333
1,CVF_AE_W_O_CVF,30,1,298.211687631612,12.9816246035543,18.0288833887756,0,0,1.06881970715339,22.3662618709808,0.0190954773869347,0.0944444444444444,0,0,0,0,0
1,CVF_AE_W_O_INIT,30,1,309.94844744007,18.1938107651018,20.9443880144568,0.117575757575758,0.0121212121212121,1.08368534345228,23.1569934516088,0.0254606365159129,0.0611111111111111,0.133333333333333,0,0,0,0.133333333333333
1,CVF_AE_W_O_SPARSEPRESERVATION,30,1,300.776591986734,14.0879783359303,18.0227860594391,0,0,1.06514077830196,22.55664855683,0.014572864321608,0.0722222222222222,0,0,0,0,0
1,CVF_AE_W_O_STATEADAPTIVECVF,30,1,298.303684854115,13.3432295556669,18.0034568112412,0,0,1.06688171988074,22.4740278054635,0.0190954773869347,0.1,0,0,0,0,0
1,CVF_AE,30,1,297.831801364604,13.3165215420034,18,0,0,1.06409851033653,22.7685358848232,0.0149078726968174,0.0611111111111111,0,0,0,0,0
2,BASE_AE,30,0,1597.48289152937,20.1427439128872,22.8475022200979,0.0583333333333333,0,1.30183767932894,35.191147291592,0.00770519262981575,0.0444444444444444,0.0666666666666667,0,0.0333333333333333,0,0.1
2,CVF_AE_W_O_CVF,30,1,301.433029498659,16.0383343932852,18.186475615913,0,0,1.16245839542559,19.5718906122156,0.0924623115577889,0.272222222222222,0,0,0,0,0
2,CVF_AE_W_O_INIT,30,0.966666666666667,314.425756957535,19.5300186206001,21.9226024618753,0.162878787878788,0.0127272727272727,1.16668090653025,23.3624458882552,0.0348408710217755,0.183333333333333,0.166666666666667,0,0,0,0.166666666666667
2,CVF_AE_W_O_SPARSEPRESERVATION,30,1,301.725271505035,15.9775352719182,18.2442272976918,0,0,1.15903705118673,19.6625155322442,0.1107202680067,0.294444444444445,0,0,0,0,0
2,CVF_AE_W_O_STATEADAPTIVECVF,30,1,301.816403969189,16.2551594106607,18.4579207233968,0,0,1.15875941088673,19.9021008259175,0.10536013400335,0.283333333333333,0,0,0,0,0
2,CVF_AE,30,1,300.661217364572,15.9581930363107,18.2921442345199,0,0,1.1607671069014,20.4046767240756,0.0867671691792295,0.261111111111111,0,0,0,0,0
4,BASE_AE,30,0,1643.73195315121,16.9118000779575,18.7673281142133,0,0,1.22715659684795,41.8162589146456,0,0,0,0,0,0,0
4,CVF_AE_W_O_CVF,30,1,350.377927580968,15.1259935753231,18.8171689378187,0,0,1.23087153330424,20.3820652104818,0.249748743718593,0.438888888888889,0,0.166666666666667,0,0.2,0.2
4,CVF_AE_W_O_INIT,30,0.466666666666667,819.252692852453,12.3781307864196,18.7621704424498,0,0,1.20734894245662,29.0580303251946,0.0269681742043551,0.166666666666667,0,0,0,0,0
4,CVF_AE_W_O_SPARSEPRESERVATION,30,1,374.053364761204,15.5607527990989,18.6960038736593,0,0,1.32744702562999,9.40669298207956,0.705527638190955,0.755555555555556,0,0.7,0,0.7,0.7
4,CVF_AE_W_O_STATEADAPTIVECVF,30,1,361.312281976107,14.7487961006825,18.6678196031093,0,0,1.27748865918136,13.9141484583587,0.542713567839196,0.633333333333333,0,0.533333333333333,0,0.533333333333333,0.533333333333333
4,CVF_AE,30,1,348.585570334195,15.2898131117859,19.1415218639208,0,0,1.23126471672768,19.8010723314999,0.268844221105528,0.455555555555556,0,0.2,0,0.2,0.2
