Scene,Algorithm,Run,Seed,BestFitness,Runtime,Feasible,Violation,NEvals,FirstFeasibleIter,FirstFeasibleTime,RepairCount,RepairSuccessCount,ViabilityFieldCount,ViabilityFieldSuccessCount,MeanViabilityFieldNorm,CVFObstacleFrac,CVFNFZFrac,CVFRiskFrac,CVFAltitudeFrac,CVFCurvatureFrac,CVFBoundaryFrac,CVFNoneFrac
1,Base-AE,1,20270727,1102.11185599304,4.8347345,0,4,9030,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,2,20270728,1695.9223226866,4.5932584,0,7,9030,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,3,20270729,1180.03983185017,4.5704839,0,4,9030,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,4,20270730,598.539665636858,4.5251009,1,0,9030,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,5,20270731,369.697138968983,4.566903,1,0,9030,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,6,20270732,1006.40327019904,4.5530734,0,3,9030,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,7,20270733,1258.54948270679,4.5325908,0,4,9030,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,8,20270734,392.78903611447,4.5990042,1,0,9030,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,9,20270735,482.559323463985,4.5438746,0,1,9030,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,10,20270736,804.324849450053,4.5433616,0,1,9030,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,11,20270737,442.295398634212,4.5634436,1,0,9030,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,12,20270738,403.174953120409,4.5700262,1,0,9030,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,13,20270739,1532.96817979002,4.5514737,0,6,9030,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,14,20270740,388.508029627643,4.554761,1,0,9030,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,15,20270741,540.269795338471,4.5486788,1,0,9030,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,16,20270742,557.66112559308,4.5464666,1,0,9030,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,17,20270743,1040.14855945453,4.5352752,0,4,9030,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,18,20270744,356.931386959883,4.5432294,1,0,9030,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,19,20270745,542.998545397238,4.5386128,1,0,9030,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,20,20270746,575.458923291388,4.5691078,1,0,9030,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,21,20270747,583.399294375177,4.538541,1,0,9030,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,22,20270748,304.300558833919,4.5418938,1,0,9030,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,23,20270749,950.420021783767,4.5394861,0,3,9030,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
