Scene,Algorithm,NumRuns,FeasibleRate,MeanBestFitness,StdBestFitness,MeanFinalViolation,MeanRuntime,MeanNEvals,MeanFirstFeasibleIter,MeanRepairCount,MeanRepairSuccessCount,MeanViabilityFieldCount,MeanViabilityFieldSuccessCount,MeanViabilityFieldNorm,MeanCVFObstacleFrac,MeanCVFNFZFrac,MeanCVFRiskFrac,MeanCVFAltitudeFrac,MeanCVFCurvatureFrac,MeanCVFBoundaryFrac,Rank
1,Base-AE,30,0.566666666666667,711.505075985062,375.772041530847,1.43333333333333,4.56500625,9030,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,6
1,CVF-AE-w/o-Init,30,1,316.794892169996,9.99103449226152,0,6.14629925,9589.7,20.1666666666667,420.4,223.3,139.3,91.6666666666667,1.33108867940838,0.133777777777778,0.00533333333333333,0.166444444444444,0.00677777777777778,0.0275555555555556,0.00544444444444444,5
1,CVF-AE-w/o-StateAdaptiveCVF,30,1,298.13234290774,2.78620939950694,0,6.16321510333333,9566.13333333333,1.36666666666667,515.233333333333,138.9,20.9,19.8666666666667,0.0682583698017736,0.0386666666666667,0,0.0261111111111111,0,0,0.000333333333333333,1
1,CVF-AE-w/o-SparsePreservation,30,1,307.043992501381,4.28519440970886,0,4.95499479333334,9140.46666666667,5.53333333333333,0,0,110.466666666667,90.9,0.595784548815518,0.152222222222222,0.00388888888888889,0.137111111111111,0,0.00188888888888889,0.0367777777777778,4
1,CVF-AE-w/o-CVF,30,1,306.352170764187,3.51514178898721,0,5.91953238666667,9474.66666666667,1.93333333333333,444.666666666667,151.566666666667,0,0,0,0,0,0,0,0,0,3
1,CVF-AE,30,1,305.85480966786,5.16484771705635,0,6.11633496,9572.6,3.53333333333333,439.733333333333,140.366666666667,102.866666666667,85.5666666666667,0.534142277837394,0.147222222222222,0.000333333333333333,0.144888888888889,0.002,0.00666666666666667,0.0182222222222222,2
2,Base-AE,30,0,1586.51120910305,369.472793587413,7.1,4.59010213666667,9030,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,6
2,CVF-AE-w/o-Init,30,1,312.326288429538,18.7598164308807,0,9.12165891333333,9600.8,34.5666666666667,411.033333333333,274.233333333333,159.766666666667,111.866666666667,1.46173216700229,0.349222222222222,0.00433333333333333,0,0.000222222222222222,0.006,0.0161111111111111,5
2,CVF-AE-w/o-StateAdaptiveCVF,30,1,301.513071629794,3.0712571154718,0,19.35198226,9558.33333333333,8.9,511.6,311.766666666667,16.7333333333333,11.8666666666667,0.140368861981559,0.0296666666666667,0,0,0,0.000222222222222222,0.00811111111111111,1
2,CVF-AE-w/o-SparsePreservation,30,1,302.665782215398,5.59476247662548,0,9.12727540666667,9108,5.33333333333333,0,0,78,52.7,0.970629367011904,0.162444444444444,0.000111111111111111,0,0,0.0243333333333333,0.0548888888888889,2
2,CVF-AE-w/o-CVF,30,1,303.223587830995,5.19184310632357,0,12.6075134966667,9429,5.53333333333333,399,223.6,0,0,0,0,0,0,0,0,0,4
2,CVF-AE,30,1,303.210829970273,4.8780929314918,0,9.99813659333333,9515.73333333333,5.93333333333333,399.4,232.933333333333,86.3333333333333,60.6,1.00380269568433,0.198222222222222,0.00133333333333333,0,0.000444444444444444,0.0144444444444444,0.046,3
4,Base-AE,30,0,1646.41399618259,200.538331359718,7.5058369348846,8.85451848333333,9030,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,6
4,CVF-AE-w/o-Init,30,0.666666666666667,587.230842368633,368.362768036241,1.33333333333333,16.0452094533333,9805.06666666667,126.4,352,186.166666666667,423.066666666667,337.666666666667,2.69859039528702,0.692777777777778,0,0,0.00177777777777778,0,0.00144444444444444,5
4,CVF-AE-w/o-StateAdaptiveCVF,30,1,359.229189694341,34.5934278833662,0,12.7885254433333,9329.43333333333,0,228.966666666667,130.466666666667,70.4666666666667,44.5333333333333,0.743350043220099,0.234333333333333,0,0,0,0,0.000555555555555556,3
4,CVF-AE-w/o-SparsePreservation,30,1,369.710693950424,20.0693529537156,0,10.4039734233333,9119.16666666667,0,0,0,89.1666666666667,57.2333333333333,1.07687102966374,0.262,0,0,0,0,0.0352222222222222,4
4,CVF-AE-w/o-CVF,30,1,355.41177634522,20.3977452423848,0,12.2955536233333,9252.2,0,222.2,147.633333333333,0,0,0,0,0,0,0,0,0,2
4,CVF-AE,30,1,349.340473513533,19.2078588373175,0,13.34290641,9342.83333333333,0,223.4,147.533333333333,89.4333333333333,58.4666666666667,1.04893603951317,0.278555555555556,0,0,0,0,0.0195555555555556,1
