Scene,Baseline,Source,CVFN,BaselineN,CVFMean,CVFStd,CVFMedian,BaselineMean,BaselineStd,BaselineMedian,RawP,RawSignificant,RankSumStatistic,CliffsDeltaLowerBetter,EffectMagnitude,SceneHolmSignificant,SceneHolmResult,SceneHolmP,GlobalHolmP,GlobalHolmSignificant,GlobalHolmResult
1,Base-AE,formal-ablation,30,30,297.831801364604,3.11190201143397,298.618771819239,654.047521060857,328.714214134176,550.329835495159,3.01985935916215e-11,1,465,1,large,1,+,1.50992967958108e-10,4.52978903874323e-10,1,+
1,CVF-AE-w/o-Init,formal-ablation,30,30,297.831801364604,3.11190201143397,298.618771819239,316.996351911397,11.8480573502926,315.872803508935,6.72195435841362e-10,1,497,0.928888888888889,large,1,+,2.68878174336545e-09,8.06634523009634e-09,1,+
1,CVF-AE-w/o-StateAdaptiveCVF,formal-ablation,30,30,297.831801364604,3.11190201143397,298.618771819239,298.303684854115,3.21609369562627,298.535849627606,0.59968948451237,0,879,0.08,negligible,0,=,0.59968948451237,1,0,=
1,CVF-AE-w/o-SparsePreservation,formal-ablation,30,30,297.831801364604,3.11190201143397,298.618771819239,306.379264738591,4.99731706294943,308.054617602506,7.69496356095012e-08,1,551,0.808888888888889,large,1,+,1.53899271219002e-07,7.69496356095012e-07,1,+
1,CVF-AE-w/o-CVF,formal-ablation,30,30,297.831801364604,3.11190201143397,298.618771819239,306.198450220584,3.49173789624341,307.47993092311,1.10233994610977e-08,1,528,0.86,large,1,+,3.30701983832931e-08,1.21257394072075e-07,1,+
2,Base-AE,formal-ablation,30,30,300.661217364572,3.27750776734184,300.706465700531,1597.48289152937,342.479097072237,1614.97501370558,3.01985935916215e-11,1,465,1,large,1,+,1.50992967958108e-10,4.52978903874323e-10,1,+
2,CVF-AE-w/o-Init,formal-ablation,30,30,300.661217364572,3.27750776734184,300.706465700531,313.219109309391,18.3411934553879,312.954058752206,1.72903126248493e-06,1,591,0.72,large,1,+,6.9161250499397e-06,1.55612813623643e-05,1,+
2,CVF-AE-w/o-StateAdaptiveCVF,formal-ablation,30,30,300.661217364572,3.27750776734184,300.706465700531,301.816403969189,2.93321887813264,301.054412564418,0.258051495086236,0,838,0.171111111111111,small,0,=,0.258051495086236,1,0,=
2,CVF-AE-w/o-SparsePreservation,formal-ablation,30,30,300.661217364572,3.27750776734184,300.706465700531,303.311404708488,6.07177449589907,302.439662118896,0.0992576082398258,0,803,0.248888888888889,small,0,=,0.198515216479652,0.595545649438955,0,=
2,CVF-AE-w/o-CVF,formal-ablation,30,30,300.661217364572,3.27750776734184,300.706465700531,303.769662038529,4.95649053217945,302.992047293686,0.00906876099327356,1,738,0.393333333333333,medium,1,+,0.0272062829798207,0.0634813269529149,0,=
4,Base-AE,formal-ablation,30,30,348.585570334194,21.8153068183651,341.912398589621,1643.73195315121,199.402741409474,1591.31852970143,3.01985935916215e-11,1,465,1,large,1,+,1.50992967958108e-10,4.52978903874323e-10,1,+
4,CVF-AE-w/o-Init,formal-ablation,30,30,348.585570334194,21.8153068183651,341.912398589621,556.75154586589,348.826404709657,335.619951910464,0.853381736754793,0,928,-0.0288888888888889,negligible,0,=,0.853381736754793,1,0,=
4,CVF-AE-w/o-StateAdaptiveCVF,formal-ablation,30,30,348.585570334194,21.8153068183651,341.912398589621,361.312281976107,35.0403448813833,386.488400638485,0.355472472594311,0,852,0.14,negligible,0,=,0.710944945188621,1,0,=
4,CVF-AE-w/o-SparsePreservation,formal-ablation,30,30,348.585570334194,21.8153068183651,341.912398589621,372.225548848178,19.8215856197921,377.097645285845,0.000110577259680838,1,653,0.582222222222222,large,1,+,0.000442309038723352,0.000884618077446704,1,+
4,CVF-AE-w/o-CVF,formal-ablation,30,30,348.585570334194,21.8153068183651,341.912398589621,355.834749037852,21.3085674527326,349.412207566577,0.137322834846993,0,814,0.224444444444444,small,0,=,0.411968504540979,0.686614174234965,0,=
