ComparisonGroup,Scope,NumComparisons,Wins,Ties,Losses,MedianCliffsDelta,MeanCliffsDelta
formal-main,all-scenes,21,18,2,1,0.866666666666667,0.697460317460318
formal-main,Scene 1,7,6,1,0,1,0.82984126984127
formal-main,Scene 2,7,6,0,1,0.588888888888889,0.495873015873016
formal-main,Scene 4,7,6,1,0,0.866666666666667,0.766666666666667
recent-improved,all-scenes,9,3,5,1,0.157777777777778,0.324444444444444
recent-improved,Scene 1,3,3,0,0,0.971111111111111,0.91037037037037
recent-improved,Scene 2,3,0,2,1,-0.0755555555555556,-0.143703703703704
recent-improved,Scene 4,3,0,3,0,0.153333333333333,0.206666666666667
all,all-scenes,30,21,7,2,0.778888888888889,0.585555555555555
all,Scene 1,10,9,1,0,0.976666666666667,0.854
all,Scene 2,10,6,2,2,0.551111111111111,0.304
all,Scene 4,10,6,4,0,0.681111111111111,0.598666666666667
