Scene,Algorithm,Run,Seed,BestFitness,Runtime,Feasible,Violation,NEvals,FirstFeasibleIter,FirstFeasibleTime,RepairCount,RepairSuccessCount,ViabilityFieldCount,ViabilityFieldSuccessCount,MeanViabilityFieldNorm,CVFObstacleFrac,CVFNFZFrac,CVFRiskFrac,CVFAltitudeFrac,CVFCurvatureFrac,CVFBoundaryFrac,CVFNoneFrac
2,Base-AE,1,20280719,414.085890104556,0.9794918,1,0,1620,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
2,Base-AE,2,20280720,2889.95595982075,0.8912108,0,12,1620,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
2,Base-AE,3,20280721,3590.79280799363,0.9195221,0,15,1620,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
2,Base-AE,4,20280722,2528.15148118041,0.8511737,0,13,1620,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
2,Base-AE,5,20280723,3884.38463375947,0.8562803,0,21,1620,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
2,CVF-AE,1,20280819,355.593583037698,2.1232415,1,0,2129,28,0.7036146,109,83,400,252,4.47301954443182,0.1625,0,0,0,0,0.8375,0
2,CVF-AE,2,20280820,345.448183526533,2.0642872,1,0,2135,17,0.400865,115,81,400,249,4.4692598922405,0.2125,0,0,0,0,0.7875,0
2,CVF-AE,3,20280821,354.93678435206,2.0461313,1,0,2137,21,0.4663311,117,70,400,239,5.24282441561542,0.9625,0,0,0,0,0.0375,0
2,CVF-AE,4,20280822,328.229914037963,1.9933027,1,0,2123,12,0.2588923,103,50,400,251,5.29657041207111,0.8375,0,0,0,0,0.1625,0
2,CVF-AE,5,20280823,335.312878524579,2.0063286,1,0,2143,20,0.4463158,123,87,400,321,4.4219752773554,1,0,0,0,0,0,0
2,CVF-AE-w/o-CVF,1,20280919,320.441007683763,1.1718254,1,0,1698,20,0.2769507,78,66,0,0,0,0,0,0,0,0,0,1
2,CVF-AE-w/o-CVF,2,20280920,310.741499082558,1.208349,1,0,1712,13,0.1565911,92,90,0,0,0,0,0,0,0,0,0,1
2,CVF-AE-w/o-CVF,3,20280921,334.624088454194,1.2712609,1,0,1726,13,0.1592127,106,39,0,0,0,0,0,0,0,0,0,1
2,CVF-AE-w/o-CVF,4,20280922,338.517293534256,1.2401409,1,0,1724,26,0.3774277,104,35,0,0,0,0,0,0,0,0,0,1
2,CVF-AE-w/o-CVF,5,20280923,313.370582001426,1.0536648,1,0,1658,9,0.1076025,38,12,0,0,0,0,0,0,0,0,0,1
2,CVF-AE-w/o-Init,1,20281019,394.589487725585,1.7341841,1,0,2037,44,0.9380267,17,3,400,275,6.7076008173284,1,0,0,0,0,0,0
2,CVF-AE-w/o-Init,2,20281020,498.199926538493,1.7268306,1,0,2049,67,1.395352,29,24,400,217,6.42048754839673,1,0,0,0,0,0,0
2,CVF-AE-w/o-Init,3,20281021,302.364131358342,1.8406827,1,0,2070,0,0.0103058,50,48,400,244,3.67642751990779,0.975,0,0,0.025,0,0,0
2,CVF-AE-w/o-Init,4,20281022,1567.61638772814,1.786455,0,8,2060,NaN,NaN,40,11,400,297,6.58280976627178,1,0,0,0,0,0,0
2,CVF-AE-w/o-Init,5,20281023,2626.23717146599,1.6375719,0,15,2021,NaN,NaN,1,0,400,254,6.33810638036335,1,0,0,0,0,0,0
4,Base-AE,1,20300719,1853.56476771326,0.8845128,0,9,1620,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
4,Base-AE,2,20300720,1655.63326533216,0.8684745,0,7,1620,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
4,Base-AE,3,20300721,1902.41449312626,0.8876862,0,9,1620,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
4,Base-AE,4,20300722,1966.02832119618,0.8731065,0,10,1620,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
4,Base-AE,5,20300723,2118.23914899732,0.883078,0,11,1620,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
4,CVF-AE,1,20300819,396.231365569782,1.8229656,1,0,2064,0,0.0168259,44,20,400,179,4.9008673346077,0,0,0,0,0,1,0
4,CVF-AE,2,20300820,385.287501184921,1.9115094,1,0,2073,0,0.0152544,53,46,400,190,4.15041090131614,0,0,0,0,0,1,0
4,CVF-AE,3,20300821,399.060549316322,1.8258344,1,0,2061,0,0.0146133,41,30,400,181,4.90561112600005,0,0,0,0,0,1,0
4,CVF-AE,4,20300822,390.554250180827,1.7552634,1,0,2046,0,0.0120009,26,23,400,145,5.1307853909828,0,0,0,0,0,1,0
4,CVF-AE,5,20300823,398.243353517783,1.7886988,1,0,2053,0,0.0129781,33,24,400,171,5.1424257729738,0,0,0,0,0,1,0
4,CVF-AE-w/o-CVF,1,20300919,400.805439312119,1.0335512,1,0,1660,0,0.0124886,40,31,0,0,0,0,0,0,0,0,0,1
4,CVF-AE-w/o-CVF,2,20300920,408.767445728158,0.9909273,1,0,1645,0,0.0124287,25,19,0,0,0,0,0,0,0,0,0,1
4,CVF-AE-w/o-CVF,3,20300921,390.788329240662,0.9721686,1,0,1639,0,0.0119684,19,17,0,0,0,0,0,0,0,0,0,1
4,CVF-AE-w/o-CVF,4,20300922,400.516442238643,1.0239606,1,0,1653,0,0.012094,33,26,0,0,0,0,0,0,0,0,0,1
4,CVF-AE-w/o-CVF,5,20300923,402.02245704959,1.0264074,1,0,1654,0,0.0135197,34,29,0,0,0,0,0,0,0,0,0,1
4,CVF-AE-w/o-Init,1,20301019,1901.52776345294,1.9588569,0,9,2094,NaN,NaN,74,25,400,249,6.94650220709823,1,0,0,0,0,0,0
4,CVF-AE-w/o-Init,2,20301020,1852.50461408415,1.988452,0,9,2098,NaN,NaN,78,17,400,300,4.70261131268511,1,0,0,0,0,0,0
4,CVF-AE-w/o-Init,3,20301021,2425.27891962973,1.9524918,0,12,2096,NaN,NaN,76,22,400,267,5.86518560497556,1,0,0,0,0,0,0
4,CVF-AE-w/o-Init,4,20301022,1869.25972611208,1.8990497,0,10,2076,NaN,NaN,56,18,400,246,5.35916246476556,1,0,0,0,0,0,0
4,CVF-AE-w/o-Init,5,20301023,1279.45401250343,1.9944878,0,6,2106,NaN,NaN,86,38,400,272,6.14568742589432,1,0,0,0,0,0,0
