Scene,Algorithm,Run,Seed,BestFitness,Runtime,Feasible,Violation,NEvals,FirstFeasibleIter,FirstFeasibleTime,RepairCount,RepairSuccessCount,ViabilityFieldCount,ViabilityFieldSuccessCount,MeanViabilityFieldNorm,CVFObstacleFrac,CVFNFZFrac,CVFRiskFrac,CVFAltitudeFrac,CVFCurvatureFrac,CVFBoundaryFrac,CVFNoneFrac
2,Base-AE,1,20280719,414.085890104556,0.8394315,1,0,1620,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
2,Base-AE,2,20280720,2889.95595982075,0.8403202,0,12,1620,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
2,Base-AE,3,20280721,3590.79280799363,0.843892,0,15,1620,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
2,Base-AE,4,20280722,2528.15148118041,0.8732807,0,13,1620,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
2,Base-AE,5,20280723,3884.38463375947,0.856833,0,21,1620,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
2,CVF-AE,1,20280819,325.446255377736,1.5125041,1,0,1863,14,0.2157833,99,41,144,124,2.87968255460701,0.7875,0,0,0.0125,0,0.1125,0.0875
2,CVF-AE,2,20280820,315.037927470623,1.4428375,1,0,1855,22,0.3676441,93,22,142,109,3.9216359261517,0.875,0,0,0,0,0.025,0.1
2,CVF-AE,3,20280821,345.137987572576,1.4829366,1,0,1871,17,0.2423167,109,94,142,97,3.8404752842926,0.425,0,0,0,0.125,0.3375,0.1125
2,CVF-AE,4,20280822,338.725835196749,1.3647015,1,0,1820,13,0.1522351,63,60,137,99,2.86321984502512,0.125,0,0,0,0,0.75,0.125
2,CVF-AE,5,20280823,333.632251668689,1.5399606,1,0,1889,13,0.1858455,123,110,146,91,3.30580866898471,0.5625,0,0,0.1125,0,0.25,0.075
2,CVF-AE-w/o-CVF,1,20280919,320.441007683763,1.1389237,1,0,1698,20,0.2686781,78,66,0,0,0,0,0,0,0,0,0,1
2,CVF-AE-w/o-CVF,2,20280920,310.741499082558,1.173496,1,0,1712,13,0.1626452,92,90,0,0,0,0,0,0,0,0,0,1
2,CVF-AE-w/o-CVF,3,20280921,334.624088454194,1.2283842,1,0,1726,13,0.1559513,106,39,0,0,0,0,0,0,0,0,0,1
2,CVF-AE-w/o-CVF,4,20280922,338.517293534256,1.2214228,1,0,1724,26,0.3817603,104,35,0,0,0,0,0,0,0,0,0,1
2,CVF-AE-w/o-CVF,5,20280923,313.370582001426,1.0150618,1,0,1658,9,0.1067466,38,12,0,0,0,0,0,0,0,0,0,1
2,CVF-AE-w/o-Init,1,20281019,392.077908928376,1.0352947,1,0,1684,66,0.7614565,26,20,38,32,1.2468934010657,0.3,0,0,0,0,0,0.7
2,CVF-AE-w/o-Init,2,20281020,912.3700020612,0.9930777,0,1,1672,NaN,NaN,3,2,49,23,1.99845134524392,0.6125,0,0,0,0,0,0.3875
2,CVF-AE-w/o-Init,3,20281021,299.955907523799,1.2715981,1,0,1803,0,0.010753,33,32,150,114,1.80663287190059,0.8125,0,0,0.125,0.0625,0,0
2,CVF-AE-w/o-Init,4,20281022,389.087595627561,1.2174518,1,0,1768,59,0.8216833,54,34,94,75,2.78522611477158,0.6,0,0,0,0,0,0.4
2,CVF-AE-w/o-Init,5,20281023,1784.34658282751,1.1372113,0,9,1727,NaN,NaN,39,11,68,61,2.25881746882618,0.4625,0,0,0,0,0,0.5375
4,Base-AE,1,20300719,1853.56476771326,0.8621614,0,9,1620,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
4,Base-AE,2,20300720,1655.63326533216,0.8759301,0,7,1620,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
4,Base-AE,3,20300721,1902.41449312626,0.8733024,0,9,1620,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
4,Base-AE,4,20300722,1966.02832119618,0.8738159,0,10,1620,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
4,Base-AE,5,20300723,2118.23914899732,0.8583023,0,11,1620,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
4,CVF-AE,1,20300819,343.57310017991,1.3558799,1,0,1818,0,0.0134259,38,25,160,85,4.21886489793827,0,0,0,0,0,1,0
4,CVF-AE,2,20300820,391.622426031365,1.3617897,1,0,1827,0,0.0118166,47,33,160,86,3.942712051825,0.4625,0,0,0,0,0.5375,0
4,CVF-AE,3,20300821,398.850098315581,1.2968007,1,0,1804,0,0.013146,24,16,160,79,4.22367510831273,0,0,0,0,0,1,0
4,CVF-AE,4,20300822,397.215052784161,1.3337503,1,0,1811,0,0.0128579,31,23,160,82,4.38115429491314,0,0,0,0,0,1,0
4,CVF-AE,5,20300823,397.62398584853,1.3093575,1,0,1810,0,0.0126382,30,22,160,72,4.28009183631598,0,0,0,0,0,1,0
4,CVF-AE-w/o-CVF,1,20300919,400.805439312119,1.0392808,1,0,1660,0,0.0120003,40,31,0,0,0,0,0,0,0,0,0,1
4,CVF-AE-w/o-CVF,2,20300920,408.767445728158,0.9979145,1,0,1645,0,0.0123235,25,19,0,0,0,0,0,0,0,0,0,1
4,CVF-AE-w/o-CVF,3,20300921,390.788329240662,0.9535058,1,0,1639,0,0.0126209,19,17,0,0,0,0,0,0,0,0,0,1
4,CVF-AE-w/o-CVF,4,20300922,400.516442238643,1.0097201,1,0,1653,0,0.0127912,33,26,0,0,0,0,0,0,0,0,0,1
4,CVF-AE-w/o-CVF,5,20300923,402.02245704959,1.0228639,1,0,1654,0,0.0125797,34,29,0,0,0,0,0,0,0,0,0,1
4,CVF-AE-w/o-Init,1,20301019,2077.05966618957,1.4358477,0,10,1826,NaN,NaN,78,20,128,114,3.32022175570966,0.9875,0,0,0,0,0,0.0125
4,CVF-AE-w/o-Init,2,20301020,1992.6849823217,1.5563186,0,10,1865,NaN,NaN,100,37,145,123,3.8797068266875,0.9625,0,0,0,0,0,0.0375
4,CVF-AE-w/o-Init,3,20301021,1562.5526548155,1.1747641,0,8,1705,NaN,NaN,56,14,29,27,1.046213041751,0.2625,0,0,0,0,0,0.7375
4,CVF-AE-w/o-Init,4,20301022,1366.81504918303,1.4267388,0,6,1815,NaN,NaN,75,32,120,97,3.89866910362162,0.7625,0,0,0,0,0,0.2375
4,CVF-AE-w/o-Init,5,20301023,332.271978271129,1.3846571,1,0,1811,51,0.7549706,71,52,120,93,2.93746175537417,0.825,0,0,0,0,0,0.175
