Scene,Algorithm,Run,Seed,BestFitness,Runtime,Feasible,Violation,NEvals,FirstFeasibleIter,FirstFeasibleTime,RepairCount,RepairSuccessCount,ViabilityFieldCount,ViabilityFieldSuccessCount,WallClock
1,CVF-AE,1,20270725,307.042124984532,9.3575421,1,0,9574,0,0.2700168,444,133,100,85,9.4730391
1,CVF-AE,2,20270726,308.213329360056,8.6285084,1,0,9630,8,0.3312027,478,125,122,108,8.6338963
1,CVF-AE,3,20270727,309.972602586912,8.5432845,1,0,9559,2,0.1317058,423,111,106,96,8.5491034
1,CVF-AE,4,20270728,308.973089946357,7.5885457,1,0,9561,0,0.0271578,431,132,100,79,7.5911087
1,CVF-AE,5,20270729,309.748391197437,8.392858,1,0,9631,6,0.1873107,485,137,116,100,8.4094462
1,CVF-AE,6,20270730,308.778886201654,7.8946107,1,0,9566,0,0.0319077,436,160,100,70,7.8963542
1,CVF-AE,7,20270731,308.271746845049,8.8721099,1,0,9565,0,0.0467357,435,145,100,90,8.873655
1,CVF-AE,8,20270732,307.079369062383,8.6648162,1,0,9593,0,0.0433071,463,185,100,70,8.6663122
1,CVF-AE,9,20270733,307.028630557343,9.2726759,1,0,9582,0,0.0398133,452,126,100,92,9.2739701
1,CVF-AE,10,20270734,307.855651142232,9.7291044,1,0,9610,0,0.0526916,480,121,100,78,9.7306247
1,CVF-AE,11,20270735,306.709375707825,9.5843027,1,0,9588,0,0.042911,465,198,93,73,9.5853684
1,CVF-AE,12,20270736,312.130740688588,8.6366518,1,0,9559,1,0.0592482,426,150,103,91,8.6378815
1,CVF-AE,13,20270737,298.981504703706,7.807934,1,0,9377,1,0.0340107,286,92,61,51,7.8089094
1,CVF-AE,14,20270738,308.087315715805,8.093363,1,0,9571,0,0.0582155,441,161,100,84,8.0946089
1,CVF-AE,15,20270739,308.064354858073,8.8792164,1,0,9551,0,0.0354022,421,140,100,81,8.8805752
1,CVF-AE,16,20270740,304.125926396463,8.4663535,1,0,9573,0,0.0407455,443,121,100,84,8.467569
1,CVF-AE,17,20270741,307.969561906539,8.1602427,1,0,9583,0,0.0373131,453,108,100,90,8.1612047
1,CVF-AE,18,20270742,305.30860554086,8.0427675,1,0,9553,0,0.0300863,423,143,100,86,8.0438938
1,CVF-AE,19,20270743,309.450315537774,8.2281804,1,0,9612,1,0.0428789,479,157,103,79,8.2292726
1,CVF-AE,20,20270744,307.64120011688,7.9466171,1,0,9593,0,0.0338371,463,126,100,80,7.9481072
1,CVF-AE,21,20270745,296.093879155871,7.4343683,1,0,9402,13,0.5074445,269,83,103,86,7.43568
1,CVF-AE,22,20270746,307.69926117377,8.0870469,1,0,9553,0,0.0385167,423,125,100,83,8.0886425
1,CVF-AE,23,20270747,298.648064936475,8.025843,1,0,9536,0,0.0357948,415,164,91,71,8.0272589
1,CVF-AE,24,20270748,293.548588468402,7.3393912,1,0,9454,0,0.0297166,345,121,79,69,7.3403651
1,CVF-AE,25,20270749,297.471927321154,6.9997544,1,0,9543,24,0.5702763,369,104,144,123,7.0007682
1,CVF-AE,26,20270750,307.673759449222,7.010592,1,0,9526,0,0.0332651,396,154,100,71,7.0116983
1,CVF-AE,27,20270751,307.898346297704,7.4332191,1,0,9564,0,0.029328,434,134,100,80,7.4344279
1,CVF-AE,28,20270752,306.175172008853,7.175982,1,0,9554,0,0.0261335,424,133,100,76,7.1770026
1,CVF-AE,29,20270753,298.25173154887,6.9286601,1,0,9513,45,1.0035173,343,104,140,120,6.9295953
1,CVF-AE,30,20270754,308.181751888175,7.0795294,1,0,9573,0,0.0318171,443,176,100,84,7.080627
1,AE,1,20270825,437.564333580081,5.3423147,1,0,9030,NaN,NaN,NaN,NaN,0,0,5.3672324
1,AE,2,20270826,361.45326724139,5.2501912,1,0,9030,NaN,NaN,NaN,NaN,0,0,5.2710188
1,AE,3,20270827,1131.47541718773,5.2126189,0,4,9030,NaN,NaN,NaN,NaN,0,0,5.231852
1,AE,4,20270828,586.906851980242,5.4401367,1,0,9030,NaN,NaN,NaN,NaN,0,0,5.4609827
1,AE,5,20270829,1058.66881459688,5.7483557,0,4,9030,NaN,NaN,NaN,NaN,0,0,5.7707719
1,AE,6,20270830,363.28776814809,5.777719,1,0,9030,NaN,NaN,NaN,NaN,0,0,5.8021812
1,AE,7,20270831,964.770056138498,5.742022,0,3,9030,NaN,NaN,NaN,NaN,0,0,5.7653963
1,AE,8,20270832,604.362371511353,6.0285935,0,1,9030,NaN,NaN,NaN,NaN,0,0,6.0525243
1,AE,9,20270833,1119.92249850256,5.6684396,0,4,9030,NaN,NaN,NaN,NaN,0,0,5.6861791
1,AE,10,20270834,354.79516955824,5.6509204,1,0,9030,NaN,NaN,NaN,NaN,0,0,5.6722161
1,AE,11,20270835,1091.00970755465,5.8032412,0,3,9030,NaN,NaN,NaN,NaN,0,0,5.8203533
1,AE,12,20270836,365.014410119469,5.6284934,1,0,9030,NaN,NaN,NaN,NaN,0,0,5.6469623
1,AE,13,20270837,1070.13197761793,5.1808806,0,4,9030,NaN,NaN,NaN,NaN,0,0,5.1979513
1,AE,14,20270838,755.515199253872,5.2551278,0,2,9030,NaN,NaN,NaN,NaN,0,0,5.2735876
1,AE,15,20270839,1373.05865392838,5.2342251,0,5,9030,NaN,NaN,NaN,NaN,0,0,5.252458
1,AE,16,20270840,994.888005010964,5.5817702,0,4,9030,NaN,NaN,NaN,NaN,0,0,5.5999497
1,AE,17,20270841,361.495343561219,7.073722,1,0,9030,NaN,NaN,NaN,NaN,0,0,7.0984946
1,AE,18,20270842,981.829954874883,5.3860863,0,4,9030,NaN,NaN,NaN,NaN,0,0,5.4033477
