Scene,Algorithm,Run,Seed,BestFitness,Runtime,Feasible,Violation,NEvals,FirstFeasibleIter,FirstFeasibleTime,RepairCount,RepairSuccessCount,ViabilityFieldCount,ViabilityFieldSuccessCount,WallClock
1,CVF-AE,1,20270731,296.574506923489,6.3968553,1,0,9568,0,0.2379902,516,194,22,21,0.0065762
1,CVF-AE,2,20270732,298.506821389739,5.9883084,1,0,9564,0,0.0425458,515,139,19,14,0.0023105
1,CVF-AE,3,20270733,295.996239136792,5.939979,1,0,9563,0,0.0315167,515,159,18,14,0.0032155
1,CVF-AE,4,20270734,294.442362642541,5.9244567,1,0,9573,0,0.0286174,516,115,27,26,0.0034421
1,CVF-AE,5,20270735,301.257025247525,5.891932,1,0,9567,0,0.0339068,515,152,22,17,0.0038653
1,CVF-AE,6,20270736,302.668740879568,5.978704,1,0,9602,21,0.4093106,517,119,55,52,0.0028654
1,CVF-AE,7,20270737,298.652379481839,5.9377069,1,0,9606,26,0.4836557,517,188,59,53,0.0024956
1,CVF-AE,8,20270738,301.265288020359,5.9064239,1,0,9560,0,0.0280441,511,123,19,18,0.0026519
1,CVF-AE,9,20270739,300.047950753167,5.8801436,1,0,9563,0,0.0244536,512,118,21,18,0.0021919
1,CVF-AE,10,20270740,291.998598328339,5.8949411,1,0,9564,0,0.0292481,514,140,20,19,0.0017731
1,CVF-AE,11,20270741,300.345445259373,5.9244589,1,0,9567,0,0.0256846,515,137,22,22,0.0020902
1,CVF-AE,12,20270742,297.064635664865,5.8746172,1,0,9572,0,0.0262016,516,136,26,24,0.0021737
1,CVF-AE,13,20270743,297.279107194127,5.8810258,1,0,9566,2,0.0597963,517,196,19,17,0.002879
1,CVF-AE,14,20270744,296.134087898947,5.9499162,1,0,9576,0,0.0301789,517,151,29,28,0.0019983
1,CVF-AE,15,20270745,300.563633363141,5.9036685,1,0,9572,6,0.1414152,517,160,25,22,0.0019293
1,CVF-AE,16,20270746,301.38890554116,5.8756304,1,0,9555,0,0.0244809,512,138,13,13,0.0019177
1,CVF-AE,17,20270747,300.457491865061,5.8390385,1,0,9567,0,0.0286602,514,125,23,19,0.001947
1,CVF-AE,18,20270748,296.887568494884,5.8487407,1,0,9556,0,0.0212104,513,153,13,11,0.0018297
1,CVF-AE,19,20270749,297.548644241493,5.8901369,1,0,9570,1,0.0435797,517,132,23,22,0.0020654
1,CVF-AE,20,20270750,299.240913426943,5.8584647,1,0,9561,0,0.0300464,513,122,18,18,0.0016993
1,CVF-AE,21,20270751,296.797772447259,5.877719,1,0,9564,0,0.026773,515,136,19,19,0.0013787
1,CVF-AE,22,20270752,301.094434082525,5.8425733,1,0,9553,0,0.021456,513,171,10,10,0.001206
1,CVF-AE,23,20270753,290.880057926434,5.9200378,1,0,9597,19,0.3643532,517,137,50,45,0.0017038
1,CVF-AE,24,20270754,296.080773701898,5.9260142,1,0,9566,0,0.0275212,516,121,20,19,0.0023522
1,CVF-AE,25,20270755,297.020170645782,6.0693385,1,0,9563,0,0.0247723,515,172,18,17,0.0023252
1,CVF-AE,26,20270756,296.106625570864,5.9533352,1,0,9563,0,0.0307175,516,145,17,15,0.0013982
1,CVF-AE,27,20270757,298.150698236117,5.9713528,1,0,9579,0,0.0282447,516,128,33,28,0.0028163
1,CVF-AE,28,20270758,298.793556310867,6.031663,1,0,9559,1,0.0427197,516,155,13,12,0.0023735
1,CVF-AE,29,20270759,301.530278915624,5.959662,1,0,9562,0,0.0245853,512,106,20,19,0.0024049
1,CVF-AE,30,20270760,299.361222582617,6.0335243,1,0,9569,0,0.0273587,514,102,25,22,0.0015975
1,AE,1,20270831,964.770056138498,4.503382,0,3,9030,NaN,NaN,NaN,NaN,0,0,0.0011356
1,AE,2,20270832,604.362371511353,4.3660163,0,1,9030,NaN,NaN,NaN,NaN,0,0,0.0012226
1,AE,3,20270833,1119.92249850256,4.388632,0,4,9030,NaN,NaN,NaN,NaN,0,0,0.0021082
1,AE,4,20270834,354.79516955824,4.5165283,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.001272
1,AE,5,20270835,1091.00970755465,4.4884672,0,3,9030,NaN,NaN,NaN,NaN,0,0,0.0010842
1,AE,6,20270836,365.014410119469,4.4640776,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0010554
1,AE,7,20270837,1070.13197761793,4.4370849,0,4,9030,NaN,NaN,NaN,NaN,0,0,0.0009358
1,AE,8,20270838,755.515199253872,4.4229443,0,2,9030,NaN,NaN,NaN,NaN,0,0,0.0018807
1,AE,9,20270839,1373.05865392838,4.4125835,0,5,9030,NaN,NaN,NaN,NaN,0,0,0.001822
1,AE,10,20270840,994.888005010964,4.4313165,0,4,9030,NaN,NaN,NaN,NaN,0,0,0.0022225
1,AE,11,20270841,361.495343561219,4.4234994,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0014007
1,AE,12,20270842,981.829954874883,4.3876296,0,4,9030,NaN,NaN,NaN,NaN,0,0,0.001379
1,AE,13,20270843,1027.68597228588,4.4308774,0,3,9030,NaN,NaN,NaN,NaN,0,0,0.0023909
1,AE,14,20270844,802.643344599476,4.3963463,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0012613
1,AE,15,20270845,353.434255988305,4.451902,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0019424
1,AE,16,20270846,1071.06098892966,4.4215837,0,4,9030,NaN,NaN,NaN,NaN,0,0,0.0015791
1,AE,17,20270847,1153.21082289984,4.3950548,0,4,9030,NaN,NaN,NaN,NaN,0,0,0.0014915
1,AE,18,20270848,660.819614222831,4.3766066,0,1,9030,NaN,NaN,NaN,NaN,0,0,0.0015169
1,AE,19,20270849,473.048009060274,4.4076529,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0017767
1,AE,20,20270850,363.291697968961,4.3865585,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0014953
1,AE,21,20270851,1052.29038780438,4.3967677,0,3,9030,NaN,NaN,NaN,NaN,0,0,0.0014681
1,AE,22,20270852,1241.41406325747,4.3756077,0,4.24399855402939,9030,NaN,NaN,NaN,NaN,0,0,0.0013741
1,AE,23,20270853,383.907270269253,4.3821796,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0012077
1,AE,24,20270854,761.602791335153,4.3729468,0,1,9030,NaN,NaN,NaN,NaN,0,0,0.001921
1,AE,25,20270855,1091.32166214647,4.3945186,0,4,9030,NaN,NaN,NaN,NaN,0,0,0.0021074
1,AE,26,20270856,1171.9920863516,4.4095492,0,4,9030,NaN,NaN,NaN,NaN,0,0,0.0017675
1,AE,27,20270857,351.162604359631,4.39832,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0014034
1,AE,28,20270858,425.83432024846,4.3963617,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0011833
1,AE,29,20270859,854.337636786205,4.3962717,0,3,9030,NaN,NaN,NaN,NaN,0,0,0.0017136
1,AE,30,20270860,1033.92385243555,4.3919865,0,4,9030,NaN,NaN,NaN,NaN,0,0,0.0019171
1,PSO,1,20270931,410.508479688738,4.2911347,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0016992
1,PSO,2,20270932,270.633620662372,4.2781904,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0015849
1,PSO,3,20270933,383.591251788985,4.2767617,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0018069
1,PSO,4,20270934,1131.51377095827,4.2624107,0,4,9030,NaN,NaN,NaN,NaN,0,0,0.0017498
1,PSO,5,20270935,302.331957245292,4.3084372,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.00194
1,PSO,6,20270936,321.58647232183,4.2646131,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0015669
