Scene,Algorithm,Mean,Std,Rank,Feasibility,AvgRuntime,AvgNEvals,AvgFirstFeasibleIter,AvgRepairCount,AvgRepairSuccessCount,AvgViabilityFieldCount,AvgViabilityFieldSuccessCount
1,CVF-AE,305.769173510165,4.67608997481409,2,1,8.14346904333333,9554.96666666667,3.36666666666667,422.933333333333,135.633333333333,102.033333333333,84.3333333333333
1,AE,777.351967299596,333.598508387153,8,0.4,5.58674383333334,9030,NaN,NaN,NaN,0,0
1,PSO,384.78358779065,162.418041657757,5,0.9,5.81478618,9030,NaN,NaN,NaN,0,0
1,GWO,335.309982412933,32.7127886629044,3,0.966666666666667,6.25797967333334,9030,NaN,NaN,NaN,0,0
1,WOA,640.650719832508,249.190577488294,7,0.733333333333333,6.77815354666667,9030,NaN,NaN,NaN,0,0
1,HHO,439.875004562707,183.682158742249,6,0.766666666666667,8.37138931,11492.2666666667,NaN,NaN,NaN,0,0
1,DBO,347.313006330932,23.5106718931259,4,1,6.45195352,9030,NaN,NaN,NaN,0,0
1,CPO,299.348314008142,5.86436584125599,1,1,6.60431715333333,9030,NaN,NaN,NaN,0,0
2,CVF-AE,302.746218307278,4.85465455118141,2,1,6.3045307,9505.83333333333,6.56666666666667,398.066666666667,229.4,77.7666666666667,53.9333333333333
2,AE,1659.24211969879,409.018452348672,8,0,4.60830869,9030,NaN,NaN,NaN,0,0
2,PSO,641.750498878661,386.129840054094,6,0.5,4.53998188666667,9030,NaN,NaN,NaN,0,0
2,GWO,342.913064793681,43.1312541724348,4,1,4.61637349333333,9030,NaN,NaN,NaN,0,0
2,WOA,961.445241668141,358.453727862237,7,0.366666666666667,4.40875250666667,9030,NaN,NaN,NaN,0,0
2,HHO,380.675634734347,157.444041230363,5,0.933333333333333,10.5740636733333,11471.0666666667,NaN,NaN,NaN,0,0
2,DBO,337.286416025683,23.5725480386202,3,1,12.5178121733333,9030,NaN,NaN,NaN,0,0
2,CPO,278.944157261345,5.9703672986322,1,1,6.05144971666667,9030,NaN,NaN,NaN,0,0
4,CVF-AE,352.568501703794,21.6871304669829,1,1,7.71935395333333,9345.53333333333,0,225.166666666667,147.1,90.3666666666667,61.5
4,AE,1685.72715928075,201.588279334143,8,0,6.26376882666667,9030,NaN,NaN,NaN,0,0
4,PSO,1310.28005143256,397.132840887763,6,0.0666666666666667,6.05407885,9030,NaN,NaN,NaN,0,0
4,GWO,698.486865052657,362.979022843768,4,0.5,6.68753260333334,9030,NaN,NaN,NaN,0,0
4,WOA,1534.91696946513,397.285746466446,7,0.0666666666666667,6.94939093333333,9030,NaN,NaN,NaN,0,0
4,HHO,944.083308918726,476.740142581096,5,0.333333333333333,8.06691103,11489.5,NaN,NaN,NaN,0,0
4,DBO,377.99308680098,16.6221789277122,2,1,5.76971681333333,9030,NaN,NaN,NaN,0,0
4,CPO,476.077602734351,290.337182447369,3,0.8,6.85956678,9030,NaN,NaN,NaN,0,0
