Scene,Algorithm,Run,Seed,BestFitness,Runtime,Feasible,Violation,NEvals,FirstFeasibleIter,FirstFeasibleTime,RepairCount,RepairSuccessCount,ViabilityFieldCount,ViabilityFieldSuccessCount,WallClock
1,CVF-AE,1,20270725,304.911677883195,2.6779724,1,0,1758,0,0.0834716,113,25,25,25,2.6861281
1,CVF-AE,2,20270726,308.084864234496,2.6303549,1,0,1776,6,0.224548,123,30,33,31,2.6334502
1,CVF-AE,3,20270727,311.488860294812,2.7322034,1,0,1761,6,0.2211825,105,34,36,33,2.7352708
1,AE,1,20270825,545.484772216212,1.6300832,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.6646976
1,AE,2,20270826,1549.93163436061,1.6556943,0,6,1620,NaN,NaN,NaN,NaN,0,0,1.6781167
1,AE,3,20270827,1398.64417735556,1.7713585,0,4,1620,NaN,NaN,NaN,NaN,0,0,1.7971741
1,PSO,1,20270925,337.6524848315,1.6356372,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.6630711
1,PSO,2,20270926,539.361840918988,1.6216033,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.646039
1,PSO,3,20270927,335.67807490646,1.6154909,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.6376284
1,GWO,1,20271025,341.294104701561,1.6806463,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.7223784
1,GWO,2,20271026,335.897622968258,1.7873112,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.8142743
1,GWO,3,20271027,352.81994893116,1.644365,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.6711823
1,WOA,1,20271125,1088.49587415385,1.5825761,0,3,1620,NaN,NaN,NaN,NaN,0,0,1.613522
1,WOA,2,20271126,642.942668931013,1.6473049,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.6720463
1,WOA,3,20271127,679.321664113078,1.5349568,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.5581173
1,HHO,1,20271225,434.306969137229,2.1595227,1,0,2107,NaN,NaN,NaN,NaN,0,0,2.1905448
1,HHO,2,20271226,1171.61718086984,2.0562821,0,3,2084,NaN,NaN,NaN,NaN,0,0,2.0776365
1,HHO,3,20271227,919.58857622108,1.9377475,0,3,1977,NaN,NaN,NaN,NaN,0,0,1.9607763
1,DBO,1,20271325,381.885254502465,1.5333798,1,7.8159700933611e-14,1620,NaN,NaN,NaN,NaN,0,0,1.5720937
1,DBO,2,20271326,379.831706253828,1.6249162,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.6469391
1,DBO,3,20271327,369.699084686106,1.7342497,1,7.8159700933611e-14,1620,NaN,NaN,NaN,NaN,0,0,1.7562921
1,CPO,1,20271425,322.872798365425,1.6847474,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.7100098
1,CPO,2,20271426,304.090770945132,1.6573743,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.6787028
1,CPO,3,20271427,328.151983713525,1.6525741,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.6788328
2,CVF-AE,1,20280725,324.836480068657,2.9647913,1,0,1749,30,1.0487592,73,59,56,43,2.9813556
2,CVF-AE,2,20280726,330.34157357967,3.3554907,1,0,1767,15,0.4693191,125,112,22,18,3.357469
2,CVF-AE,3,20280727,321.921513042302,2.3857985,1,0,1673,14,0.4196763,41,38,12,11,2.3869491
2,AE,1,20280825,2843.60342026842,1.7924254,0,14,1620,NaN,NaN,NaN,NaN,0,0,1.8222627
2,AE,2,20280826,2771.42929057551,1.7580804,0,15,1620,NaN,NaN,NaN,NaN,0,0,1.7814644
2,AE,3,20280827,2634.98172153889,1.77722,0,14,1620,NaN,NaN,NaN,NaN,0,0,1.7979387
2,PSO,1,20280925,2526.49681299959,1.6382302,0,11,1620,NaN,NaN,NaN,NaN,0,0,1.6726108
2,PSO,2,20280926,1965.83637972106,1.638497,0,8,1620,NaN,NaN,NaN,NaN,0,0,1.6600805
2,PSO,3,20280927,1073.5506273481,1.7092135,0,2,1620,NaN,NaN,NaN,NaN,0,0,1.7359086
2,GWO,1,20281025,403.988413774275,1.7465062,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.7708753
2,GWO,2,20281026,443.477062650098,1.752906,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.7880516
2,GWO,3,20281027,903.275939761207,1.798691,0,3,1620,NaN,NaN,NaN,NaN,0,0,1.8215354
2,WOA,1,20281125,691.571320554454,1.6495206,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.6742214
2,WOA,2,20281126,779.668831386106,1.6063286,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.6346457
2,WOA,3,20281127,480.975441598735,1.7657343,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.7888132
2,HHO,1,20281225,644.383373869645,2.0536317,1,0,1981,NaN,NaN,NaN,NaN,0,0,2.0818589
2,HHO,2,20281226,1051.49660123894,2.2227295,0,2,2061,NaN,NaN,NaN,NaN,0,0,2.2531406
2,HHO,3,20281227,1855.40321797938,2.1836532,0,7,2047,NaN,NaN,NaN,NaN,0,0,2.2069303
2,DBO,1,20281325,434.956855997247,1.7331726,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.7698529
2,DBO,2,20281326,416.419715050296,1.7261096,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.747108
2,DBO,3,20281327,476.480637632938,1.620531,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.6410532
2,CPO,1,20281425,305.845353726224,1.7298543,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.7607066
2,CPO,2,20281426,340.834887737882,1.7003685,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.7227392
2,CPO,3,20281427,325.883171221047,1.7189877,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.7423308
4,CVF-AE,1,20300725,388.759594369445,2.3603278,1,0,1657,0,0.0326709,32,25,5,3,2.3624679
4,CVF-AE,2,20300726,394.776211865208,2.4758354,1,0,1661,0,0.0376455,34,24,7,5,2.4768123
4,CVF-AE,3,20300727,388.668712339012,2.4320844,1,0,1658,0,0.0319759,29,24,9,6,2.433132
4,AE,1,20300825,1651.58355104715,1.7408,0,6,1620,NaN,NaN,NaN,NaN,0,0,1.7643272
4,AE,2,20300826,2099.46163976358,1.8566395,0,10,1620,NaN,NaN,NaN,NaN,0,0,1.8823034
