Scene,Algorithm,Mean,Std,Rank,Feasibility,AvgRuntime,AvgNEvals,AvgFirstFeasibleIter,AvgRepairCount,AvgRepairSuccessCount,AvgViabilityFieldCount,AvgViabilityFieldSuccessCount
1,CVF-AE,308.161800804168,3.28926611050762,1,1,2.6801769,1765,4,113.666666666667,29.6666666666667,31.3333333333333,29.6666666666667
1,AE,1164.6868613108,541.553685257598,8,0.333333333333333,1.685712,1620,NaN,NaN,NaN,0,0
1,PSO,404.230800218983,117.031077898727,5,1,1.6242438,1620,NaN,NaN,NaN,0,0
1,GWO,343.33722553366,8.64419088461145,3,1,1.7041075,1620,NaN,NaN,NaN,0,0
1,WOA,803.586735732647,247.408105545369,6,0.666666666666667,1.58827926666667,1620,NaN,NaN,NaN,0,0
1,HHO,841.837575409384,374.753920161901,7,0.333333333333333,2.0511841,2056,NaN,NaN,NaN,0,0
1,DBO,377.138681814133,6.52418341042595,4,1,1.63084856666667,1620,NaN,NaN,NaN,0,0
1,CPO,318.371851008027,12.6463190418006,2,1,1.6648986,1620,NaN,NaN,NaN,0,0
2,CVF-AE,325.699855563543,4.27591134111934,2,1,2.90202683333333,1729.66666666667,19.6666666666667,79.6666666666667,69.6666666666667,30,24
2,AE,2750.00481079427,105.948145550649,8,0,1.7759086,1620,NaN,NaN,NaN,0,0
2,PSO,1855.29460668958,732.753551535923,7,0,1.66198023333333,1620,NaN,NaN,NaN,0,0
2,GWO,583.58047206186,277.567527636317,4,0.666666666666667,1.7660344,1620,NaN,NaN,NaN,0,0
2,WOA,650.738531179765,153.476131016376,5,1,1.67386116666667,1620,NaN,NaN,NaN,0,0
2,HHO,1183.76106436265,616.248879805022,6,0.333333333333333,2.15333813333333,2029.66666666667,NaN,NaN,NaN,0,0
2,DBO,442.61906956016,30.7548490954243,3,1,1.69327106666667,1620,NaN,NaN,NaN,0,0
2,CPO,324.187804228384,17.5562688096901,1,1,1.7164035,1620,NaN,NaN,NaN,0,0
4,CVF-AE,390.734839524555,3.50022609022717,1,1,2.4227492,1658.66666666667,0,31.6666666666667,24.3333333333333,7,4.66666666666667
4,AE,1741.44472781879,322.613265873812,6,0,1.81167163333333,1620,NaN,NaN,NaN,0,0
4,PSO,1801.69238820186,397.107892646011,7,0,1.77102183333333,1620,NaN,NaN,NaN,0,0
4,GWO,1930.68430563962,307.17101632004,8,0,1.7142129,1620,NaN,NaN,NaN,0,0
4,WOA,1502.65502464714,142.321157119962,4,0,1.5590959,1620,NaN,NaN,NaN,0,0
4,HHO,1523.4584094542,59.936595280716,5,0,2.12781536666667,2033.33333333333,NaN,NaN,NaN,0,0
4,DBO,415.138950420771,23.1461142076715,2,1,1.7526139,1620,NaN,NaN,NaN,0,0
4,CPO,1185.37053293234,706.567578777234,3,0.333333333333333,1.64714366666667,1620,NaN,NaN,NaN,0,0
