Scene,Algorithm,Run,Seed,BestFitness,Runtime,Feasible,Violation,NEvals,FirstFeasibleIter,FirstFeasibleTime,RepairCount,RepairSuccessCount,ViabilityFieldCount,ViabilityFieldSuccessCount,WallClock
1,GDSAO,1,20270802,301.021197762975,11.7030459,1,0,17955,NaN,NaN,NaN,NaN,0,0,11.7299264
1,GDSAO,2,20270803,319.005271406599,10.5790921,1,0,17955,NaN,NaN,NaN,NaN,0,0,10.6006098
1,GDSAO,3,20270804,318.886537878473,10.293012,1,0,17955,NaN,NaN,NaN,NaN,0,0,10.31432
1,GDSAO,4,20270805,313.800397068225,11.4267548,1,0,17955,NaN,NaN,NaN,NaN,0,0,11.4526303
1,GDSAO,5,20270806,325.783117907681,11.0291538,1,0,17955,NaN,NaN,NaN,NaN,0,0,11.0465713
1,GDSAO,6,20270807,322.048157977989,10.7891655,1,0,17955,NaN,NaN,NaN,NaN,0,0,10.8089793
1,GDSAO,7,20270808,317.707025719628,11.4508362,1,0,17955,NaN,NaN,NaN,NaN,0,0,11.4727177
1,GDSAO,8,20270809,322.463414028808,11.2033371,1,0,17955,NaN,NaN,NaN,NaN,0,0,11.2264632
1,GDSAO,9,20270810,320.073353186924,11.0742005,1,0,17955,NaN,NaN,NaN,NaN,0,0,11.0919946
1,GDSAO,10,20270811,303.300338133068,10.8762812,1,0,17955,NaN,NaN,NaN,NaN,0,0,10.8949309
1,GDSAO,11,20270812,303.831345707581,10.7683312,1,0,17955,NaN,NaN,NaN,NaN,0,0,10.7912019
1,GDSAO,12,20270813,322.122914989321,10.5540008,1,0,17955,NaN,NaN,NaN,NaN,0,0,10.5814194
1,GDSAO,13,20270814,319.272509328364,10.5026224,1,0,17955,NaN,NaN,NaN,NaN,0,0,10.5200061
1,GDSAO,14,20270815,323.452067634976,10.5733893,1,0,17955,NaN,NaN,NaN,NaN,0,0,10.5905226
1,GDSAO,15,20270816,322.810215356284,10.3981559,1,0,17955,NaN,NaN,NaN,NaN,0,0,10.4159643
1,GDSAO,16,20270817,322.060643608603,10.713189,1,2.22044604925031e-14,17955,NaN,NaN,NaN,NaN,0,0,10.7310596
1,GDSAO,17,20270818,327.463679268411,10.2113457,1,0,17955,NaN,NaN,NaN,NaN,0,0,10.2283241
1,GDSAO,18,20270819,308.612980519909,10.450917,1,0,17955,NaN,NaN,NaN,NaN,0,0,10.475947
1,GDSAO,19,20270820,305.66998009829,10.3271189,1,0,17955,NaN,NaN,NaN,NaN,0,0,10.3451827
1,GDSAO,20,20270821,319.421908516487,10.4859698,1,0,17955,NaN,NaN,NaN,NaN,0,0,10.5044141
1,GDSAO,21,20270822,319.80991510681,10.1372913,1,0,17955,NaN,NaN,NaN,NaN,0,0,10.1562145
1,GDSAO,22,20270823,303.817149717257,10.0570506,1,0,17955,NaN,NaN,NaN,NaN,0,0,10.0775846
1,GDSAO,23,20270824,307.486828927596,9.908752,1,0,17955,NaN,NaN,NaN,NaN,0,0,9.9258585
1,GDSAO,24,20270825,320.602619547987,10.3237117,1,0,17955,NaN,NaN,NaN,NaN,0,0,10.3424362
1,GDSAO,25,20270826,317.183003609356,10.1804394,1,0,17955,NaN,NaN,NaN,NaN,0,0,10.2017141
1,GDSAO,26,20270827,318.409675223527,9.7950902,1,0,17955,NaN,NaN,NaN,NaN,0,0,9.8124837
1,GDSAO,27,20270828,321.296956965882,10.7986691,1,0,17955,NaN,NaN,NaN,NaN,0,0,10.8188494
1,GDSAO,28,20270829,301.084183892936,10.3806849,1,0,17955,NaN,NaN,NaN,NaN,0,0,10.4018715
1,GDSAO,29,20270830,301.833302601728,10.5856409,1,0,17955,NaN,NaN,NaN,NaN,0,0,10.6029769
1,GDSAO,30,20270831,322.295983690529,12.2587538,1,0,17955,NaN,NaN,NaN,NaN,0,0,12.2764315
1,ERIME,1,20270902,324.101743568398,7.550772,1,2.8421709430404e-14,9522,NaN,NaN,NaN,NaN,0,0,7.5718215
1,ERIME,2,20270903,323.659094851956,8.1862873,1,1.59872115546023e-14,9492,NaN,NaN,NaN,NaN,0,0,8.2163706
1,ERIME,3,20270904,328.035171949372,8.1508825,1,0,9447,NaN,NaN,NaN,NaN,0,0,8.1772094
1,ERIME,4,20270905,315.478094055251,8.2530593,1,4.44089209850063e-14,9489,NaN,NaN,NaN,NaN,0,0,8.2729013
1,ERIME,5,20270906,337.028191438955,6.9976913,1,4.44089209850063e-14,9426,NaN,NaN,NaN,NaN,0,0,7.0276316
1,ERIME,6,20270907,330.400362705964,6.3376575,1,0,9492,NaN,NaN,NaN,NaN,0,0,6.3604985
1,ERIME,7,20270908,338.402181489793,5.7317576,1,0,9465,NaN,NaN,NaN,NaN,0,0,5.7490046
1,ERIME,8,20270909,318.361132818697,6.8133819,1,0,9474,NaN,NaN,NaN,NaN,0,0,6.83691
1,ERIME,9,20270910,318.964835584385,6.0462369,1,4.44089209850063e-14,9438,NaN,NaN,NaN,NaN,0,0,6.0651424
1,ERIME,10,20270911,317.490400800344,7.4503656,1,0,9510,NaN,NaN,NaN,NaN,0,0,7.4734528
1,ERIME,11,20270912,345.643792205414,6.151689,1,1.59872115546023e-14,9471,NaN,NaN,NaN,NaN,0,0,6.1743972
1,ERIME,12,20270913,341.773728226736,6.0012326,1,0,9435,NaN,NaN,NaN,NaN,0,0,6.0270356
1,ERIME,13,20270914,311.80841846752,6.3428563,1,0,9510,NaN,NaN,NaN,NaN,0,0,6.3613089
1,ERIME,14,20270915,300.371442797895,6.5534279,1,0,9471,NaN,NaN,NaN,NaN,0,0,6.5747538
1,ERIME,15,20270916,339.590185133154,6.6487725,1,0,9480,NaN,NaN,NaN,NaN,0,0,6.6723183
1,ERIME,16,20270917,329.168017045557,6.5710986,1,0,9492,NaN,NaN,NaN,NaN,0,0,6.5912978
1,ERIME,17,20270918,318.351657601643,6.3139964,1,4.44089209850063e-14,9513,NaN,NaN,NaN,NaN,0,0,6.3383651
1,ERIME,18,20270919,307.230052955024,7.263477,1,0,9495,NaN,NaN,NaN,NaN,0,0,7.2841826
