Scene,Algorithm,Run,Seed,BestFitness,Runtime,Feasible,Violation,NEvals,FirstFeasibleIter,FirstFeasibleTime,RepairCount,RepairSuccessCount,ViabilityFieldCount,ViabilityFieldSuccessCount,WallClock
2,CVF-AE,1,20280725,301.945195098544,6.6452232,1,0,9461,8,0.403313,407,229,24,17,0.0014161
2,CVF-AE,2,20280726,306.305718166213,6.2695168,1,0,9555,11,0.2538626,425,251,100,67,0.00125
2,CVF-AE,3,20280727,301.333440103663,6.0723372,1,0,9454,2,0.0555961,394,201,30,14,0.0010926
2,CVF-AE,4,20280728,302.560658081058,6.1058675,1,0,9511,6,0.1283866,402,233,79,64,0.0011793
2,CVF-AE,5,20280729,303.964847272916,5.932729,1,0,9458,7,0.1589714,337,195,91,54,0.0011348
2,CVF-AE,6,20280730,309.938752468673,6.1462169,1,0,9537,8,0.1668567,426,281,81,60,0.0011248
2,CVF-AE,7,20280731,316.603168699438,6.3795547,1,0,9634,9,0.1829061,485,278,119,76,0.00112
2,CVF-AE,8,20280732,303.831894603742,5.991806,1,0,9501,13,0.2744445,361,221,110,72,0.0011017
2,CVF-AE,9,20280733,296.369554782864,5.9721869,1,0,9457,3,0.0610433,402,239,25,18,0.0012319
2,CVF-AE,10,20280734,294.252140203198,5.7479978,1,0,9385,13,0.2716024,264,161,91,65,0.0011357
2,CVF-AE,11,20280735,307.530496956373,6.191466,1,0,9566,12,0.2263399,462,289,74,53,0.0012125
2,CVF-AE,12,20280736,301.105347448816,5.929795,1,0,9475,3,0.0609656,369,207,76,57,0.0010789
2,CVF-AE,13,20280737,302.484836307687,6.0202741,1,0,9506,12,0.2331095,365,180,111,72,0.0011616
2,CVF-AE,14,20280738,304.881787318742,6.1942838,1,0,9548,0,0.0225314,432,264,86,73,0.0010868
2,CVF-AE,15,20280739,302.675839932804,6.1522287,1,0,9534,4,0.0864744,419,217,85,64,0.001109
2,CVF-AE,16,20280740,304.299777615089,6.2106777,1,0,9524,0,0.0204578,411,238,83,62,0.0012294
