Scene,Algorithm,Run,Seed,BestFitness,Runtime,Feasible,Violation,NEvals,FirstFeasibleIter,FirstFeasibleTime,RepairCount,RepairSuccessCount,ViabilityFieldCount,ViabilityFieldSuccessCount,WallClock
2,CVF-AE,1,20280726,300.139224411031,2.1169594,1,0,1697,8,0.3530161,53,32,24,17,2.1266863
2,CVF-AE,2,20280727,298.640689691069,1.7086886,1,0,1679,4,0.1112368,49,27,10,8,1.7108585
2,CVF-AE,3,20280728,307.771439656483,1.3626225,1,0,1656,3,0.0884287,28,22,8,7,1.3651296
2,CVF-AE,4,20280729,308.135890909862,1.2686499,1,0,1662,1,0.0190119,33,19,9,8,1.2698072
2,CVF-AE,5,20280730,301.589143921567,1.246101,1,0,1664,8,0.1196223,30,17,14,9,1.2481518
2,AE,1,20280826,2406.32043004971,1.0322705,0,12,1620,NaN,NaN,NaN,NaN,0,0,1.0529175
2,AE,2,20280827,2443.85912211332,1.0642294,0,12.2296623758171,1620,NaN,NaN,NaN,NaN,0,0,1.0781326
2,AE,3,20280828,1315.90116978554,1.0675338,0,5,1620,NaN,NaN,NaN,NaN,0,0,1.0847004
2,AE,4,20280829,2757.68287785476,1.0760412,0,11,1620,NaN,NaN,NaN,NaN,0,0,1.0886228
2,AE,5,20280830,2316.20246418314,0.8904141,0,12,1620,NaN,NaN,NaN,NaN,0,0,0.9020693
2,PSO,1,20280926,385.27221052957,1.1210562,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.1369313
2,PSO,2,20280927,1016.0965591449,0.9644818,0,3,1620,NaN,NaN,NaN,NaN,0,0,0.9772679
2,PSO,3,20280928,377.407777606225,0.9102236,1,0,1620,NaN,NaN,NaN,NaN,0,0,0.9248794
2,PSO,4,20280929,1588.17550331023,0.9638761,0,6,1620,NaN,NaN,NaN,NaN,0,0,0.9769178
2,PSO,5,20280930,1004.48381862171,0.9327405,0,3,1620,NaN,NaN,NaN,NaN,0,0,0.9448809
2,GWO,1,20281026,305.57021057594,0.9113702,1,0,1620,NaN,NaN,NaN,NaN,0,0,0.9279817
2,GWO,2,20281027,453.140569609243,0.9283648,1,0,1620,NaN,NaN,NaN,NaN,0,0,0.9406635
2,GWO,3,20281028,339.089021824769,0.964563,1,0,1620,NaN,NaN,NaN,NaN,0,0,0.9793007
2,GWO,4,20281029,441.63816786105,0.935752,1,0,1620,NaN,NaN,NaN,NaN,0,0,0.9481433
2,GWO,5,20281030,322.729063147673,1.0891981,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.1046128
2,WOA,1,20281126,777.703551077527,0.849115,1,0,1620,NaN,NaN,NaN,NaN,0,0,0.8653543
2,WOA,2,20281127,701.378727874517,0.8942104,1,0,1620,NaN,NaN,NaN,NaN,0,0,0.9074423
2,WOA,3,20281128,1309.94077543786,0.8827106,0,4,1620,NaN,NaN,NaN,NaN,0,0,0.8956107
2,WOA,4,20281129,559.337161481007,1.0210106,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.0340277
2,WOA,5,20281130,746.320737055685,0.9848623,1,0,1620,NaN,NaN,NaN,NaN,0,0,0.9999668
2,HHO,1,20281226,381.353985948625,1.0633287,1,0,1979,NaN,NaN,NaN,NaN,0,0,1.0764524
2,HHO,2,20281227,1982.9927146867,1.1251078,0,9,2048,NaN,NaN,NaN,NaN,0,0,1.1409827
2,HHO,3,20281228,1117.53782533953,1.2445382,0,4,1958,NaN,NaN,NaN,NaN,0,0,1.257658
2,HHO,4,20281229,525.325890960494,1.2183901,1,0,2033,NaN,NaN,NaN,NaN,0,0,1.2309297
2,HHO,5,20281230,1067.42293577691,1.2832931,0,4,2045,NaN,NaN,NaN,NaN,0,0,1.3013978
2,DBO,1,20281326,403.768557884599,1.008729,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.023968
2,DBO,2,20281327,426.376142571591,1.0190435,1,7.105427357601e-14,1620,NaN,NaN,NaN,NaN,0,0,1.0335145
2,DBO,3,20281328,527.515491725278,0.9718619,1,1.06581410364015e-13,1620,NaN,NaN,NaN,NaN,0,0,0.9841111
2,DBO,4,20281329,405.32985142501,0.9458807,1,0,1620,NaN,NaN,NaN,NaN,0,0,0.9623933
2,DBO,5,20281330,464.682966062579,1.1108652,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.1247759
2,CPO,1,20281426,301.336849038604,1.1319778,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.149474
2,CPO,2,20281427,298.791766376954,1.1881908,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.2009448
2,CPO,3,20281428,284.1154378385,1.0206413,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.0336169
2,CPO,4,20281429,294.129804071449,0.9772572,1,0,1620,NaN,NaN,NaN,NaN,0,0,0.9909982
2,CPO,5,20281430,302.998634864335,1.0087537,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.0233321
