Scene,Algorithm,Run,Seed,BestFitness,Runtime,Feasible,Violation,NEvals,FirstFeasibleIter,FirstFeasibleTime,RepairCount,RepairSuccessCount,ViabilityFieldCount,ViabilityFieldSuccessCount,MeanViabilityFieldNorm,CVFObstacleFrac,CVFNFZFrac,CVFRiskFrac,CVFAltitudeFrac,CVFCurvatureFrac,CVFBoundaryFrac,CVFNoneFrac
1,Base-AE,1,20270722,771.098792326743,2.3278625,0,1,4530,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,2,20270723,1263.56041808746,2.3738299,0,4,4530,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,3,20270724,388.148332352324,2.3397002,1,0,4530,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,4,20270725,613.386177864047,2.3605537,1,0,4530,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,5,20270726,1647.25923839276,2.3408355,0,6,4530,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,6,20270727,1142.27895835115,2.3177258,0,4,4530,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,7,20270728,1696.88613519791,2.3331197,0,7,4530,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,8,20270729,1960.40594428698,2.369898,0,7,4530,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,9,20270730,781.257178195161,2.340574,0,1,4530,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,10,20270731,420.553999684349,2.341995,1,0,4530,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,CVF-AE-w/o-Init,1,20270822,323.100759149076,3.8264203,1,0,5288,22,0.5112027,161,91,597,391,3.03810026592141,0.32,0,0.68,0,0,0,0
1,CVF-AE-w/o-Init,2,20270823,325.098683895752,4.0558754,1,0,5378,12,0.2772415,249,138,599,419,3.47692798019363,0.0266666666666667,0,0.933333333333333,0,0.04,0,0
1,CVF-AE-w/o-Init,3,20270824,331.210644793962,3.9694258,1,0,5353,16,0.36728,225,118,598,460,3.59649800421545,0.346666666666667,0,0.606666666666667,0.0466666666666667,0,0,0
1,CVF-AE-w/o-Init,4,20270825,319.885788473881,3.9984098,1,0,5358,8,0.1546292,244,81,584,435,2.76399555410002,0.64,0.02,0.313333333333333,0,0.0266666666666667,0,0
1,CVF-AE-w/o-Init,5,20270826,325.014012908163,4.0595896,1,0,5374,39,0.966973,250,151,594,451,3.75010520411457,0.213333333333333,0,0.673333333333333,0.113333333333333,0,0,0
1,CVF-AE-w/o-Init,6,20270827,316.263959664586,3.8985922,1,0,5311,0,0.0296335,181,156,600,415,3.86662372810785,0.793333333333333,0.00666666666666667,0,0,0.2,0,0
1,CVF-AE-w/o-Init,7,20270828,310.079686133317,3.4422106,1,0,5072,23,0.5225208,101,48,441,313,2.87112361613937,0.153333333333333,0,0.826666666666667,0,0.02,0,0
1,CVF-AE-w/o-Init,8,20270829,320.988267543418,4.0424772,1,0,5372,23,0.5405589,242,132,600,417,3.43973629403246,0.82,0,0.16,0,0.02,0,0
1,CVF-AE-w/o-Init,9,20270830,335.675955234863,4.0488081,1,0,5369,26,0.6101582,245,158,594,443,2.92298578713575,0.08,0,0.206666666666667,0.686666666666667,0.0266666666666667,0,0
1,CVF-AE-w/o-Init,10,20270831,317.376767180005,4.0488781,1,0,5362,18,0.4281842,237,76,595,418,2.63973565831904,0.52,0,0.473333333333333,0.00666666666666667,0,0,0
1,CVF-AE-w/o-StateAdaptiveCVF,1,20270922,304.77627097543,4.0808977,1,0,5389,0,0.0272752,259,59,600,575,1.05766583665296,0.426666666666667,0,0.573333333333333,0,0,0,0
1,CVF-AE-w/o-StateAdaptiveCVF,2,20270923,304.260164714066,4.1061308,1,0,5391,0,0.0328752,261,70,600,576,1.04659722927876,0.413333333333333,0,0.586666666666667,0,0,0,0
1,CVF-AE-w/o-StateAdaptiveCVF,3,20270924,302.111811450037,4.0887241,1,0,5390,8,0.1975853,260,53,600,571,1.28540124888406,0.26,0,0.74,0,0,0,0
1,CVF-AE-w/o-StateAdaptiveCVF,4,20270925,299.930780513634,4.0857412,1,0,5391,0,0.0293241,261,69,600,579,1.25044942448675,0.08,0,0.92,0,0,0,0
1,CVF-AE-w/o-StateAdaptiveCVF,5,20270926,304.203844446381,4.071708,1,0,5388,0,0.0242056,258,68,600,580,0.820238639319252,0.153333333333333,0,0.846666666666667,0,0,0,0
1,CVF-AE-w/o-StateAdaptiveCVF,6,20270927,305.256081613384,4.0410603,1,0,5391,0,0.0292038,261,64,600,568,0.862942082835368,0.533333333333333,0,0.466666666666667,0,0,0,0
1,CVF-AE-w/o-StateAdaptiveCVF,7,20270928,298.91049745258,4.0616398,1,0,5391,9,0.2224173,261,63,600,573,0.699469651624274,0.14,0,0.86,0,0,0,0
1,CVF-AE-w/o-StateAdaptiveCVF,8,20270929,302.109369299928,4.0828079,1,0,5390,0,0.0319465,260,50,600,582,0.936323312431888,0.86,0,0.14,0,0,0,0
1,CVF-AE-w/o-StateAdaptiveCVF,9,20270930,299.122459559807,4.0195969,1,0,5389,0,0.0265865,259,75,600,557,1.07163255860219,0.226666666666667,0,0.773333333333333,0,0,0,0
1,CVF-AE-w/o-StateAdaptiveCVF,10,20270931,297.168620177071,4.0914999,1,0,5390,0,0.0268245,260,87,600,568,2.11483297235578,0.22,0,0.78,0,0,0,0
1,CVF-AE-w/o-SparsePreservation,1,20271022,313.033451412566,3.3455984,1,0,5130,5,0.1060103,0,0,600,502,1.36633742065311,1,0,0,0,0,0,0
1,CVF-AE-w/o-SparsePreservation,2,20271023,301.161721957683,3.2141357,1,0,5056,9,0.1977549,0,0,526,431,0.835601317386602,0.186666666666667,0,0.813333333333333,0,0,0,0
1,CVF-AE-w/o-SparsePreservation,3,20271024,308.189859579934,3.3631376,1,0,5130,8,0.1998504,0,0,600,500,1.92257257600392,0.0733333333333333,0,0.926666666666667,0,0,0,0
1,CVF-AE-w/o-SparsePreservation,4,20271025,309.524529297555,3.3261438,1,0,5130,29,0.6596291,0,0,600,514,1.37445254359512,0.846666666666667,0,0.153333333333333,0,0,0,0
1,CVF-AE-w/o-SparsePreservation,5,20271026,302.316210616555,3.2870435,1,0,5098,2,0.0610749,0,0,568,467,1.93470913692455,0.44,0,0.56,0,0,0,0
1,CVF-AE-w/o-SparsePreservation,6,20271027,308.853219012925,3.3247817,1,0,5130,0,0.017556,0,0,600,521,1.05875576006612,0.233333333333333,0,0.766666666666667,0,0,0,0
1,CVF-AE-w/o-SparsePreservation,7,20271028,308.245216852049,3.3412981,1,0,5130,5,0.1204393,0,0,600,496,0.989123689888875,0.873333333333333,0,0.126666666666667,0,0,0,0
1,CVF-AE-w/o-SparsePreservation,8,20271029,310.142668773335,3.3326213,1,0,5130,6,0.1425168,0,0,600,503,0.929070812528875,1,0,0,0,0,0,0
1,CVF-AE-w/o-SparsePreservation,9,20271030,307.294847378741,3.3928638,1,0,5130,0,0.0182146,0,0,600,514,2.02592543221513,0.193333333333333,0,0.806666666666667,0,0,0,0
1,CVF-AE-w/o-SparsePreservation,10,20271031,308.375070676517,3.4061772,1,0,5130,0,0.0172759,0,0,600,527,0.782911663727516,0.866666666666667,0,0.133333333333333,0,0,0,0
1,CVF-AE-w/o-CVF,1,20271122,299.387008569496,2.9575269,1,0,4712,26,0.4866772,182,51,0,0,0,0,0,0,0,0,0,1
1,CVF-AE-w/o-CVF,2,20271123,305.005952044837,3.1309043,1,0,4772,0,0.0238848,242,78,0,0,0,0,0,0,0,0,0,1
1,CVF-AE-w/o-CVF,3,20271124,303.660748208088,3.1119429,1,0,4759,0,0.0321247,229,55,0,0,0,0,0,0,0,0,0,1
1,CVF-AE-w/o-CVF,4,20271125,308.325244118768,3.085157,1,0,4760,0,0.0291917,230,57,0,0,0,0,0,0,0,0,0,1
1,CVF-AE-w/o-CVF,5,20271126,309.597821482424,3.1364243,1,0,4767,26,0.4647374,237,61,0,0,0,0,0,0,0,0,0,1
1,CVF-AE-w/o-CVF,6,20271127,307.996259824089,3.1302667,1,0,4768,0,0.0284461,238,79,0,0,0,0,0,0,0,0,0,1
1,CVF-AE-w/o-CVF,7,20271128,307.487476378359,3.1383319,1,0,4774,14,0.2596384,244,72,0,0,0,0,0,0,0,0,0,1
1,CVF-AE-w/o-CVF,8,20271129,308.044620356302,3.1437594,1,0,4757,0,0.0272731,227,66,0,0,0,0,0,0,0,0,0,1
1,CVF-AE-w/o-CVF,9,20271130,304.576792066107,3.3894301,1,0,4763,0,0.0279867,233,75,0,0,0,0,0,0,0,0,0,1
1,CVF-AE-w/o-CVF,10,20271131,306.639547757098,3.1928541,1,0,4752,0,0.0366095,222,78,0,0,0,0,0,0,0,0,0,1
1,CVF-AE,1,20271222,307.718619995531,4.084347,1,0,5340,0,0.026545,214,70,596,481,1.30171854967698,0.953333333333333,0,0.0466666666666667,0,0,0,0
