Scene,Algorithm,NumRuns,FeasibleRate,MeanBestFitness,StdBestFitness,MeanFinalViolation,MeanRuntime,MeanNEvals,MeanFirstFeasibleIter,MeanRepairCount,MeanRepairSuccessCount,MeanViabilityFieldCount,MeanViabilityFieldSuccessCount,MeanViabilityFieldNorm,MeanCVFObstacleFrac,MeanCVFNFZFrac,MeanCVFRiskFrac,MeanCVFAltitudeFrac,MeanCVFCurvatureFrac,MeanCVFBoundaryFrac,Rank
1,Base-AE,10,0.3,1068.48351747389,560.715457862207,3,2.34460943,4530,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,6
1,CVF-AE-w/o-Init,10,1,322.469452497702,7.3893728127303,0,3.93906871,5323.7,18.7,213.5,114.9,580.2,416.2,3.23658320922796,0.391333333333333,0.00266666666666667,0.487333333333333,0.0853333333333333,0.0333333333333333,0,5
1,CVF-AE-w/o-StateAdaptiveCVF,10,1,301.784990020232,2.85358173884328,0,4.07298066,5390,1.7,260,65.8,600,572.9,1.11455529564713,0.331333333333333,0,0.668666666666667,0,0,0,1
1,CVF-AE-w/o-SparsePreservation,10,1,307.713679555786,3.52704858401344,0,3.33338011,5119.4,6.4,0,0,589.4,497.5,1.32194603529898,0.571333333333333,0,0.428666666666667,0,0,0,4
1,CVF-AE-w/o-CVF,10,1,306.072147080557,3.00561636092494,0,3.14165976,4758.4,6.6,228.4,67.2,0,0,0,0,0,0,0,0,0,2
1,CVF-AE,10,1,306.618605983933,2.6245828155751,0,6.08882669,5360,0.9,230.4,71.6,599.6,505.3,1.20209662645883,0.552,0,0.431333333333333,0,0,0.0166666666666667,3
2,Base-AE,10,0,2481.90059394588,250.45447880285,12.4,4.27276117,4530,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,6
2,CVF-AE-w/o-Init,10,0.9,489.349672328648,513.840700755126,1,7.95738948,5076.3,46,133.8,104.6,412.5,291,2.73972318991691,0.728666666666667,0,0,0.0326666666666667,0,0.0553333333333333,5
2,CVF-AE-w/o-StateAdaptiveCVF,10,0.9,470.078497686226,404.529259216139,0.8,8.95352208,5197.9,34.6666666666667,204.6,65.3,463.3,347.9,3.12761551283345,0.773333333333333,0,0,0,0,0.036,4
2,CVF-AE-w/o-SparsePreservation,10,1,332.872429508191,8.68089758954429,0,7.63835672,5083.9,26.2,0,0,553.9,422.3,3.49385574737696,0.815333333333333,0,0,0,0,0.133333333333333,3
2,CVF-AE-w/o-CVF,10,1,328.930336800829,9.20080818040806,0,6.12021459,4698.7,35.1,168.7,99.6,0,0,0,0,0,0,0,0,0,2
2,CVF-AE,10,1,321.173434650196,8.64083054559215,0,9.22052856,5261.5,28,201,143.7,530.5,398.2,3.01177906932836,0.833333333333333,0,0,0.014,0,0.096,1
4,Base-AE,10,0,1789.56744525524,235.943592442743,8.1,2.96501848,4530,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,6
4,CVF-AE-w/o-Init,10,0.5,771.68046851614,469.537501690518,2.4,6.64816373,5217.8,95.6,186.3,90.1,501.5,412.7,3.49529769779574,0.904666666666667,0,0,0.00733333333333333,0,0,5
4,CVF-AE-w/o-StateAdaptiveCVF,10,1,384.362218589458,27.9033730985959,0,6.93084217,5197.7,0,67.7,36,600,259.6,3.87020047472965,0.0513333333333333,0,0,0,0,0.948666666666667,2
4,CVF-AE-w/o-SparsePreservation,10,1,392.614140788588,6.02654788410367,0,6.41120409,5130,0,0,0,600,303,3.45860723738997,0,0,0,0,0,1,4
4,CVF-AE-w/o-CVF,10,1,388.388972325067,13.1950198491539,0,3.65975335,4615.5,0,85.5,58.1,0,0,0,0,0,0,0,0,0,3
4,CVF-AE,10,1,367.277041259938,29.5100506187223,0,5.98449478,5224.6,0,94.6,59.9,600,296,3.52347948477035,0.036,0,0,0,0,0.964,1
