Scene,Algorithm,Run,Seed,BestFitness,Runtime,Feasible,Violation,NEvals,FirstFeasibleIter,FirstFeasibleTime,RepairCount,RepairSuccessCount,ViabilityFieldCount,ViabilityFieldSuccessCount,MeanViabilityFieldNorm,CVFObstacleFrac,CVFNFZFrac,CVFRiskFrac,CVFAltitudeFrac,CVFCurvatureFrac,CVFBoundaryFrac,CVFNoneFrac
1,Base-AE,1,20270723,1263.56041808746,4.6230534,0,4,4530,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,2,20270724,388.148332352324,3.7370291,1,0,4530,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,3,20270725,613.386177864047,4.0981361,1,0,4530,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,4,20270726,1647.25923839276,3.6600852,0,6,4530,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,5,20270727,1142.27895835115,3.8031722,0,4,4530,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,6,20270728,1696.88613519791,3.4526883,0,7,4530,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,7,20270729,1960.40594428698,3.4945796,0,7,4530,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,8,20270730,781.257178195161,3.2473314,0,1,4530,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,9,20270731,420.553999684349,2.9236144,1,0,4530,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,Base-AE,10,20270732,1085.31197327024,2.8869909,0,3,4530,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,1
1,CVF-AE-w/o-Init,1,20270823,334.370363143518,4.8654502,1,0,4858,12,0.4830082,248,167,80,45,1.80954618903306,0.06,0,0.306666666666667,0,0.00666666666666667,0,0.626666666666667
1,CVF-AE-w/o-Init,2,20270824,324.536206538083,4.6346478,1,0,4843,18,0.6311028,221,93,92,60,1.74841414438068,0.133333333333333,0,0.0133333333333333,0.233333333333333,0,0,0.62
1,CVF-AE-w/o-Init,3,20270825,319.608480084977,4.8276929,1,0,4802,8,0.2719766,209,78,63,40,1.4428471136461,0.06,0.02,0.26,0,0.0333333333333333,0,0.626666666666667
1,CVF-AE-w/o-Init,4,20270826,312.90928362618,5.0686087,1,0,4879,24,0.9724654,237,100,112,89,1.85391509420278,0.213333333333333,0,0.206666666666667,0.02,0,0,0.56
1,CVF-AE-w/o-Init,5,20270827,324.652553986825,4.6168244,1,0,4789,0,0.0437973,209,182,50,26,1.381521722384,0.246666666666667,0,0.02,0,0.0666666666666667,0,0.666666666666667
1,CVF-AE-w/o-Init,6,20270828,303.269928757703,4.0604038,1,0,4770,23,0.7111992,152,83,88,52,1.38399155459577,0.14,0,0.126666666666667,0,0.0266666666666667,0,0.706666666666667
1,CVF-AE-w/o-Init,7,20270829,327.847794838892,4.4707401,1,0,4876,23,0.9152474,234,131,112,79,2.05886200501091,0.213333333333333,0,0.206666666666667,0,0.02,0,0.56
1,CVF-AE-w/o-Init,8,20270830,312.371189249938,4.0172856,1,0,4798,26,0.7995337,172,90,96,71,1.34535517056674,0.12,0,0.166666666666667,0,0.02,0,0.693333333333333
1,CVF-AE-w/o-Init,9,20270831,323.658038593026,4.8450838,1,0,4848,18,0.7255691,225,67,93,61,1.35862120857169,0.0266666666666667,0,0.366666666666667,0.00666666666666667,0,0,0.6
1,CVF-AE-w/o-Init,10,20270832,331.645011426655,4.9040829,1,0,4818,19,0.6045349,196,102,92,54,1.35410562860788,0.226666666666667,0,0.133333333333333,0,0,0,0.64
1,CVF-AE-w/o-StateAdaptiveCVF,1,20270923,302.50651452182,4.4593647,1,0,4812,0,0.0944722,261,88,21,21,0.115874639383737,0.12,0,0.0133333333333333,0,0,0.00666666666666667,0.86
1,CVF-AE-w/o-StateAdaptiveCVF,2,20270924,305.933398945809,4.8790947,1,0,4828,8,0.3477097,261,65,37,35,0.11193851913371,0.146666666666667,0,0.0466666666666667,0,0,0,0.806666666666667
1,CVF-AE-w/o-StateAdaptiveCVF,3,20270925,305.198670915115,5.2259467,1,0,4801,0,0.061853,260,55,11,11,0.0723280875842982,0.0533333333333333,0,0.02,0,0,0,0.926666666666667
1,CVF-AE-w/o-StateAdaptiveCVF,4,20270926,303.344502642279,4.6575459,1,0,4807,0,0.0367981,252,73,25,22,0.123939688034938,0.0466666666666667,0,0.12,0,0,0,0.833333333333333
1,CVF-AE-w/o-StateAdaptiveCVF,5,20270927,302.777611214799,4.6997451,1,0,4813,0,0.0494994,259,61,24,20,0.0986947241603291,0.02,0,0.14,0,0,0,0.84
1,CVF-AE-w/o-StateAdaptiveCVF,6,20270928,303.932142967332,5.0683349,1,0,4822,9,0.3435473,261,74,31,30,0.100253851480713,0.06,0,0.0866666666666667,0,0,0,0.853333333333333
1,CVF-AE-w/o-StateAdaptiveCVF,7,20270929,303.71457061109,4.7999455,1,0,4803,0,0.0328571,258,46,15,14,0.170389629771465,0.0266666666666667,0,0.02,0,0,0.0533333333333333,0.9
1,CVF-AE-w/o-StateAdaptiveCVF,8,20270930,299.253224258979,4.1172465,1,0,4802,0,0.0323261,260,72,12,12,0.0711624254924777,0.0666666666666667,0,0.0133333333333333,0,0,0,0.92
1,CVF-AE-w/o-StateAdaptiveCVF,9,20270931,299.190315366743,4.6699467,1,0,4802,0,0.0420665,259,83,13,13,0.0853424151006158,0.04,0,0.04,0,0,0.00666666666666667,0.913333333333333
1,CVF-AE-w/o-StateAdaptiveCVF,10,20270932,299.241188264129,4.3867126,1,0,4803,0,0.0398577,260,78,13,13,0.0848842508863293,0.0866666666666667,0,0,0,0,0,0.913333333333333
1,CVF-AE-w/o-SparsePreservation,1,20271023,314.19882470867,4.3956256,1,0,4604,9,0.3723153,0,0,74,64,0.678199896949528,0.373333333333333,0,0,0,0,0,0.626666666666667
1,CVF-AE-w/o-SparsePreservation,2,20271024,308.189859579934,4.2912446,1,0,4602,8,0.3383824,0,0,72,62,0.50498325313554,0.0666666666666667,0,0.286666666666667,0,0,0.02,0.626666666666667
1,CVF-AE-w/o-SparsePreservation,3,20271025,308.010379521386,4.4548896,1,0,4607,10,0.4062854,0,0,77,63,0.739580882578922,0.266666666666667,0,0.113333333333333,0,0,0,0.62
1,CVF-AE-w/o-SparsePreservation,4,20271026,307.066504326482,4.223715,1,0,4583,2,0.0954321,0,0,53,50,0.391611086033405,0.286666666666667,0,0.04,0,0,0,0.673333333333333
1,CVF-AE-w/o-SparsePreservation,5,20271027,308.853219012925,4.0244268,1,0,4580,0,0.0337152,0,0,50,43,0.783546557783815,0.0933333333333333,0,0.186666666666667,0,0,0.0533333333333333,0.666666666666667
1,CVF-AE-w/o-SparsePreservation,6,20271028,308.245216852049,3.6679185,1,0,4594,5,0.1230817,0,0,64,52,0.204157874320441,0.0466666666666667,0,0.313333333333333,0,0,0,0.64
1,CVF-AE-w/o-SparsePreservation,7,20271029,310.142668773335,3.5110954,1,0,4596,6,0.268498,0,0,66,57,0.231987040354146,0.36,0,0,0,0,0,0.64
1,CVF-AE-w/o-SparsePreservation,8,20271030,307.294847378741,3.1464353,1,0,4580,0,0.0213838,0,0,50,41,0.710745984188636,0.113333333333333,0,0.22,0,0,0,0.666666666666667
1,CVF-AE-w/o-SparsePreservation,9,20271031,308.378413572011,3.4904939,1,0,4580,0,0.0213038,0,0,50,45,0.555463272753138,0,0,0.333333333333333,0,0,0,0.666666666666667
1,CVF-AE-w/o-SparsePreservation,10,20271032,305.541891964466,3.5738896,1,0,4580,0,0.0192645,0,0,50,46,0.452959541283554,0.213333333333333,0,0.12,0,0,0,0.666666666666667
1,CVF-AE-w/o-CVF,1,20271123,305.005952044837,5.2394247,1,0,4772,0,0.0508056,242,78,0,0,0,0,0,0,0,0,0,1
1,CVF-AE-w/o-CVF,2,20271124,303.660748208088,4.6992423,1,0,4759,0,0.0595796,229,55,0,0,0,0,0,0,0,0,0,1
