Scene,Algorithm,NumRuns,FeasibleRate,MeanBestFitness,StdBestFitness,MeanFinalViolation,MeanRuntime,MeanNEvals,MeanFirstFeasibleIter,MeanRepairCount,MeanRepairSuccessCount,MeanViabilityFieldCount,MeanViabilityFieldSuccessCount,MeanViabilityFieldNorm,MeanCVFObstacleFrac,MeanCVFNFZFrac,MeanCVFRiskFrac,MeanCVFAltitudeFrac,MeanCVFCurvatureFrac,MeanCVFBoundaryFrac,Rank
1,Base-AE,10,0.3,1099.90483556824,550.917311000117,3.2,3.59266806,4530,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,6
1,CVF-AE-w/o-Init,10,1,321.48688502458,9.57846832773372,0,4.63108202,4828.1,17.1,210.3,109.3,87.8,57.7,1.57371798309996,0.144,0.002,0.180666666666667,0.026,0.0173333333333333,0,5
1,CVF-AE-w/o-StateAdaptiveCVF,10,1,302.50921397081,2.48332513325565,0,4.69638833,4809.3,1.7,259.1,69.5,20.2,19.1,0.103480823102861,0.0666666666666667,0,0.05,0,0,0.00666666666666667,1
1,CVF-AE-w/o-SparsePreservation,10,1,308.592182569,2.30670688817187,0,3.87797343,4590.6,4,0,0,60.6,52.3,0.525323538938112,0.182,0,0.161333333333333,0,0,0.00733333333333333,4
1,CVF-AE-w/o-CVF,10,1,306.890752985291,1.89044664484457,0,3.80616191,4763.2,4,233.2,69.7,0,0,0,0,0,0,0,0,0,2
1,CVF-AE,10,1,306.922748551179,2.28982046079162,0,3.57448725,4811.5,0.9,229.1,70.4,52.4,43.2,0.410774021236444,0.178666666666667,0,0.124666666666667,0,0,0.034,3
2,Base-AE,10,0,2419.20371556542,330.726792367888,12.0752308783709,3.49939043,4530,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,6
2,CVF-AE-w/o-Init,10,0.9,492.81219492395,512.774514539463,1,3.65053576,4728.3,49.5555555555556,128.3,102.8,70,48.4,1.61736288057527,0.366,0,0,0.002,0,0.0133333333333333,5
2,CVF-AE-w/o-StateAdaptiveCVF,10,0.9,489.209874110786,448.871673045236,0.9,3.66701957,4771.6,35.4444444444444,195.9,66.1,45.7,33.9,0.850720974702943,0.204,0,0,0,0,0.014,4
2,CVF-AE-w/o-SparsePreservation,10,1,329.033114501076,10.5687850167982,0,2.98483496,4616.3,28.1,0,0,86.3,70.6,1.47984384481418,0.284,0,0,0.000666666666666667,0,0.0806666666666667,2
2,CVF-AE-w/o-CVF,10,1,329.680678753262,9.77608041320509,0,3.39653943,4697.1,36.8,167.1,89.7,0,0,0,0,0,0,0,0,0,3
2,CVF-AE,10,1,322.140459945926,9.71071259798812,0,3.77432891,4817.7,30.1,197.1,129,90.6,71,1.50444507674431,0.259333333333333,0,0,0,0,0.096,1
4,Base-AE,10,0,1791.40233793946,235.244191205813,8.1115945316153,2.76772865,4530,NaN,NaN,NaN,0,0,NaN,0,0,0,0,0,0,6
4,CVF-AE-w/o-Init,10,0.3,982.648011593728,522.394025135962,3.7120673366398,4.25633473,4996.2,94,176.1,87.4,290.1,236,3.32606733309209,0.83,0,0,0,0,0,5
4,CVF-AE-w/o-StateAdaptiveCVF,10,1,387.452399826887,24.6171471077605,0,3.2323997,4628.3,0,64.1,34.4,34.2,21.9,0.719702240047069,0.228,0,0,0,0,0,4
4,CVF-AE-w/o-SparsePreservation,10,1,379.958005021969,22.815874410275,0,2.87932161,4568,0,0,0,38,25.5,0.830173389692576,0.222666666666667,0,0,0,0,0.0306666666666667,2
4,CVF-AE-w/o-CVF,10,1,382.541481147348,19.4193643043115,0,3.17979502,4616.6,0,86.6,59.5,0,0,0,0,0,0,0,0,0,3
4,CVF-AE,10,1,365.306919157133,28.2532916881261,0,3.33833018,4665.5,0,91.7,56,43.8,29.4,0.952031034032587,0.292,0,0,0,0,0,1
