FigureId,Group,Scene,View,FileName,SuggestedPlacement,Purpose,Status,RelativePath
1,ablation-path,1,3d,ablation_scene1_representative_3d.png,supplement,Visualize module contribution and failure cases,ready,routes\route_b_cvf_ae\results\cvf_ae_representative_paths_20260623_from_formal_results\ablation\ablation_scene1_representative_3d.png
2,ablation-path,1,top,ablation_scene1_representative_top.png,supplement,Visualize module contribution and failure cases,ready,routes\route_b_cvf_ae\results\cvf_ae_representative_paths_20260623_from_formal_results\ablation\ablation_scene1_representative_top.png
3,ablation-path,2,3d,ablation_scene2_representative_3d.png,supplement,Visualize module contribution and failure cases,ready,routes\route_b_cvf_ae\results\cvf_ae_representative_paths_20260623_from_formal_results\ablation\ablation_scene2_representative_3d.png
4,ablation-path,2,top,ablation_scene2_representative_top.png,main-text,Visualize module contribution and failure cases,ready,routes\route_b_cvf_ae\results\cvf_ae_representative_paths_20260623_from_formal_results\ablation\ablation_scene2_representative_top.png
5,ablation-path,3,3d,ablation_scene3_representative_3d.png,supplement,Visualize module contribution and failure cases,ready,routes\route_b_cvf_ae\results\cvf_ae_representative_paths_20260623_from_formal_results\ablation\ablation_scene3_representative_3d.png
6,ablation-path,3,top,ablation_scene3_representative_top.png,supplement,Visualize module contribution and failure cases,ready,routes\route_b_cvf_ae\results\cvf_ae_representative_paths_20260623_from_formal_results\ablation\ablation_scene3_representative_top.png
7,boxplot,,all-log,cvf_ae_boxplots_all_algorithms_log.png,supplement,Compare run distributions of all eleven algorithms,ready,routes\route_b_cvf_ae\results\cvf_ae_paper_completion_figures_20260624_from_formal_results\cvf_ae_boxplots_all_algorithms_log.png
8,boxplot,,strong-linear,cvf_ae_boxplots_strong_algorithms.png,main-text,Compare run distributions of six strong algorithms,ready,routes\route_b_cvf_ae\results\cvf_ae_paper_completion_figures_20260624_from_formal_results\cvf_ae_boxplots_strong_algorithms.png
9,convergence,1,mean-std,scene1_convergence_mean_std.png,main-text,Compare feasible-aware convergence behavior,ready,routes\route_b_cvf_ae\results\cvf_ae_convergence_curves_20260623_from_main_comparison\scene1_convergence_mean_std.png
10,convergence,2,mean-std,scene2_convergence_mean_std.png,main-text,Compare feasible-aware convergence behavior,ready,routes\route_b_cvf_ae\results\cvf_ae_convergence_curves_20260623_from_main_comparison\scene2_convergence_mean_std.png
11,convergence,3,mean-std,scene3_convergence_mean_std.png,main-text,Compare feasible-aware convergence behavior,ready,routes\route_b_cvf_ae\results\cvf_ae_convergence_curves_20260623_from_main_comparison\scene3_convergence_mean_std.png
12,extended-path,1,3d,extended_scene1_representative_3d.png,supplement,Compare CVF-AE with strong and recent improved methods,ready,routes\route_b_cvf_ae\results\cvf_ae_representative_paths_20260623_from_formal_results\extended\extended_scene1_representative_3d.png
13,extended-path,1,top,extended_scene1_representative_top.png,main-text,Compare CVF-AE with strong and recent improved methods,ready,routes\route_b_cvf_ae\results\cvf_ae_representative_paths_20260623_from_formal_results\extended\extended_scene1_representative_top.png
14,extended-path,2,3d,extended_scene2_representative_3d.png,supplement,Compare CVF-AE with strong and recent improved methods,ready,routes\route_b_cvf_ae\results\cvf_ae_representative_paths_20260623_from_formal_results\extended\extended_scene2_representative_3d.png
15,extended-path,2,top,extended_scene2_representative_top.png,main-text,Compare CVF-AE with strong and recent improved methods,ready,routes\route_b_cvf_ae\results\cvf_ae_representative_paths_20260623_from_formal_results\extended\extended_scene2_representative_top.png
16,extended-path,3,3d,extended_scene3_representative_3d.png,supplement,Compare CVF-AE with strong and recent improved methods,ready,routes\route_b_cvf_ae\results\cvf_ae_representative_paths_20260623_from_formal_results\extended\extended_scene3_representative_3d.png
17,extended-path,3,top,extended_scene3_representative_top.png,main-text,Compare CVF-AE with strong and recent improved methods,ready,routes\route_b_cvf_ae\results\cvf_ae_representative_paths_20260623_from_formal_results\extended\extended_scene3_representative_top.png
18,main-path,1,3d,main_scene1_representative_3d.png,supplement,Classic-baseline representative path comparison,ready,routes\route_b_cvf_ae\results\cvf_ae_representative_paths_20260623_from_formal_results\main\main_scene1_representative_3d.png
19,main-path,1,top,main_scene1_representative_top.png,supplement,Classic-baseline representative path comparison,ready,routes\route_b_cvf_ae\results\cvf_ae_representative_paths_20260623_from_formal_results\main\main_scene1_representative_top.png
20,main-path,2,3d,main_scene2_representative_3d.png,supplement,Classic-baseline representative path comparison,ready,routes\route_b_cvf_ae\results\cvf_ae_representative_paths_20260623_from_formal_results\main\main_scene2_representative_3d.png
21,main-path,2,top,main_scene2_representative_top.png,supplement,Classic-baseline representative path comparison,ready,routes\route_b_cvf_ae\results\cvf_ae_representative_paths_20260623_from_formal_results\main\main_scene2_representative_top.png
22,main-path,3,3d,main_scene3_representative_3d.png,supplement,Classic-baseline representative path comparison,ready,routes\route_b_cvf_ae\results\cvf_ae_representative_paths_20260623_from_formal_results\main\main_scene3_representative_3d.png
23,main-path,3,top,main_scene3_representative_top.png,supplement,Classic-baseline representative path comparison,ready,routes\route_b_cvf_ae\results\cvf_ae_representative_paths_20260623_from_formal_results\main\main_scene3_representative_top.png
24,method,,flowchart,cvf_ae_method_flowchart.png,main-text,Present the complete CVF-AE procedure,ready,routes\route_b_cvf_ae\results\cvf_ae_paper_completion_figures_20260624_from_formal_results\cvf_ae_method_flowchart.png
25,parameter-sensitivity,,mean-std,cvf_ae_parameter_sensitivity.png,main-text,Evaluate robustness to key CVF parameters,ready,routes\route_b_cvf_ae\results\cvf_ae_paper_completion_figures_20260624_from_formal_results\cvf_ae_parameter_sensitivity.png
