Scene,Variant,MeanFitness,StdFitness,MeanPlusMinusStd,FeasibleRate,SceneRank,AverageRank,RuntimeSeconds,NEvals,FirstFeasibleIteration,RepairCount,CVFTriggerCount,CVFSuccessCount
1,CVF-AE,297.831801364604,3.11190201143395,297.8318 +/- 3.1119,1,1,1,27.4089501233333,9566.36666666667,1.93333333333333,515.233333333333,21.1333333333333,19.1666666666667
1,CVF-AE-w/o-CVF,306.198450220584,3.49173789624349,306.1985 +/- 3.4917,1,3,3,25.6912313233333,9471.83333333333,1.46666666666667,441.833333333333,0,0
1,CVF-AE-w/o-StateAdaptiveCVF,298.303684854115,3.21609369562628,298.3037 +/- 3.2161,1,2,2.33333333333333,24.53378375,9565.96666666667,1.73333333333333,515.333333333333,20.6333333333333,19.6666666666667
1,CVF-AE-w/o-SparsePreservation,306.379264738591,4.99731706294944,306.3793 +/- 4.9973,1,4,3.66666666666667,20.64546617,9140.13333333333,6.2,0,110.133333333333,90.6666666666667
1,CVF-AE-w/o-Init,316.996351911397,11.8480573502927,316.9964 +/- 11.8481,1,5,5,5.78709746,9587.56666666667,21.1333333333333,417.333333333333,140.233333333333,93.0666666666667
1,Base-AE,654.047521060856,328.714214134176,654.0475 +/- 328.7142,0.633333333333333,6,6,4.37732100666667,9030,NaN,NaN,0,0
2,CVF-AE,300.661217364572,3.2775077673419,300.6612 +/- 3.2775,1,1,1,28.3060269366667,9551.6,4.6,511,10.6,7.9
2,CVF-AE-w/o-CVF,303.769662038529,4.95649053217946,303.7697 +/- 4.9565,1,4,3,25.8824157833333,9432.46666666667,5.36666666666667,402.466666666667,0,0
2,CVF-AE-w/o-StateAdaptiveCVF,301.816403969189,2.93321887813262,301.8164 +/- 2.9332,1,2,2.33333333333333,28.8627510466667,9560.86666666667,10.1666666666667,510.433333333333,20.4333333333333,14.5666666666667
2,CVF-AE-w/o-SparsePreservation,303.311404708488,6.07177449589908,303.3114 +/- 6.0718,1,3,3.66666666666667,20.91003299,9107.83333333333,5.63333333333333,0,77.8333333333333,51.5
2,CVF-AE-w/o-Init,313.219109309391,18.341193455388,313.2191 +/- 18.3412,1,5,5,28.7959834,9592.43333333333,33.0333333333333,408.7,153.733333333333,107.433333333333
2,Base-AE,1597.48289152937,342.479097072238,1597.4829 +/- 342.4791,0,6,6,18.1763893466667,9030,NaN,NaN,0,0
3,CVF-AE,348.585570334195,21.815306818365,348.5856 +/- 21.8153,1,1,1,18.5574635633333,9367.06666666667,0,250.266666666667,86.8,59.5333333333333
3,CVF-AE-w/o-CVF,355.834749037852,21.3085674527326,355.8347 +/- 21.3086,1,2,3,24.1732099333333,9258.5,0,228.5,0,0
3,CVF-AE-w/o-StateAdaptiveCVF,361.312281976107,35.0403448813833,361.3123 +/- 35.0403,1,3,2.33333333333333,26.13774229,9321.83333333333,0,219.366666666667,72.4666666666667,46.2666666666667
3,CVF-AE-w/o-SparsePreservation,372.225548848178,19.821585619792,372.2255 +/- 19.8216,1,4,3.66666666666667,20.7890775266667,9118.7,0,0,88.7,56.6
3,CVF-AE-w/o-Init,556.75154586589,348.826404709658,556.7515 +/- 348.8264,0.7,5,5,32.5411983966667,9802.7,129.190476190476,354.8,417.9,336.466666666667
3,Base-AE,1643.73195315121,199.402741409474,1643.7320 +/- 199.4027,0,6,6,11.5175831466667,9030,NaN,NaN,0,0
