Scene,ComparedMethod,Source,CVFAEMean,ComparedMean,RawP,SceneHolmP,Result,CliffsDelta,EffectMagnitude,GlobalHolmP,GlobalResult
1,Base-AE,formal-ablation,297.831801364604,654.047521060857,3.01985935916215e-11,1.50992967958108e-10,+,1,large,4.52978903874323e-10,+
1,CVF-AE-w/o-Init,formal-ablation,297.831801364604,316.996351911397,6.72195435841362e-10,2.68878174336545e-09,+,0.928888888888889,large,8.06634523009634e-09,+
1,CVF-AE-w/o-StateAdaptiveCVF,formal-ablation,297.831801364604,298.303684854115,0.59968948451237,0.59968948451237,=,0.08,negligible,1,=
1,CVF-AE-w/o-SparsePreservation,formal-ablation,297.831801364604,306.379264738591,7.69496356095012e-08,1.53899271219002e-07,+,0.808888888888889,large,7.69496356095012e-07,+
1,CVF-AE-w/o-CVF,formal-ablation,297.831801364604,306.198450220584,1.10233994610977e-08,3.30701983832931e-08,+,0.86,large,1.21257394072075e-07,+
2,Base-AE,formal-ablation,300.661217364572,1597.48289152937,3.01985935916215e-11,1.50992967958108e-10,+,1,large,4.52978903874323e-10,+
2,CVF-AE-w/o-Init,formal-ablation,300.661217364572,313.219109309391,1.72903126248493e-06,6.9161250499397e-06,+,0.72,large,1.55612813623643e-05,+
2,CVF-AE-w/o-StateAdaptiveCVF,formal-ablation,300.661217364572,301.816403969189,0.258051495086236,0.258051495086236,=,0.171111111111111,small,1,=
2,CVF-AE-w/o-SparsePreservation,formal-ablation,300.661217364572,303.311404708488,0.0992576082398258,0.198515216479652,=,0.248888888888889,small,0.595545649438955,=
2,CVF-AE-w/o-CVF,formal-ablation,300.661217364572,303.769662038529,0.00906876099327356,0.0272062829798207,+,0.393333333333333,medium,0.0634813269529149,=
4,Base-AE,formal-ablation,348.585570334194,1643.73195315121,3.01985935916215e-11,1.50992967958108e-10,+,1,large,4.52978903874323e-10,+
4,CVF-AE-w/o-Init,formal-ablation,348.585570334194,556.75154586589,0.853381736754793,0.853381736754793,=,-0.0288888888888889,negligible,1,=
4,CVF-AE-w/o-StateAdaptiveCVF,formal-ablation,348.585570334194,361.312281976107,0.355472472594311,0.710944945188621,=,0.14,negligible,1,=
4,CVF-AE-w/o-SparsePreservation,formal-ablation,348.585570334194,372.225548848178,0.000110577259680838,0.000442309038723352,+,0.582222222222222,large,0.000884618077446704,+
4,CVF-AE-w/o-CVF,formal-ablation,348.585570334194,355.834749037852,0.137322834846993,0.411968504540979,=,0.224444444444444,small,0.686614174234965,=
