Algorithm,Scene1MeanStd,Scene1FeasibleRate,Scene1Rank,Scene2MeanStd,Scene2FeasibleRate,Scene2Rank,Scene4MeanStd,Scene4FeasibleRate,Scene4Rank,AverageRank,AverageVisualReviewFlagRate
CVF-AE,298.1379 +/- 2.7821,1,1,301.2018 +/- 2.9019,1,3,349.2270 +/- 19.8954,1,2,2,0.0666666666666667
CPO,298.3594 +/- 5.5794,1,2,278.1196 +/- 1.8768,1,1,519.8797 +/- 313.2061,0.733333333333333,6,3,0.933333333333333
GDSAO,315.7542 +/- 8.2913,1,4,307.0675 +/- 18.8776,1,4,346.8474 +/- 3.8175,1,1,3,0.755555555555555
MSCSO,314.3453 +/- 19.2807,1,3,291.1680 +/- 15.7347,1,2,402.2712 +/- 189.0229,0.933333333333333,5,3.33333333333333,0.611111111111111
ERIME,322.9893 +/- 12.0174,1,5,316.1932 +/- 28.5245,1,5,360.2347 +/- 21.6704,1,3,4.33333333333333,0.777777777777778
DBO,344.8827 +/- 19.9703,1,6,337.7867 +/- 29.1340,1,6,376.3041 +/- 15.9951,1,4,5.33333333333333,0.944444444444444
GWO,345.3695 +/- 81.8962,0.933333333333333,7,341.1611 +/- 38.8516,1,7,608.4571 +/- 333.1796,0.633333333333333,7,7,0.966666666666667
HHO,450.5575 +/- 198.3628,0.8,9,395.8343 +/- 180.5172,0.9,8,898.3440 +/- 469.4671,0.366666666666667,8,8.33333333333333,0.777777777777778
PSO,397.5087 +/- 183.8273,0.866666666666667,8,729.9490 +/- 434.6311,0.433333333333333,9,1295.4587 +/- 382.0206,0.0333333333333333,9,8.66666666666667,0.455555555555555
WOA,611.0975 +/- 216.5299,0.8,10,915.9034 +/- 396.6288,0.433333333333333,10,1485.6743 +/- 426.3900,0.0666666666666667,10,10,0.922222222222222
AE,810.3258 +/- 328.2829,0.333333333333333,11,1668.4042 +/- 421.8461,0,11,1653.2705 +/- 200.9002,0,11,11,0.222222222222222
