Scene,Algorithm,MeanFitness,StdFitness,MeanPlusMinusStd,FeasibleRate,SceneRank,AverageRank,RuntimeSeconds,NEvals,FirstFeasibleIteration,VisualReviewFlagRate,HighAltitudeFraction,BoundaryHugFraction,DetourRatio,Source
1,CVF-AE,298.137864539111,2.78208655359367,298.1379 +/- 2.7821,1,1,2,5.93901229333333,9568.9,2.53333333333333,0,0,0.0187604690117253,1.06671698183956,formal-main
1,CPO,298.359427916365,5.57943310837686,298.3594 +/- 5.5794,1,2,3,4.98090939,9030,NaN,0.8,0.663484848484849,0.0857621440536013,1.15567810992277,formal-main
1,GDSAO,315.75422251274,8.29126014009976,315.7542 +/- 8.2913,1,4,3,10.6612001,17955,NaN,0.333333333333333,0.0612121212121212,0.354773869346734,1.21207410531435,recent-improved
1,MSCSO,314.345331601272,19.2806929297655,314.3453 +/- 19.2807,1,3,3.33333333333333,13.31786533,21449.0666666667,NaN,0.533333333333333,0.288484848484848,0.239195979899497,1.17310635658419,recent-improved
1,ERIME,322.989264095134,12.0173974372193,322.9893 +/- 12.0174,1,5,4.33333333333333,6.82150923666667,9483,NaN,0.7,0.281363636363636,0.373701842546064,1.18160760975164,recent-improved
1,DBO,344.882678794258,19.9702827242648,344.8827 +/- 19.9703,1,6,5.33333333333333,6.99538198,9030,NaN,0.9,0.421363636363636,0.587102177554439,1.2705447217301,formal-main
1,GWO,345.369451984251,81.8961556697385,345.3695 +/- 81.8962,0.933333333333333,7,7,4.40407022333333,9030,NaN,0.9,0.00757575757575758,0.622780569514238,1.22414606876601,formal-main
1,HHO,450.557517163338,198.362819241478,450.5575 +/- 198.3628,0.8,9,8.33333333333333,6.75716871666667,11484.2666666667,NaN,0.6,0.268333333333333,0.47001675041876,1.24027231869751,formal-main
1,PSO,397.508683252933,183.82733574219,397.5087 +/- 183.8273,0.866666666666667,8,8.66666666666667,4.25249685,9030,NaN,0.733333333333333,0.518787878787879,0.231825795644891,1.19890115704855,formal-main
1,WOA,611.09748925196,216.529920450129,611.0975 +/- 216.5299,0.8,10,10,4.31642514333333,9030,NaN,0.933333333333333,0.822878787878788,0.160134003350084,1.47700394648449,formal-main
1,AE,810.325824286047,328.282889753162,810.3258 +/- 328.2829,0.333333333333333,11,11,4.41410844333333,9030,NaN,0.666666666666667,0.546818181818182,0.00569514237855946,1.28669391869967,formal-main
2,CVF-AE,301.201825136219,2.90186972412191,301.2018 +/- 2.9019,1,3,2,6.79069524666667,9554.2,5.9,0,0,0.0872696817420436,1.15735054897051,formal-main
2,CPO,278.119562731852,1.87675641582886,278.1196 +/- 1.8768,1,1,3,5.19165132333333,9030,NaN,1,0.882121212121212,0.00703517587939698,1.10611781994238,formal-main
2,GDSAO,307.067485878931,18.8775766793904,307.0675 +/- 18.8776,1,4,3,11.4291836933333,17955,NaN,0.933333333333333,0.438030303030303,0.322445561139028,1.21373248327512,recent-improved
2,MSCSO,291.167989109054,15.7347313951818,291.1680 +/- 15.7347,1,2,3.33333333333333,13.4843612533333,21461.7333333333,NaN,0.633333333333333,0.406363636363636,0.188107202680067,1.15246409844723,recent-improved
2,ERIME,316.19319183287,28.5245034056776,316.1932 +/- 28.5245,1,5,4.33333333333333,6.28235261666667,9484.7,NaN,0.666666666666667,0.250909090909091,0.473366834170854,1.19435727654792,recent-improved
2,DBO,337.786717755373,29.1339905205832,337.7867 +/- 29.1340,1,6,5.33333333333333,4.83305744333333,9030,NaN,0.933333333333333,0.474848484848485,0.549413735343384,1.25964785640106,formal-main
2,GWO,341.161120497287,38.8515934412663,341.1611 +/- 38.8516,1,7,7,5.70009725,9030,NaN,1,0.0477272727272727,0.822278056951424,1.26104584554226,formal-main
2,HHO,395.834300530036,180.517182230101,395.8343 +/- 180.5172,0.9,8,8.33333333333333,6.43362172,11451.7,NaN,0.766666666666667,0.345606060606061,0.4321608040201,1.23310004827775,formal-main
2,PSO,729.948994581617,434.631052838891,729.9490 +/- 434.6311,0.433333333333333,9,8.66666666666667,5.04003198333333,9030,NaN,0.533333333333333,0.452424242424242,0.16214405360134,1.29896221413688,formal-main
2,WOA,915.903406074239,396.628764364027,915.9034 +/- 396.6288,0.433333333333333,10,10,5.96214051333333,9030,NaN,0.966666666666667,0.729545454545455,0.337018425460636,1.47798659517879,formal-main
2,AE,1668.40423813825,421.846106869853,1668.4042 +/- 421.8461,0,11,11,5.25174961,9030,NaN,0,0.0356060606060606,0.00201005025125628,1.29356943874162,formal-main
3,CVF-AE,349.227029913288,19.8953883191019,349.2270 +/- 19.8954,1,2,2,7.81631366,9355.2,0,0.2,0.000909090909090909,0.24891122278057,1.22963383476046,formal-main
3,CPO,519.879650912483,313.206082734113,519.8797 +/- 313.2061,0.733333333333333,6,3,5.56996168,9030,NaN,1,0.309090909090909,0.871189279731993,1.36383257385972,formal-main
3,GDSAO,346.847441570472,3.81752402471026,346.8474 +/- 3.8175,1,1,3,11.3887188766667,17955,NaN,1,0,0.847236180904523,1.36329545548875,recent-improved
3,MSCSO,402.271223187677,189.022943849173,402.2712 +/- 189.0229,0.933333333333333,5,3.33333333333333,15.3013203933333,21444.7666666667,NaN,0.666666666666667,0,0.679396984924623,1.34222505966033,recent-improved
3,ERIME,360.234716521464,21.6703632105875,360.2347 +/- 21.6704,1,3,4.33333333333333,7.05888226666667,9481.8,NaN,0.966666666666667,0.0239393939393939,0.889782244556114,1.36711782185791,recent-improved
3,DBO,376.304061835975,15.9951175210005,376.3041 +/- 15.9951,1,4,5.33333333333333,5.80182613,9030,NaN,1,0.106666666666667,0.895812395309883,1.38754754865418,formal-main
3,GWO,608.45708450729,333.179590508335,608.4571 +/- 333.1796,0.633333333333333,7,7,5.95338771333333,9030,NaN,1,0,0.925963149078727,1.3613310358301,formal-main
3,HHO,898.343987970181,469.467061570051,898.3440 +/- 469.4671,0.366666666666667,8,8.33333333333333,7.51364364333333,11474.9666666667,NaN,0.966666666666667,0.0210606060606061,0.852763819095478,1.25860144881748,formal-main
3,PSO,1295.45871625515,382.020606804982,1295.4587 +/- 382.0206,0.0333333333333333,9,8.66666666666667,5.54881991333333,9030,NaN,0.1,0.018030303030303,0.0510887772194305,1.38387806761032,formal-main
3,WOA,1485.67428395965,426.39000079659,1485.6743 +/- 426.3900,0.0666666666666667,10,10,5.52293523666667,9030,NaN,0.866666666666667,0.176969696969697,0.759798994974875,1.44542562871372,formal-main
3,AE,1653.27054260566,200.900207932275,1653.2705 +/- 200.9002,0,11,11,6.51338697666667,9030,NaN,0,0,0,1.21046507684393,formal-main
