Scene,ComparedMethod,Source,CVFAEMean,ComparedMean,RawP,SceneHolmP,Result,CliffsDelta,EffectMagnitude,GlobalHolmP,GlobalResult
1,AE,formal-main,298.137864539111,810.325824286047,3.01985935916215e-11,3.01985935916215e-10,+,1,large,9.05957807748645e-10,+
1,PSO,formal-main,298.137864539111,397.508683252934,6.5277364574957e-08,1.95832093724871e-07,+,0.813333333333333,large,1.04443783319931e-06,+
1,GWO,formal-main,298.137864539111,345.369451984251,3.01985935916215e-11,3.01985935916215e-10,+,1,large,9.05957807748645e-10,+
1,WOA,formal-main,298.137864539111,611.09748925196,3.01985935916215e-11,3.01985935916215e-10,+,1,large,9.05957807748645e-10,+
1,HHO,formal-main,298.137864539111,450.557517163338,2.60985278795585e-10,1.04394111518234e-09,+,0.951111111111111,large,4.69773501832053e-09,+
1,DBO,formal-main,298.137864539111,344.882678794258,3.01985935916215e-11,3.01985935916215e-10,+,1,large,9.05957807748645e-10,+
1,CPO,formal-main,298.137864539111,298.359427916365,0.773119942467523,0.773119942467523,=,0.0444444444444444,negligible,1,=
1,GDSAO,recent-improved,298.137864539111,315.75422251274,1.09366956310991e-10,5.46834781554953e-10,+,0.971111111111111,large,2.07797216990882e-09,+
1,ERIME,recent-improved,298.137864539111,322.989264095134,6.69551896550018e-11,4.01731137930011e-10,+,0.982222222222222,large,1.33910379310004e-09,+
1,MSCSO,recent-improved,298.137864539111,314.345331601272,2.37682005045451e-07,4.75364010090902e-07,+,0.777777777777778,large,3.32754807063632e-06,+
2,AE,formal-main,301.201825136219,1668.40423813825,3.01985935916215e-11,3.01985935916215e-10,+,1,large,9.05957807748645e-10,+
2,PSO,formal-main,301.201825136219,729.948994581617,9.21126879371652e-05,0.000552676127622991,+,0.588888888888889,large,0.00101323956730882,+
2,GWO,formal-main,301.201825136219,341.161120497287,0.000238848457069707,0.00119424228534853,+,0.553333333333333,large,0.00238848457069707,+
2,WOA,formal-main,301.201825136219,915.903406074239,3.01985935916215e-11,3.01985935916215e-10,+,1,large,9.05957807748645e-10,+
2,HHO,formal-main,301.201825136219,395.834300530036,0.000268057096804918,0.00119424228534853,+,0.548888888888889,large,0.00241251387124426,+
2,DBO,formal-main,301.201825136219,337.786717755373,2.19588553252214e-07,1.53711987276549e-06,+,0.78,large,3.2938282987832e-06,+
2,CPO,formal-main,301.201825136219,278.119562731851,3.01985935916215e-11,3.01985935916215e-10,-,-1,large,9.05957807748645e-10,-
2,GDSAO,recent-improved,301.201825136219,307.067485878931,0.620403720627753,0.620403720627753,=,-0.0755555555555556,negligible,1,=
2,ERIME,recent-improved,301.201825136219,316.19319183287,0.297271689089307,0.594543378178614,=,0.157777777777778,small,1,=
2,MSCSO,recent-improved,301.201825136219,291.167989109054,0.000654864616854615,0.00196459385056385,-,-0.513333333333333,large,0.00523891693483692,-
3,AE,formal-main,349.227029913289,1653.27054260566,3.01985935916215e-11,3.01985935916215e-10,+,1,large,9.05957807748645e-10,+
3,PSO,formal-main,349.227029913289,1295.45871625515,3.01985935916215e-11,3.01985935916215e-10,+,1,large,9.05957807748645e-10,+
3,GWO,formal-main,349.227029913289,608.45708450729,3.57080087879163e-06,2.14248052727498e-05,+,0.697777777777778,large,4.64204114242912e-05,+
3,WOA,formal-main,349.227029913289,1485.67428395965,3.01985935916215e-11,3.01985935916215e-10,+,1,large,9.05957807748645e-10,+
3,HHO,formal-main,349.227029913289,898.343987970181,8.48477290014804e-09,5.93934103010363e-08,+,0.866666666666667,large,1.44241139302517e-07,+
3,DBO,formal-main,349.227029913289,376.304061835975,1.01876893524271e-05,5.09384467621355e-05,+,0.664444444444444,large,0.000122252272229125,+
3,CPO,formal-main,349.227029913289,519.879650912483,0.363222312552739,0.933562930230825,=,0.137777777777778,negligible,1,=
3,GDSAO,recent-improved,349.227029913289,346.847441570472,0.311187643410275,0.933562930230825,=,0.153333333333333,small,1,=
3,ERIME,recent-improved,349.227029913289,360.234716521464,0.0241568846428126,0.0966275385712506,=,0.34,medium,0.169098192499688,=
3,MSCSO,recent-improved,349.227029913289,402.271223187677,0.403537539154086,0.933562930230825,=,0.126666666666667,negligible,1,=
