Scene,Algorithm,FeasibleRate,MeanFitness,HighAltitudeFraction,DetourRatio,BoundaryHugFraction,HighAltitudeFlagRate,BoundaryHugFlagRate,ExcessiveDetourFlagRate,VisualReviewFlagRate,Source
1,WOA,0.8,611.09748925196,0.822878787878788,1.47700394648449,0.160134003350084,0.9,0.166666666666667,0.133333333333333,0.933333333333333,formal-main
1,DBO,1,344.882678794258,0.421363636363636,1.2705447217301,0.587102177554439,0.466666666666667,0.433333333333333,0,0.9,formal-main
1,GWO,0.933333333333333,345.369451984251,0.00757575757575758,1.22414606876601,0.622780569514238,0,0.466666666666667,0,0.9,formal-main
1,CPO,1,298.359427916365,0.663484848484849,1.15567810992277,0.0857621440536013,0.8,0,0,0.8,formal-main
1,PSO,0.866666666666667,397.508683252933,0.518787878787879,1.19890115704855,0.231825795644891,0.566666666666667,0.0333333333333333,0,0.733333333333333,formal-main
1,ERIME,1,322.989264095134,0.281363636363636,1.18160760975164,0.373701842546064,0.333333333333333,0.266666666666667,0,0.7,recent-improved
1,AE,0.333333333333333,810.325824286047,0.546818181818182,1.28669391869967,0.00569514237855946,0.666666666666667,0,0.0333333333333333,0.666666666666667,formal-main
1,HHO,0.8,450.557517163338,0.268333333333333,1.24027231869751,0.47001675041876,0.266666666666667,0.333333333333333,0,0.6,formal-main
1,MSCSO,1,314.345331601272,0.288484848484848,1.17310635658419,0.239195979899497,0.333333333333333,0.133333333333333,0,0.533333333333333,recent-improved
1,GDSAO,1,315.75422251274,0.0612121212121212,1.21207410531435,0.354773869346734,0.1,0.0333333333333333,0,0.333333333333333,recent-improved
1,CVF-AE,1,298.137864539111,0,1.06671698183956,0.0187604690117253,0,0,0,0,formal-main
2,CPO,1,278.119562731852,0.882121212121212,1.10611781994238,0.00703517587939698,1,0,0,1,formal-main
2,GWO,1,341.161120497287,0.0477272727272727,1.26104584554226,0.822278056951424,0.0666666666666667,0.9,0,1,formal-main
2,WOA,0.433333333333333,915.903406074239,0.729545454545455,1.47798659517879,0.337018425460636,0.8,0.266666666666667,0.166666666666667,0.966666666666667,formal-main
2,DBO,1,337.786717755373,0.474848484848485,1.25964785640106,0.549413735343384,0.533333333333333,0.466666666666667,0,0.933333333333333,formal-main
2,GDSAO,1,307.067485878931,0.438030303030303,1.21373248327512,0.322445561139028,0.533333333333333,0.166666666666667,0,0.933333333333333,recent-improved
2,HHO,0.9,395.834300530036,0.345606060606061,1.23310004827775,0.4321608040201,0.4,0.333333333333333,0,0.766666666666667,formal-main
2,ERIME,1,316.19319183287,0.250909090909091,1.19435727654792,0.473366834170854,0.233333333333333,0.366666666666667,0,0.666666666666667,recent-improved
2,MSCSO,1,291.167989109054,0.406363636363636,1.15246409844723,0.188107202680067,0.5,0.0333333333333333,0,0.633333333333333,recent-improved
2,PSO,0.433333333333333,729.948994581617,0.452424242424242,1.29896221413688,0.16214405360134,0.533333333333333,0.133333333333333,0.0666666666666667,0.533333333333333,formal-main
2,AE,0,1668.40423813825,0.0356060606060606,1.29356943874162,0.00201005025125628,0,0,0,0,formal-main
2,CVF-AE,1,301.201825136219,0,1.15735054897051,0.0872696817420436,0,0,0,0,formal-main
3,CPO,0.733333333333333,519.879650912483,0.309090909090909,1.36383257385972,0.871189279731993,0.433333333333333,0.933333333333333,0.0333333333333333,1,formal-main
3,DBO,1,376.304061835975,0.106666666666667,1.38754754865418,0.895812395309883,0.166666666666667,0.9,0,1,formal-main
3,GDSAO,1,346.847441570472,0,1.36329545548875,0.847236180904523,0,0.966666666666667,0,1,recent-improved
3,GWO,0.633333333333333,608.45708450729,0,1.3613310358301,0.925963149078727,0,0.966666666666667,0.0333333333333333,1,formal-main
3,ERIME,1,360.234716521464,0.0239393939393939,1.36711782185791,0.889782244556114,0.0333333333333333,0.966666666666667,0,0.966666666666667,recent-improved
3,HHO,0.366666666666667,898.343987970181,0.0210606060606061,1.25860144881748,0.852763819095478,0,0.833333333333333,0,0.966666666666667,formal-main
3,WOA,0.0666666666666667,1485.67428395965,0.176969696969697,1.44542562871372,0.759798994974875,0.233333333333333,0.8,0.233333333333333,0.866666666666667,formal-main
3,MSCSO,0.933333333333333,402.271223187677,0,1.34222505966033,0.679396984924623,0,0.6,0,0.666666666666667,recent-improved
3,CVF-AE,1,349.227029913288,0.000909090909090909,1.22963383476046,0.24891122278057,0,0.166666666666667,0,0.2,formal-main
3,PSO,0.0333333333333333,1295.45871625515,0.018030303030303,1.38387806761032,0.0510887772194305,0.0333333333333333,0,0.0666666666666667,0.1,formal-main
3,AE,0,1653.27054260566,0,1.21046507684393,0,0,0,0,0,formal-main
