ParamKey,ParamLabel,Level,LevelLabel,Scene,NumRuns,MeanBestFitness,StdBestFitness,FeasibleRate,MeanViolation,MeanRuntime,MeanNEvals,MeanFirstFeasibleIter,MeanRepairCount,MeanRepairSuccessCount,MeanViabilityFieldCount,MeanViabilityFieldSuccessCount,Rank
quota_scale,CVF candidate quota scale,low,0.67x CVF sparse trigger quota,2,10,302.710258781604,2.95161255626318,1,0,13.03620065,9551,4.5,511.8,316.4,9.2,7.2,3
quota_scale,CVF candidate quota scale,default,default CVF sparse trigger quota,2,10,302.066342593858,2.72247711842544,1,0,14.87216704,9553.4,5.6,510.8,325.6,12.6,9.5,2
quota_scale,CVF candidate quota scale,high,1.33x CVF sparse trigger quota,2,10,300.892448470111,2.77937346829017,1,0,16.70037636,9561.6,7.7,511.2,320.9,20.4,15.9,1
quota_scale,CVF candidate quota scale,low,0.67x CVF sparse trigger quota,4,10,354.883975923183,21.846872706069,1,0,5.71331897,9341.9,0,223.1,160.7,88.8,57.8,3
quota_scale,CVF candidate quota scale,default,default CVF sparse trigger quota,4,10,342.398730539812,19.0285230463495,1,0,14.83497602,9336,0,223.6,141.1,82.4,57.3,2
quota_scale,CVF candidate quota scale,high,1.33x CVF sparse trigger quota,4,10,340.567579352115,13.6654781691896,1,0,19.64399309,9366.6,0,250.9,163.2,85.7,58,1
step_strength,CVF step strength,weak,0.75x CVF field strength,2,10,302.135450812752,3.51192321004293,1,0,18.87387044,9553.4,5.1,510.4,316.1,13,9.7,3
step_strength,CVF step strength,default,default CVF field strength,2,10,300.544296257537,1.93997775498066,1,0,28.62980939,9557.5,6.8,510.8,303.8,16.7,12.2,1
step_strength,CVF step strength,strong,1.25x CVF field strength,2,10,301.766564024276,4.05023172047178,1,0,29.04853466,9554.8,6.1,511.1,316.8,13.7,9.5,2
step_strength,CVF step strength,weak,0.75x CVF field strength,4,10,347.026790075119,20.4532901812193,1,0,20.29039721,9361.9,0,246,161.3,85.9,60.6,1
step_strength,CVF step strength,default,default CVF field strength,4,10,355.392949162461,16.1756703226076,1,0,28.3670393,9358,0,241.8,170.4,86.2,55.1,3
step_strength,CVF step strength,strong,1.25x CVF field strength,4,10,351.598294072786,17.8449707278943,1,0,6.72012654,9340.2,0,225.6,146.6,84.6,58.1,2
state_switch_threshold,Conservative state switching threshold,strict,stricter evidence before formation/recovery switch,2,10,303.709520730819,3.16044016128269,1,0,6.257871,9550.1,3.3,510.8,311.1,9.3,7,3
state_switch_threshold,Conservative state switching threshold,default,default conservative switching threshold,2,10,301.239860854481,2.76019485638891,1,0,6.23726825,9551.6,3.9,512.2,310,9.4,7.1,2
state_switch_threshold,Conservative state switching threshold,loose,looser evidence before formation/recovery switch,2,10,300.745700727493,3.08204004900553,1,0,6.26920627,9557.4,6.1,511.7,321.4,15.7,11.5,1
state_switch_threshold,Conservative state switching threshold,strict,stricter evidence before formation/recovery switch,4,10,354.087942003274,27.4386812935424,1,0,6.0499411,9379.6,0,266.7,180.1,82.9,58.7,2
state_switch_threshold,Conservative state switching threshold,default,default conservative switching threshold,4,10,351.042228377221,20.8199079582641,1,0,5.93557599,9343,0,224,160.2,89,60.6,1
state_switch_threshold,Conservative state switching threshold,loose,looser evidence before formation/recovery switch,4,10,356.912157313134,17.6765021090093,1,0,6.07994243,9383.6,0,260.9,208.9,92.7,61.1,3
