FigureSet,Scene,DisplayName,Algorithm,SourceDir,RunFile,SelectionTier,SelectionDistance,BestFitness,Feasible,Violation,VisualReviewFlag,HighAltitudeFlag,BoundaryHugFlag,ExcessiveDetourFlag,ControlPointEdgeFlag,MeanZ,MaxZ,HighAltitudeFrac,BoundaryHugFrac,DetourRatio
main,1,CVF-AE,CVF-AE,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_main_comparison_formal_conservative_20260623_091132,scene1_CVF-AE_run027.mat,feasible_clean_median,0.17806157681099,298.150698236117,1,0,0,0,0,0,0,12.3418793991678,18,0,0.0201005025125628,1.05787822237207
main,1,CPO,CPO,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_main_comparison_formal_conservative_20260623_091132,scene1_CPO_run014.mat,feasible_clean_median,6.47683701829351,290.995723585806,1,0,0,0,0,0,0,15.427668942769,18,0,0.14572864321608,1.20238679266235
main,1,DBO,DBO,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_main_comparison_formal_conservative_20260623_091132,scene1_DBO_run015.mat,feasible_clean_median,8.25622195558299,333.121184671957,1,0,0,0,0,0,0,16.5039939023169,20.433488704677,0,0.371859296482412,1.25121253131683
main,1,GWO,GWO,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_main_comparison_formal_conservative_20260623_091132,scene1_GWO_run011.mat,feasible_clean_median,9.90919101097052,332.439810318122,1,0,0,0,0,0,0,14.4945574216955,18,0,0.532663316582915,1.21111873849462
main,1,AE,AE,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_main_comparison_formal_conservative_20260623_091132,scene1_AE_run020.mat,feasible_clean_median,0.86135607525398,363.291697968961,1,0,0,0,0,0,0,20.5929165876615,23.7322114800339,0,0,1.13224567635126
main,2,CVF-AE,CVF-AE,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_main_comparison_formal_conservative_20260623_091132,scene2_CVF-AE_run028.mat,feasible_clean_median,0.00990386096651719,301.133738373621,1,0,0,0,0,0,0,16.4054678989677,18.1556274180261,0,0.0904522613065327,1.16330946781185
main,2,CPO,CPO,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_main_comparison_formal_conservative_20260623_091132,scene2_CPO_run019.mat,feasible_flagged_median,0.00364068333698242,277.611321573823,1,0,1,1,0,0,0,28.5912337202081,31.1132057595097,0.881818181818182,0,1.10760586397963
main,2,DBO,DBO,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_main_comparison_formal_conservative_20260623_091132,scene2_DBO_run012.mat,feasible_clean_median,14.8162684263635,356.231485987192,1,0,0,0,0,0,0,12.8719263919518,18,0,0.422110552763819,1.34254572914412
main,2,GWO,GWO,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_main_comparison_formal_conservative_20260623_091132,scene2_GWO_run027.mat,feasible_flagged_median,1.0105852033455,346.270283775363,1,0,1,0,1,0,1,13.769492735664,18,0,0.949748743718593,1.35706219551249
main,2,AE,AE,D:\MATLAB\Project\COVE_AE_matlab\routes\route_b_cvf_ae\results\cvf_ae_main_comparison_formal_conservative_20260623_091132,scene2_AE_run012.mat,infeasible_min_violation_median,688.929487308885,1102.82407832753,0,3,0,0,0,0,0,22.7733507132757,28.7117570257964,0.377272727272727,0,1.73716959931627
