Scene,Algorithm,Runtime,NEvals,ViabilityFieldCount,ViabilityFieldSuccessCount,RuntimeRatioVsWithoutCVF,NEvalsRatioVsWithoutCVF,FeasibleRate,Rank
1,Base-AE,4.37732100666667,9030,0,0,0.17038190780257,0.953352923580441,0.633333333333333,6
1,CVF-AE-w/o-Init,5.78709746,9587.56666666667,140.233333333333,93.0666666666667,0.225255745322881,1.01221868346501,1,5
1,CVF-AE-w/o-StateAdaptiveCVF,24.53378375,9565.96666666667,20.6333333333333,19.6666666666667,0.954947757903605,1.00993823793352,1,2
1,CVF-AE-w/o-SparsePreservation,20.64546617,9140.13333333333,110.133333333333,90.6666666666667,0.803599715022198,0.964980380426176,1,4
1,CVF-AE-w/o-CVF,25.6912313233333,9471.83333333333,0,0,1,1,1,3
1,CVF-AE,27.4089501233333,9566.36666666667,21.1333333333333,19.1666666666667,1.0668601196409,1.00998046840633,1,1
2,Base-AE,18.1763893466667,9030,0,0,0.702267883292841,0.957331768996444,0,6
2,CVF-AE-w/o-Init,28.7959834,9592.43333333333,153.733333333333,107.433333333333,1.11256938459906,1.01695915525808,1,5
2,CVF-AE-w/o-StateAdaptiveCVF,28.8627510466667,9560.86666666667,20.4333333333333,14.5666666666667,1.11514903741144,1.0136125580442,1,2
2,CVF-AE-w/o-SparsePreservation,20.91003299,9107.83333333333,77.8333333333333,51.5,0.807885676709698,0.965583410490009,1,3
2,CVF-AE-w/o-CVF,25.8824157833333,9432.46666666667,0,0,1,1,1,4
2,CVF-AE,28.3060269366667,9551.6,10.6,7.9,1.09363929447784,1.01263013563083,1,1
4,Base-AE,11.5175831466667,9030,0,0,0.476460642936158,0.975319976238052,0,6
4,CVF-AE-w/o-Init,32.5411983966667,9802.7,417.9,336.466666666667,1.34616786460761,1.05877841983043,0.7,5
4,CVF-AE-w/o-StateAdaptiveCVF,26.13774229,9321.83333333333,72.4666666666667,46.2666666666667,1.08126899001352,1.006840560926,1,3
4,CVF-AE-w/o-SparsePreservation,20.7890775266667,9118.7,88.7,56.6,0.860004839406946,0.98490036182967,1,4
4,CVF-AE-w/o-CVF,24.1732099333333,9258.5,0,0,1,1,1,2
4,CVF-AE,18.5574635633333,9367.06666666667,86.8,59.5333333333333,0.767687188193561,1.01172616154525,1,1
