Scene,Algorithm,Runtime,NEvals,ViabilityFieldCount,ViabilityFieldSuccessCount,FeasibleRate,Rank
1,CVF-AE,5.93901229333333,9568.9,23.9333333333333,21.8,1,1
1,AE,4.41410844333333,9030,0,0,0.333333333333333,8
1,PSO,4.25249685,9030,0,0,0.866666666666667,5
1,GWO,4.40407022333333,9030,0,0,0.933333333333333,4
1,WOA,4.31642514333333,9030,0,0,0.8,7
1,HHO,6.75716871666667,11484.2666666667,0,0,0.8,6
1,DBO,6.99538198,9030,0,0,1,3
1,CPO,4.98090939,9030,0,0,1,2
2,CVF-AE,6.79069524666667,9554.2,13.1333333333333,9.76666666666667,1,2
2,AE,5.25174961,9030,0,0,0,8
2,PSO,5.04003198333333,9030,0,0,0.433333333333333,6
2,GWO,5.70009725,9030,0,0,1,4
2,WOA,5.96214051333333,9030,0,0,0.433333333333333,7
2,HHO,6.43362172,11451.7,0,0,0.9,5
2,DBO,4.83305744333333,9030,0,0,1,3
2,CPO,5.19165132333333,9030,0,0,1,1
4,CVF-AE,7.81631366,9355.2,88.6333333333333,60.1,1,1
4,AE,6.51338697666667,9030,0,0,0,8
4,PSO,5.54881991333333,9030,0,0,0.0333333333333333,6
4,GWO,5.95338771333333,9030,0,0,0.633333333333333,4
4,WOA,5.52293523666667,9030,0,0,0.0666666666666667,7
4,HHO,7.51364364333333,11474.9666666667,0,0,0.366666666666667,5
4,DBO,5.80182613,9030,0,0,1,2
4,CPO,5.56996168,9030,0,0,0.733333333333333,3
