Scene,Algorithm,NumRuns,FeasibleRate,MeanBestFitness,MeanZ,MeanMaxZ,MeanHighAltitudeFrac,MeanVeryHighAltitudeFrac,MeanDetourRatio,MeanBoundaryDist,MeanBoundaryHugFrac,MeanControlPointBoundaryHugFrac,HighAltitudeFlagRate,BoundaryHugFlagRate,ExcessiveDetourFlagRate,ControlPointEdgeFlagRate,VisualReviewFlagRate
1,AE,30,0.6,656.197238933963,24.6753390409474,28.477192431274,0.559545454545454,0.0553030303030303,1.25232158949983,33.0202857604611,0.00368509212730318,0.0166666666666667,0.633333333333333,0,0,0,0.633333333333333
1,PSO,30,0.9,423.34905535009,23.1235039648873,29.3459463829969,0.438333333333333,0.221666666666667,1.22861980008301,20.2505745997083,0.210217755443886,0.288888888888889,0.466666666666667,0.1,0.0333333333333333,0.2,0.666666666666667
1,GWO,30,0.966666666666667,335.782620422041,12.8953763678746,18.0414402483157,0,0,1.23029884224813,7.1788180556314,0.61641541038526,0.75,0,0.466666666666667,0,0.8,0.8
1,HHO,30,0.966666666666667,361.745405168329,18.4557850167911,22.893419646983,0.220909090909091,0.0978787878787879,1.22609095868521,12.7475585799624,0.345896147403685,0.494444444444444,0.233333333333333,0.133333333333333,0,0.333333333333333,0.533333333333333
1,ERIME,30,1,318.54400426934,19.2619065343442,24.317142635514,0.308939393939394,0.100151515151515,1.21022205147374,11.5075496745943,0.395309882747069,0.566666666666667,0.366666666666667,0.133333333333333,0,0.366666666666667,0.666666666666667
1,MSCSO,30,1,307.858027766821,17.1797976591695,21.1041574609155,0.146969696969697,0,1.18035309432805,12.7947761481267,0.287939698492462,0.427777777777778,0.133333333333333,0.0666666666666667,0,0.266666666666667,0.4
1,CVF-AE,30,1,298.52859264765,13.1614794460541,18.0308951389356,0,0,1.06929988641677,22.3221502555618,0.0182579564489112,0.0944444444444444,0,0,0,0,0
2,AE,30,0,1627.23243383038,19.9848323831853,22.931849041741,0.0560606060606061,0,1.30202215786203,35.6473468801876,0,0.00555555555555555,0.0333333333333333,0,0,0,0.0333333333333333
2,PSO,30,0.433333333333333,659.558691270774,23.8616943443387,27.3592968011505,0.539242424242424,0.294848484848485,1.29497865172243,20.8156144092008,0.209045226130653,0.338888888888889,0.633333333333333,0.133333333333333,0.0666666666666667,0.2,0.7
2,GWO,30,1,341.16925303279,15.7925007718224,20.2659062981774,0.147878787878788,0,1.25074069567108,5.38326821689442,0.758458961474037,0.816666666666666,0.166666666666667,0.866666666666667,0,0.933333333333333,1
2,HHO,30,0.966666666666667,357.922277321768,20.1917733640606,24.0115388357757,0.406363636363636,0.0453030303030303,1.21361645309635,12.2731531470039,0.340871021775544,0.488888888888889,0.466666666666667,0.166666666666667,0,0.433333333333333,0.8
2,ERIME,30,1,320.877524685652,17.7898606347426,22.8876866121311,0.246212121212121,0.0293939393939394,1.21508463949975,9.554912523794,0.518090452261306,0.638888888888889,0.266666666666667,0.433333333333333,0,0.566666666666667,0.766666666666667
2,MSCSO,30,1,295.013830612364,21.2139688383716,24.624998452599,0.432878787878788,0,1.16324832664861,16.116095934558,0.153433835845896,0.277777777777778,0.5,0,0,0.0666666666666667,0.566666666666667
2,CVF-AE,30,1,301.193356505197,15.9909129686309,18.2901072066933,0,0,1.15910764060205,20.0004973264349,0.0896147403685092,0.261111111111111,0,0,0,0,0
4,AE,30,0,1680.44680735679,16.76470059489,18.4636573359252,0,0,1.2311660655345,41.5238909918716,0,0,0,0,0,0,0
4,PSO,30,0.0333333333333333,1303.46404060435,15.0690017287354,19.3392664688122,0.00893939393939394,0.00651515151515152,1.28443192521122,35.4326578553976,0.0460636515912898,0.1,0,0,0.0333333333333333,0.0666666666666667,0.1
4,GWO,30,0.533333333333333,673.278573478643,13.1932947369633,18.2667865427127,0,0,1.30801775086187,2.4335032021523,0.940201005025126,0.955555555555555,0,1,0,1,1
4,HHO,30,0.233333333333333,929.546817705977,11.8456074080932,18.4490700267819,0.00303030303030303,0,1.25291333064952,4.91148595101217,0.862814070351759,0.938888888888889,0,1,0,1,1
4,ERIME,30,1,356.492803085991,12.5820219771548,18.6225640250787,0.0272727272727273,0.0254545454545455,1.3578438064737,4.86911924744153,0.828810720268007,0.861111111111111,0.0333333333333333,0.866666666666667,0,0.933333333333333,0.933333333333333
4,MSCSO,30,0.833333333333333,449.955003794996,15.9849520698561,19.6708347483855,0.0389393939393939,0.0239393939393939,1.34502686042165,5.53265383388513,0.817922948073702,0.855555555555556,0.0333333333333333,0.833333333333333,0,0.933333333333333,0.966666666666667
4,CVF-AE,30,1,350.765787688673,14.6629874147049,18.9528166724483,0.00242424242424242,0,1.24321135303785,17.8125488085123,0.346901172529313,0.505555555555556,0,0.3,0,0.3,0.3
