Scene,Algorithm,RunFile,BestFitness,Feasible,Violation,MeanZ,MaxZ,MinZ,StdZ,HighThreshold,HighAltitudeFrac,VeryHighThreshold,VeryHighAltitudeFrac,PathLength,DetourRatio,BoundaryBand,MinBoundaryDist,MeanBoundaryDist,BoundaryHugFrac,ControlPointBoundaryHugFrac,NumControlPoints,HighAltitudeFlag,BoundaryHugFlag,ExcessiveDetourFlag,ControlPointEdgeFlag,VisualReviewFlag,ObstacleFootprintFrac,MeanRoofClearance,MinRoofClearance,LowAltitudeScore
2,CVF-AE,scene2_CVF-AE_run009.mat,301.074709941712,1,0,14.9056468914745,18,12,1.26701340372225,24,0,31,0,146.507907840453,1.14979799043538,8,7.66252455445483,20.8538021298019,0.0201005025125628,0,8,0,0,0,0,0,0,NaN,NaN,15.6166981207306
2,CVF-AE,scene2_CVF-AE_run013.mat,298.868925122623,1,0,15.5459302598318,18,12,0.94356619682969,24,0,31,0,146.108892265913,1.14666650550381,8,8.01634941627,22.3732693207587,0,0,8,0,0,0,0,0,0,NaN,NaN,16.1123632801433
2,CVF-AE,scene2_CVF-AE_run007.mat,302.619962250227,1,0,15.3627653023721,18.2440247916751,11.9813621867152,1.66644332869373,24,0,31,0,147.45190951014,1.15720654085953,8,6.51848867824397,21.4868172133539,0.0301507537688442,0.333333333333333,8,0,0,0,0,0,0,NaN,NaN,16.2159790319987
2,CVF-AE,scene2_CVF-AE_run004.mat,295.547274107046,1,0,15.5177041002479,18,12,1.06997356665288,24,0,31,0,146.699111502327,1.15129856190232,8,6.59016210491188,20.0198436261903,0.0904522613065327,0.333333333333333,8,0,0,0,0,0,0,NaN,NaN,16.4699654067806
2,CVF-AE,scene2_CVF-AE_run005.mat,307.857718941039,1,0,15.2447360187254,18,12,1.1198039295451,24,0,31,0,147.21730559701,1.15536536305663,8,3.66787638151806,20.5779159210665,0.100502512562814,0.166666666666667,8,0,0,0,0,0,0,NaN,NaN,16.4934574782193
2,CVF-AE,scene2_CVF-AE_run010.mat,300.586041211239,1,0,15.8511344204525,18,12,1.0969943957623,24,0,31,0,147.650374659444,1.15876410067459,8,5.43324859254402,21.9929827362613,0.0402010050251256,0.333333333333333,8,0,0,0,0,0,0,NaN,NaN,16.652914787662
2,CVF-AE,scene2_CVF-AE_run019.mat,299.997484494315,1,0,15.7138010458034,18,12,1.26315368498719,24,0,31,0,149.685939628109,1.17473926914755,8,3.81940654609257,21.6842107513677,0.0753768844221105,0.166666666666667,8,0,0,0,0,0,0,NaN,NaN,16.6796896756593
2,CVF-AE,scene2_CVF-AE_run008.mat,303.247052436039,1,0,15.3583642210864,18,12,0.90995583597366,24,0,31,0,147.271942351951,1.15579415377491,8,4.74819582384401,20.8516321892956,0.14070351758794,0.333333333333333,8,0,0,0,0,0,0,NaN,NaN,16.715877375606
2,CVF-AE,scene2_CVF-AE_run003.mat,303.807588567584,1,0,15.9130168162747,18,12,1.26243576313518,24,0,31,0,145.972849572908,1.1455988388001,8,6.24427159434421,20.8554124607991,0.050251256281407,0.166666666666667,8,0,0,0,0,0,0,NaN,NaN,16.8294793868925
2,CVF-AE,scene2_CVF-AE_run029.mat,303.239908723306,1,0,15.5596470673131,18.5913899915945,12,1.44284363566592,24,0,31,0,149.060384793927,1.16982989802997,8,3.13234479985795,21.022499124314,0.115577889447236,0.166666666666667,8,0,0,0,0,0,0,NaN,NaN,16.9392367047731
2,CVF-AE,scene2_CVF-AE_run014.mat,305.159328541507,1,0,15.8385059093776,18,12,0.933106563528066,24,0,31,0,147.121968341811,1.15461715372065,8,6.15789897483497,20.7518716575122,0.110552763819095,0.333333333333333,8,0,0,0,0,0,0,NaN,NaN,17.0835108171623
2,CVF-AE,scene2_CVF-AE_run023.mat,300.824754693959,1,0,16.1826986194055,18,12,1.14196984923596,24,0,31,0,148.897489497457,1.16855149137402,8,4.71379322677771,19.6795860657608,0.0904522613065327,0.333333333333333,8,0,0,0,0,0,0,NaN,NaN,17.2405095376764
2,CVF-AE,scene2_CVF-AE_run011.mat,301.153546095554,1,0,16.3811982778882,18,12,1.81753218048348,24,0,31,0,147.003389073873,1.15368654044528,8,5.32016185247076,19.2008407282773,0.0703517587939698,0.333333333333333,8,0,0,0,0,0,0,NaN,NaN,17.3450825116282
