Scene,InternalScene,Baseline,CVFN,BaselineN,CVFMean,CVFStd,BaselineMean,BaselineStd,RawP,RawSignificant,RankSumStatistic,CliffsDeltaLowerBetter,SceneHolmSignificant,SceneHolmResult,SceneHolmP
1,1,AE,30,30,298.137864539111,2.78208655359356,810.325824286047,328.282889753163,3.01985935916215e-11,1,465,1,1,+,1.81191561549729e-10
1,1,PSO,30,30,298.137864539111,2.78208655359356,397.508683252934,183.827335742191,6.5277364574957e-08,1,549,0.813333333333333,1,+,1.30554729149914e-07
1,1,GWO,30,30,298.137864539111,2.78208655359356,345.369451984251,81.8961556697385,3.01985935916215e-11,1,465,1,1,+,1.81191561549729e-10
1,1,HHO,30,30,298.137864539111,2.78208655359356,450.557517163338,198.362819241478,2.60985278795585e-10,1,487,0.951111111111111,1,+,7.82955836386755e-10
1,1,ERIME,30,30,298.137864539111,2.78208655359356,322.989264095134,12.0173974372193,6.69551896550018e-11,1,473,0.982222222222222,1,+,2.67820758620007e-10
1,1,MSCSO,30,30,298.137864539111,2.78208655359356,314.345331601272,19.2806929297655,2.37682005045451e-07,1,565,0.777777777777778,1,+,2.37682005045451e-07
2,2,AE,30,30,301.201825136219,2.901869724122,1668.40423813825,421.846106869855,3.01985935916215e-11,1,465,1,1,+,1.81191561549729e-10
2,2,PSO,30,30,301.201825136219,2.901869724122,729.948994581617,434.631052838891,9.21126879371652e-05,1,650,0.588888888888889,1,+,0.000460563439685826
2,2,GWO,30,30,301.201825136219,2.901869724122,341.161120497287,38.8515934412664,0.000238848457069707,1,666,0.553333333333333,1,+,0.000955393828278828
2,2,HHO,30,30,301.201825136219,2.901869724122,395.834300530036,180.517182230101,0.000268057096804918,1,668,0.548888888888889,1,+,0.000955393828278828
2,2,ERIME,30,30,301.201825136219,2.901869724122,316.19319183287,28.5245034056777,0.297271689089307,0,844,0.157777777777778,0,=,0.297271689089307
2,2,MSCSO,30,30,301.201825136219,2.901869724122,291.167989109054,15.7347313951818,0.000654864616854615,1,1146,-0.513333333333333,1,-,0.00130972923370923
3,4,AE,30,30,349.227029913289,19.8953883191019,1653.27054260566,200.900207932275,3.01985935916215e-11,1,465,1,1,+,1.81191561549729e-10
3,4,PSO,30,30,349.227029913289,19.8953883191019,1295.45871625515,382.020606804983,3.01985935916215e-11,1,465,1,1,+,1.81191561549729e-10
3,4,GWO,30,30,349.227029913289,19.8953883191019,608.45708450729,333.179590508335,3.57080087879163e-06,1,601,0.697777777777778,1,+,1.07124026363749e-05
3,4,HHO,30,30,349.227029913289,19.8953883191019,898.343987970181,469.467061570051,8.48477290014804e-09,1,525,0.866666666666667,1,+,3.39390916005922e-08
3,4,ERIME,30,30,349.227029913289,19.8953883191019,360.234716521464,21.6703632105874,0.0241568846428126,1,762,0.34,1,+,0.0483137692856253
3,4,MSCSO,30,30,349.227029913289,19.8953883191019,402.271223187677,189.022943849173,0.403537539154086,0,858,0.126666666666667,0,=,0.403537539154086
