Scene,InternalScene,Algorithm,RunFile,SelectionTier,SelectionDistance,BestFitness,Feasible,Violation,VisualReviewFlag,HighAltitudeFlag,BoundaryHugFlag,ExcessiveDetourFlag
1,1,AE,scene1_AE_run020.mat,feasible_clean_median,0.86135607525398,363.291697968961,1,0,0,0,0,0
1,1,PSO,scene1_PSO_run009.mat,feasible_clean_median,3.44853672919851,328.483545780227,1,0,0,0,0,0
1,1,GWO,scene1_GWO_run011.mat,feasible_clean_median,9.90919101097052,332.439810318122,1,0,0,0,0,0
1,1,HHO,scene1_HHO_run024.mat,feasible_clean_median,0.306615763544471,347.234025266232,1,0,0,0,0,0
1,1,ERIME,scene1_ERIME_run023.mat,feasible_clean_median,0.19697617036752,318.57088324365,1,6.21724893790088e-15,0,0,0,0
1,1,MSCSO,scene1_MSCSO_run022.mat,feasible_clean_median,0.0228496716609925,308.893810351557,1,0,0,0,0,0
1,1,CVF-AE,scene1_CVF-AE_run027.mat,feasible_clean_median,0.17806157681099,298.150698236117,1,0,0,0,0,0
2,2,AE,scene2_AE_run012.mat,infeasible_min_violation_median,688.929487308885,1102.82407832753,0,3,0,0,0,0
2,2,PSO,scene2_PSO_run025.mat,feasible_clean_median,9.23444779454502,294.321843500823,1,0,0,0,0,0
2,2,GWO,scene2_GWO_run027.mat,feasible_flagged_median,1.0105852033455,346.270283775363,1,0,1,0,1,0
2,2,HHO,scene2_HHO_run008.mat,feasible_clean_median,8.42498576040396,350.20569050929,1,0,0,0,0,0
2,2,ERIME,scene2_ERIME_run009.mat,feasible_clean_median,1.89849829974548,301.904661387248,1,0,0,0,0,0
2,2,MSCSO,scene2_MSCSO_run022.mat,feasible_clean_median,0.0669711064720104,285.288625437225,1,0,0,0,0,0
2,2,CVF-AE,scene2_CVF-AE_run009.mat,feasible_low_altitude_best,15.6166981207306,301.074709941712,1,0,0,0,0,0
3,4,AE,scene4_AE_run027.mat,infeasible_min_violation_median,317.6119230154,1304.62899999088,0,5,0,0,0,0
3,4,PSO,scene4_PSO_run013.mat,feasible_clean_median,0,455.86900030581,1,0,0,0,0,0
3,4,GWO,scene4_GWO_run029.mat,feasible_flagged_median,0,354.691840262881,1,0,1,0,1,0
3,4,HHO,scene4_HHO_run006.mat,feasible_flagged_median,0,401.340648963764,1,0,1,0,0,0
3,4,ERIME,scene4_ERIME_run005.mat,feasible_clean_median,18.6088268569745,331.522109315885,1,1.59872115546023e-14,0,0,0,0
3,4,MSCSO,scene4_MSCSO_run002.mat,feasible_clean_median,1.68410552998353,338.363222431784,1,0,0,0,0,0
3,4,CVF-AE,scene4_CVF-AE_run005.mat,feasible_clean_median,0.771957655482481,342.050794133356,1,0,0,0,0,0
