Scene,Algorithm,Run,Seed,BestFitness,Runtime,Feasible,Violation,NEvals,FirstFeasibleIter,FirstFeasibleTime,RepairCount,RepairSuccessCount,ViabilityFieldCount,ViabilityFieldSuccessCount,WallClock,Source,PaperScene,AlgorithmOrder
1,AE,1,20270831,964.770056138498,4.503382,0,3,9030,NaN,NaN,NaN,NaN,0,0,0.0011356,formal-main,1,1
1,AE,2,20270832,604.362371511353,4.3660163,0,1,9030,NaN,NaN,NaN,NaN,0,0,0.0012226,formal-main,1,1
1,AE,3,20270833,1119.92249850256,4.388632,0,4,9030,NaN,NaN,NaN,NaN,0,0,0.0021082,formal-main,1,1
1,AE,4,20270834,354.79516955824,4.5165283,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.001272,formal-main,1,1
1,AE,5,20270835,1091.00970755465,4.4884672,0,3,9030,NaN,NaN,NaN,NaN,0,0,0.0010842,formal-main,1,1
1,AE,6,20270836,365.014410119469,4.4640776,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0010554,formal-main,1,1
1,AE,7,20270837,1070.13197761793,4.4370849,0,4,9030,NaN,NaN,NaN,NaN,0,0,0.0009358,formal-main,1,1
1,AE,8,20270838,755.515199253872,4.4229443,0,2,9030,NaN,NaN,NaN,NaN,0,0,0.0018807,formal-main,1,1
1,AE,9,20270839,1373.05865392838,4.4125835,0,5,9030,NaN,NaN,NaN,NaN,0,0,0.001822,formal-main,1,1
1,AE,10,20270840,994.888005010964,4.4313165,0,4,9030,NaN,NaN,NaN,NaN,0,0,0.0022225,formal-main,1,1
1,AE,11,20270841,361.495343561219,4.4234994,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0014007,formal-main,1,1
1,AE,12,20270842,981.829954874883,4.3876296,0,4,9030,NaN,NaN,NaN,NaN,0,0,0.001379,formal-main,1,1
1,AE,13,20270843,1027.68597228588,4.4308774,0,3,9030,NaN,NaN,NaN,NaN,0,0,0.0023909,formal-main,1,1
1,AE,14,20270844,802.643344599476,4.3963463,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0012613,formal-main,1,1
1,AE,15,20270845,353.434255988305,4.451902,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0019424,formal-main,1,1
1,AE,16,20270846,1071.06098892966,4.4215837,0,4,9030,NaN,NaN,NaN,NaN,0,0,0.0015791,formal-main,1,1
1,AE,17,20270847,1153.21082289984,4.3950548,0,4,9030,NaN,NaN,NaN,NaN,0,0,0.0014915,formal-main,1,1
1,AE,18,20270848,660.819614222831,4.3766066,0,1,9030,NaN,NaN,NaN,NaN,0,0,0.0015169,formal-main,1,1
1,AE,19,20270849,473.048009060274,4.4076529,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0017767,formal-main,1,1
1,AE,20,20270850,363.291697968961,4.3865585,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0014953,formal-main,1,1
1,AE,21,20270851,1052.29038780438,4.3967677,0,3,9030,NaN,NaN,NaN,NaN,0,0,0.0014681,formal-main,1,1
1,AE,22,20270852,1241.41406325747,4.3756077,0,4.24399855402939,9030,NaN,NaN,NaN,NaN,0,0,0.0013741,formal-main,1,1
1,AE,23,20270853,383.907270269253,4.3821796,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0012077,formal-main,1,1
1,AE,24,20270854,761.602791335153,4.3729468,0,1,9030,NaN,NaN,NaN,NaN,0,0,0.001921,formal-main,1,1
1,AE,25,20270855,1091.32166214647,4.3945186,0,4,9030,NaN,NaN,NaN,NaN,0,0,0.0021074,formal-main,1,1
1,AE,26,20270856,1171.9920863516,4.4095492,0,4,9030,NaN,NaN,NaN,NaN,0,0,0.0017675,formal-main,1,1
1,AE,27,20270857,351.162604359631,4.39832,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0014034,formal-main,1,1
1,AE,28,20270858,425.83432024846,4.3963617,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0011833,formal-main,1,1
1,AE,29,20270859,854.337636786205,4.3962717,0,3,9030,NaN,NaN,NaN,NaN,0,0,0.0017136,formal-main,1,1
1,AE,30,20270860,1033.92385243555,4.3919865,0,4,9030,NaN,NaN,NaN,NaN,0,0,0.0019171,formal-main,1,1
1,PSO,1,20270931,410.508479688738,4.2911347,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0016992,formal-main,1,2
1,PSO,2,20270932,270.633620662372,4.2781904,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0015849,formal-main,1,2
1,PSO,3,20270933,383.591251788985,4.2767617,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0018069,formal-main,1,2
1,PSO,4,20270934,1131.51377095827,4.2624107,0,4,9030,NaN,NaN,NaN,NaN,0,0,0.0017498,formal-main,1,2
1,PSO,5,20270935,302.331957245292,4.3084372,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.00194,formal-main,1,2
1,PSO,6,20270936,321.58647232183,4.2646131,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0015669,formal-main,1,2
1,PSO,7,20270937,346.730744341142,4.2848249,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0014126,formal-main,1,2
1,PSO,8,20270938,280.379653544328,4.2333791,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0013364,formal-main,1,2
1,PSO,9,20270939,328.483545780227,4.2395811,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0015182,formal-main,1,2
1,PSO,10,20270940,296.245288332732,4.2345348,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0014899,formal-main,1,2
1,PSO,11,20270941,320.195360773249,4.2426343,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0024548,formal-main,1,2
1,PSO,12,20270942,364.457510368968,4.258238,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0020164,formal-main,1,2
1,PSO,13,20270943,332.342831589366,4.2429244,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0014941,formal-main,1,2
1,PSO,14,20270944,351.591124662974,4.2364933,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0016983,formal-main,1,2
1,PSO,15,20270945,313.243392871376,4.2438384,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0021711,formal-main,1,2
1,PSO,16,20270946,706.797940505877,4.2348443,0,2,9030,NaN,NaN,NaN,NaN,0,0,0.0016818,formal-main,1,2
1,PSO,17,20270947,457.163800928268,4.2686356,0,1,9030,NaN,NaN,NaN,NaN,0,0,0.0020723,formal-main,1,2
1,PSO,18,20270948,425.391840171516,4.25065,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0009893,formal-main,1,2
1,PSO,19,20270949,338.369187147743,4.2474173,1,1.06581410364015e-13,9030,NaN,NaN,NaN,NaN,0,0,0.000994,formal-main,1,2
1,PSO,20,20270950,344.905999762296,4.2425743,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0021601,formal-main,1,2
1,PSO,21,20270951,462.925694704446,4.2396545,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0018472,formal-main,1,2
1,PSO,22,20270952,307.895406183949,4.2498524,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0023357,formal-main,1,2
1,PSO,23,20270953,309.846174113123,4.2495726,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.001887,formal-main,1,2
1,PSO,24,20270954,331.411853837369,4.2376605,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0017119,formal-main,1,2
1,PSO,25,20270955,316.58780187675,4.2290052,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.00188,formal-main,1,2
1,PSO,26,20270956,384.447074752639,4.2274569,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0016738,formal-main,1,2
