Scene,InternalScene,Algorithm,Mean,Std,Feasibility,MeanViolation,AvgNEvals,SelectedRank,VisualReviewFlagRate,HighAltitudeFlagRate,BoundaryHugFlagRate,AlgorithmOrder
1,1,AE,810.325824286047,328.282889753163,0.333333333333333,2.17479995180098,9030,7,0.666666666666667,0.666666666666667,0,1
1,1,PSO,397.508683252934,183.827335742191,0.866666666666667,0.333333333333339,9030,5,0.733333333333333,0.566666666666667,0.0333333333333333,2
1,1,GWO,345.369451984251,81.8961556697385,0.933333333333333,0.1,9030,4,0.9,0,0.466666666666667,3
1,1,HHO,450.557517163338,198.362819241478,0.8,0.5,11484.2666666667,6,0.6,0.266666666666667,0.333333333333333,4
1,1,ERIME,322.989264095134,12.0173974372193,1,9.6219328800847e-15,9483,3,0.7,0.333333333333333,0.266666666666667,5
1,1,MSCSO,314.345331601272,19.2806929297655,1,0,21449.0666666667,2,0.533333333333333,0.333333333333333,0.133333333333333,6
1,1,CVF-AE,298.137864539111,2.78208655359356,1,0,9568.9,1,0,0,0,7
2,2,AE,1668.40423813825,421.846106869855,0,7.57116481314126,9030,7,0,0,0,1
2,2,PSO,729.948994581617,434.631052838891,0.433333333333333,2.2,9030,6,0.533333333333333,0.533333333333333,0.133333333333333,2
2,2,GWO,341.161120497287,38.8515934412664,1,0,9030,4,1,0.0666666666666667,0.9,3
2,2,HHO,395.834300530036,180.517182230101,0.9,0.266666666666667,11451.7,5,0.766666666666667,0.4,0.333333333333333,4
2,2,ERIME,316.19319183287,28.5245034056777,1,1.80596278672359e-15,9484.7,3,0.666666666666667,0.233333333333333,0.366666666666667,5
2,2,MSCSO,291.167989109054,15.7347313951818,1,0,21461.7333333333,1,0.633333333333333,0.5,0.0333333333333333,6
2,2,CVF-AE,301.201825136219,2.901869724122,1,0,9554.2,2,0,0,0,7
3,4,AE,1653.27054260566,200.900207932275,0,7.66666666666667,9030,7,0,0,0,1
3,4,PSO,1295.45871625515,382.020606804983,0.0333333333333333,5.2,9030,6,0.1,0.0333333333333333,0,2
3,4,GWO,608.45708450729,333.179590508335,0.633333333333333,1.16666666666667,9030,4,1,0,0.966666666666667,3
3,4,HHO,898.343987970181,469.467061570051,0.366666666666667,3.16666666666667,11474.9666666667,5,0.966666666666667,0,0.833333333333333,4
3,4,ERIME,360.234716521464,21.6703632105874,1,3.07901852162711e-15,9481.8,2,0.966666666666667,0.0333333333333333,0.966666666666667,5
3,4,MSCSO,402.271223187677,189.022943849173,0.933333333333333,0.266666666666667,21444.7666666667,3,0.666666666666667,0,0.6,6
3,4,CVF-AE,349.227029913289,19.8953883191019,1,0,9355.2,1,0.2,0,0.166666666666667,7
