Scene,InternalScene,Baseline,CVFN,BaselineN,CVFMean,CVFStd,BaselineMean,BaselineStd,RawP,RawSignificant,RankSumStatistic,CliffsDeltaLowerBetter,SceneHolmSignificant,SceneHolmResult,SceneHolmP
1,1,AE,30,30,298.52859264765,2.62109732744077,656.197238933963,325.911264212618,3.01985935916215e-11,1,465,1,1,+,1.81191561549729e-10
1,1,PSO,30,30,298.52859264765,2.62109732744077,423.34905535009,216.231282580491,6.5277364574957e-08,1,549,0.813333333333333,1,+,1.30554729149914e-07
1,1,GWO,30,30,298.52859264765,2.62109732744077,335.782620422041,32.9433062545141,3.01985935916215e-11,1,465,1,1,+,1.81191561549729e-10
1,1,HHO,30,30,298.52859264765,2.62109732744077,361.745405168329,71.7330439135099,7.3890825180224e-11,1,474,0.98,1,+,2.95563300720896e-10
1,1,ERIME,30,30,298.52859264765,2.62109732744077,318.54400426934,15.411360815182,2.19473835437512e-08,1,536,0.842222222222222,1,+,6.58421506312535e-08
1,1,MSCSO,30,30,298.52859264765,2.62109732744077,307.858027766821,14.8040989320095,0.0635326507348074,0,789,0.28,0,=,0.0635326507348074
2,2,AE,30,30,301.193356505197,2.82531100483128,1627.23243383038,330.262237114271,3.01985935916215e-11,1,465,1,1,+,1.81191561549729e-10
2,2,PSO,30,30,301.193356505197,2.82531100483128,659.558691270774,303.228871304922,1.19368010017254e-06,1,586,0.731111111111111,1,+,5.96840050086269e-06
2,2,GWO,30,30,301.193356505197,2.82531100483128,341.16925303279,41.4608355588134,0.000498181672334235,1,679,0.524444444444444,1,+,0.00168700338732126
2,2,HHO,30,30,301.193356505197,2.82531100483128,357.922277321768,149.359786320396,0.251880824661912,0,837,0.173333333333333,0,=,0.251880824661912
2,2,ERIME,30,30,301.193356505197,2.82531100483128,320.877524685652,24.5105649519012,0.000421750846830314,1,676,0.531111111111111,1,+,0.00168700338732126
2,2,MSCSO,30,30,301.193356505197,2.82531100483128,295.013830612364,19.1300730851302,0.00275484821205465,1,1118,-0.451111111111111,1,-,0.0055096964241093
3,4,AE,30,30,350.765787688673,23.327180186935,1680.44680735679,208.681861643471,3.01985935916215e-11,1,465,1,1,+,1.81191561549729e-10
3,4,PSO,30,30,350.765787688673,23.327180186935,1303.46404060435,388.297882328289,3.01985935916215e-11,1,465,1,1,+,1.81191561549729e-10
3,4,GWO,30,30,350.765787688673,23.327180186935,673.278573478642,376.600243256583,4.08395345182804e-05,1,637,0.617777777777778,1,+,0.000122518603554841
3,4,HHO,30,30,350.765787688673,23.327180186935,929.546817705977,437.416209462421,8.48477290014804e-09,1,525,0.866666666666667,1,+,3.39390916005922e-08
3,4,ERIME,30,30,350.765787688673,23.327180186935,356.492803085991,24.6009750032773,0.290472149493835,0,843,0.16,0,=,0.290472149493835
3,4,MSCSO,30,30,350.765787688673,23.327180186935,449.955003794996,198.882022078085,0.0962628310361518,0,802,0.251111111111111,0,=,0.192525662072304
