Scene,InternalScene,Algorithm,RunFile,SelectionTier,SelectionDistance,BestFitness,Feasible,Violation,VisualReviewFlag,HighAltitudeFlag,BoundaryHugFlag,ExcessiveDetourFlag
1,1,AE,scene1_AE_run008.mat,feasible_clean_median,28.5019622227435,348.477771042019,1,0,0,0,0,0
1,1,PSO,scene1_PSO_run013.mat,feasible_clean_median,27.541911849542,311.975132872525,1,0,0,0,0,0
1,1,GWO,scene1_GWO_run023.mat,feasible_clean_median,11.05340423171,315.174102898681,1,0,0,0,0,0
1,1,HHO,scene1_HHO_run024.mat,feasible_clean_median,0.357033184460022,345.360953305666,1,0,0,0,0,0
1,1,ERIME,scene1_ERIME_run024.mat,feasible_clean_median,0.747870123780956,318.552529907212,1,4.44089209850063e-14,0,0,0,0
1,1,MSCSO,scene1_MSCSO_run029.mat,feasible_clean_median,0.29146851245747,306.845214602314,1,0,0,0,0,0
1,1,CVF-AE,scene1_CVF-AE_run012.mat,feasible_clean_median,0.074440594958503,298.450235439579,1,0,0,0,0,0
2,2,AE,scene2_AE_run002.mat,infeasible_min_violation_median,631.083270017365,1083.31581589127,0,3,0,0,0,0
2,2,PSO,scene2_PSO_run020.mat,feasible_clean_median,0,324.587912047049,1,0,0,0,0,0
2,2,GWO,scene2_GWO_run017.mat,feasible_flagged_median,11.664500652174,326.603687350061,1,0,1,1,0,0
2,2,HHO,scene2_HHO_run018.mat,feasible_clean_median,12.411061312785,296.086131941463,1,0,0,0,0,0
2,2,ERIME,scene2_ERIME_run030.mat,feasible_clean_median,0.301389334839996,317.907302075573,1,0,0,0,0,0
2,2,MSCSO,scene2_MSCSO_run006.mat,feasible_clean_median,0.207075570495988,288.570104711787,1,0,0,0,0,0
2,2,CVF-AE,scene2_CVF-AE_run015.mat,feasible_clean_median,0.0422774937949839,300.757951900533,1,0,0,0,0,0
3,4,AE,scene4_AE_run015.mat,infeasible_min_violation_median,206.052687367165,1425.66407399916,0,5,0,0,0,0
3,4,PSO,scene4_PSO_run021.mat,feasible_flagged_median,0,437.434026319242,1,0,1,0,0,0
3,4,GWO,scene4_GWO_run002.mat,feasible_flagged_median,0.748698364757502,349.711512277501,1,0,1,0,1,0
3,4,HHO,scene4_HHO_run028.mat,feasible_flagged_median,0,354.01214709202,1,0,1,0,1,0
3,4,ERIME,scene4_ERIME_run018.mat,feasible_clean_median,2.58021144065003,345.310232989901,1,6.21724893790088e-15,0,0,0,0
3,4,MSCSO,scene4_MSCSO_run021.mat,feasible_clean_median,19.183344330361,322.558396660607,1,0,0,0,0,0
3,4,CVF-AE,scene4_CVF-AE_run020.mat,feasible_clean_median,1.86606308787299,345.034935564652,1,0,0,0,0,0
