Scene,Algorithm,Run,Seed,BestFitness,Runtime,Feasible,Violation,NEvals,FirstFeasibleIter,FirstFeasibleTime,RepairCount,RepairSuccessCount,ViabilityFieldCount,ViabilityFieldSuccessCount,WallClock,Source,PaperScene,AlgorithmOrder
1,AE,1,20270808,558.928605393085,5.9726131,1,0,9030,NaN,NaN,NaN,NaN,0,0,6.0864524,unified-rerun,1,1
1,AE,2,20270809,1279.51893193315,5.7159854,0,4,9030,NaN,NaN,NaN,NaN,0,0,5.7391764,unified-rerun,1,1
1,AE,3,20270810,376.586336169026,5.7536306,1,0,9030,NaN,NaN,NaN,NaN,0,0,5.7768765,unified-rerun,1,1
1,AE,4,20270811,402.103765992682,5.5385699,1,0,9030,NaN,NaN,NaN,NaN,0,0,5.563831,unified-rerun,1,1
1,AE,5,20270812,498.153880940116,5.6570599,1,0,9030,NaN,NaN,NaN,NaN,0,0,5.6858903,unified-rerun,1,1
1,AE,6,20270813,360.64451388989,5.6815847,1,0,9030,NaN,NaN,NaN,NaN,0,0,5.7032941,unified-rerun,1,1
1,AE,7,20270814,377.373130360499,5.7417302,1,0,9030,NaN,NaN,NaN,NaN,0,0,5.7619487,unified-rerun,1,1
1,AE,8,20270815,348.477771042019,5.4853025,1,0,9030,NaN,NaN,NaN,NaN,0,0,5.5086632,unified-rerun,1,1
1,AE,9,20270816,763.08559902645,5.4275343,0,1,9030,NaN,NaN,NaN,NaN,0,0,5.4483204,unified-rerun,1,1
1,AE,10,20270817,779.524151249082,5.4152876,0,1,9030,NaN,NaN,NaN,NaN,0,0,5.4326133,unified-rerun,1,1
1,AE,11,20270818,368.659326793967,5.427645,1,0,9030,NaN,NaN,NaN,NaN,0,0,5.4454432,unified-rerun,1,1
1,AE,12,20270819,536.440023405479,5.368832,1,0,9030,NaN,NaN,NaN,NaN,0,0,5.3880878,unified-rerun,1,1
1,AE,13,20270820,1004.84026664215,5.5418245,0,4,9030,NaN,NaN,NaN,NaN,0,0,5.5591042,unified-rerun,1,1
1,AE,14,20270821,439.362631062512,5.5407672,1,0,9030,NaN,NaN,NaN,NaN,0,0,5.5570582,unified-rerun,1,1
1,AE,15,20270822,1267.43116621474,5.4242195,0,5,9030,NaN,NaN,NaN,NaN,0,0,5.4417642,unified-rerun,1,1
1,AE,16,20270823,366.589208800534,5.3683204,1,0,9030,NaN,NaN,NaN,NaN,0,0,5.3873321,unified-rerun,1,1
1,AE,17,20270824,448.835215366402,5.5539665,1,0,9030,NaN,NaN,NaN,NaN,0,0,5.5721457,unified-rerun,1,1
1,AE,18,20270825,437.564333580081,6.2322123,1,0,9030,NaN,NaN,NaN,NaN,0,0,6.2526082,unified-rerun,1,1
1,AE,19,20270826,361.45326724139,5.4774233,1,0,9030,NaN,NaN,NaN,NaN,0,0,5.4965766,unified-rerun,1,1
1,AE,20,20270827,1131.47541718773,5.6373312,0,4,9030,NaN,NaN,NaN,NaN,0,0,5.6581349,unified-rerun,1,1
1,AE,21,20270828,586.906851980242,5.4819813,1,0,9030,NaN,NaN,NaN,NaN,0,0,5.5019353,unified-rerun,1,1
1,AE,22,20270829,1058.66881459688,5.6321886,0,4,9030,NaN,NaN,NaN,NaN,0,0,5.6501504,unified-rerun,1,1
1,AE,23,20270830,363.28776814809,5.5040794,1,0,9030,NaN,NaN,NaN,NaN,0,0,5.5233081,unified-rerun,1,1
1,AE,24,20270831,964.770056138498,5.5670362,0,3,9030,NaN,NaN,NaN,NaN,0,0,5.5857927,unified-rerun,1,1
1,AE,25,20270832,604.362371511353,5.578973,0,1,9030,NaN,NaN,NaN,NaN,0,0,5.5986048,unified-rerun,1,1
1,AE,26,20270833,1119.92249850256,5.5578509,0,4,9030,NaN,NaN,NaN,NaN,0,0,5.5778074,unified-rerun,1,1
1,AE,27,20270834,354.79516955824,5.5266215,1,0,9030,NaN,NaN,NaN,NaN,0,0,5.5469262,unified-rerun,1,1
1,AE,28,20270835,1091.00970755465,5.876634,0,3,9030,NaN,NaN,NaN,NaN,0,0,5.8969875,unified-rerun,1,1
1,AE,29,20270836,365.014410119469,8.771729,1,0,9030,NaN,NaN,NaN,NaN,0,0,8.8054828,unified-rerun,1,1
1,AE,30,20270837,1070.13197761793,8.1493745,0,4,9030,NaN,NaN,NaN,NaN,0,0,8.1766447,unified-rerun,1,1
1,PSO,1,20270908,430.240392242059,7.6992817,1,0,9030,NaN,NaN,NaN,NaN,0,0,7.7358049,unified-rerun,1,2
1,PSO,2,20270909,929.907361583664,8.1478466,0,4,9030,NaN,NaN,NaN,NaN,0,0,8.1809395,unified-rerun,1,2
1,PSO,3,20270910,361.389259830161,9.6796935,1,0,9030,NaN,NaN,NaN,NaN,0,0,9.7157462,unified-rerun,1,2
1,PSO,4,20270911,486.564973719733,8.6478086,1,0,9030,NaN,NaN,NaN,NaN,0,0,8.6857985,unified-rerun,1,2
1,PSO,5,20270912,374.227695124645,9.4419238,1,0,9030,NaN,NaN,NaN,NaN,0,0,9.4882929,unified-rerun,1,2
1,PSO,6,20270913,887.236971471526,10.6600442,0,2,9030,NaN,NaN,NaN,NaN,0,0,10.6891649,unified-rerun,1,2
1,PSO,7,20270914,303.307152320442,11.1587422,1,0,9030,NaN,NaN,NaN,NaN,0,0,11.1896652,unified-rerun,1,2
1,PSO,8,20270915,374.55999504309,10.8845237,1,0,9030,NaN,NaN,NaN,NaN,0,0,10.917652,unified-rerun,1,2
1,PSO,9,20270916,299.47228167019,11.4873296,1,0,9030,NaN,NaN,NaN,NaN,0,0,11.5277486,unified-rerun,1,2
