Seed,TemplateOn_BestFitness,TemplateOn_Feasible,TemplateOn_Violation,TemplateOn_NEvals,TemplateOn_ViabilityFieldCount,TemplateOff_BestFitness,TemplateOff_Feasible,TemplateOff_Violation,TemplateOff_NEvals,TemplateOff_ViabilityFieldCount,OffMinusOnFitness,OffMinusOnViolation
20300812,328.927072492543,1,0,9445,67,336.055814109394,1,0,9744,412,7.12874161685102,0
20300813,326.997854430755,1,0,9369,94,350.104475557239,1,0,9618,339,23.106621126484,0
20300814,341.689597608708,1,0,9318,81,520.58065187458,0,1,9837,559,178.891054265872,1
20300815,330.662094818727,1,0,9378,96,335.982212569177,1,0,9468,138,5.32011775045004,0
20300816,341.145578366871,1,0,9372,94,340.132194642504,1,0,9764,427,-1.01338372436703,0
20300817,320.903025814996,1,0,9377,64,322.460570135659,1,0,9611,388,1.557544320663,0
20300818,333.72815713559,1,0,9355,88,343.537193132635,1,0,9869,467,9.80903599704504,0
20300819,337.371596283349,1,0,9389,89,339.96241657043,1,0,9709,348,2.59082028708099,0
20300820,333.073230155718,1,0,9370,91,1083.78253847829,0,5,9937,573,750.709308322572,5
20300821,328.976285316524,1,0,9402,77,355.718400018709,1,0,9503,293,26.742114702185,0
20300822,387.303846968043,1,0,9287,94,331.850982844644,1,0,9568,303,-55.452864123399,0
20300823,349.44816424066,1,0,9353,89,510.980168301544,0,1,9821,580,161.532004060884,1
20300824,344.708007374727,1,0,9364,82,322.074337527922,1,0,9784,498,-22.633669846805,0
20300825,316.489584328868,1,0,9420,64,1234.44061929882,0,6,9822,561,917.951034969952,6
20300826,336.870094131577,1,0,9331,98,341.405904794239,1,0,9644,360,4.53581066266202,0
20300827,382.986925107595,1,0,9334,100,323.600135585349,1,0,9555,139,-59.386789522246,0
20300828,372.958922340862,1,0,9391,86,310.537761513441,1,0,9513,102,-62.421160827421,0
20300829,348.237828519786,1,0,9342,87,312.52663610538,1,0,9552,93,-35.711192414406,0
20300830,343.970555158979,1,0,9333,100,337.402489863507,1,0,9470,235,-6.56806529547197,0
20300831,324.949043605529,1,0,9377,98,351.211906524185,1,0,9405,216,26.262862918656,0
20300832,338.776376881071,1,0,9339,85,315.711296264819,1,0,9555,91,-23.065080616252,0
20300833,327.660608225121,1,0,9395,98,319.250304923855,1,0,9592,157,-8.41030330126597,0
20300834,349.67183016988,1,0,9380,97,988.568131373355,0,4,9850,543,638.896301203475,4
20300835,354.138149856711,1,0,9374,99,1152.31623297201,0,4,10034,590,798.178083115299,4
20300836,323.906539106562,1,0,9365,77,344.703995209922,1,0,9456,253,20.79745610336,0
20300837,375.33902481656,1,0,9351,96,344.836783532084,1,0,9855,511,-30.502241284476,0
20300838,347.231244890087,1,0,9326,94,350.986554885929,1,0,9581,323,3.75530999584203,0
20300839,375.042979323877,1,0,9284,94,633.577576538137,0,2,9843,525,258.53459721426,2
20300840,360.756179151788,1,0,9405,98,851.27987206666,0,3,9885,560,490.523692914872,3
20300841,343.366372467433,1,0,9354,89,309.813357433443,1,0,9584,67,-33.55301503399,0
