Scene,Algorithm,Run,Seed,BestFitness,Runtime,Feasible,Violation,NEvals,FirstFeasibleIter,FirstFeasibleTime,RepairCount,RepairSuccessCount,ViabilityFieldCount,ViabilityFieldSuccessCount,WallClock
4,CVF-AE,1,20300812,336.055814109394,8.5844742,1,0,9744,251,7.2916735,302,111,412,369,8.5883068
4,CVF-AE,2,20300813,350.104475557239,7.703898,1,0,9618,159,4.1889815,249,79,339,295,7.7221084
4,CVF-AE,3,20300814,520.58065187458,8.1791231,0,1,9837,NaN,NaN,248,59,559,460,8.1813109
4,CVF-AE,4,20300815,335.982212569177,7.6110207,1,0,9468,73,1.7128443,300,149,138,115,7.6123597
4,CVF-AE,5,20300816,340.132194642504,8.2221254,1,0,9764,277,7.5744673,307,79,427,402,8.2234821
4,CVF-AE,6,20300817,322.460570135659,7.7741529,1,0,9611,238,6.2197727,193,66,388,328,7.7753537
4,CVF-AE,7,20300818,343.537193132635,8.5044803,1,0,9869,255,7.2012318,372,119,467,429,8.5056565
4,CVF-AE,8,20300819,339.96241657043,7.9762942,1,0,9709,174,4.6739991,331,154,348,297,7.9774142
4,CVF-AE,9,20300820,1083.78253847829,8.4220212,0,5,9937,NaN,NaN,334,132,573,478,8.4230729
4,CVF-AE,10,20300821,355.718400018709,7.2690436,1,0,9503,147,3.6326504,180,64,293,241,7.2702235
4,CVF-AE,11,20300822,331.850982844644,7.6480836,1,0,9568,173,4.4369415,235,84,303,273,7.649128
4,CVF-AE,12,20300823,510.980168301544,8.1931286,0,1,9821,NaN,NaN,211,42,580,483,8.1941933
4,CVF-AE,13,20300824,322.074337527922,8.0900566,1,0,9784,255,6.9353414,256,76,498,431,8.0911829
4,CVF-AE,14,20300825,1234.44061929882,7.9903905,0,6,9822,NaN,NaN,231,69,561,457,7.9918349
4,CVF-AE,15,20300826,341.405904794239,7.6534892,1,0,9644,178,4.6099169,254,94,360,327,7.6545464
4,CVF-AE,16,20300827,323.600135585349,7.7466523,1,0,9555,63,1.5280854,386,239,139,112,7.7477828
4,CVF-AE,17,20300828,310.537761513441,8.2350506,1,0,9513,107,2.4728289,381,257,102,90,8.2364203
4,CVF-AE,18,20300829,312.52663610538,14.3145036,1,0,9552,50,1.9610794,429,282,93,76,14.3161581
4,CVF-AE,19,20300830,337.402489863507,12.7103208,1,0,9470,162,7.0262279,205,44,235,204,0.0031997
4,CVF-AE,20,20300831,351.211906524185,12.2224963,1,0,9405,179,7.2846375,159,52,216,180,12.2242137
4,CVF-AE,21,20300832,315.711296264819,14.2865161,1,0,9555,54,2.0641674,434,284,91,73,14.2881199
4,CVF-AE,22,20300833,319.250304923855,14.3213916,1,0,9592,80,3.3865569,405,255,157,131,14.3232679
4,CVF-AE,23,20300834,988.568131373355,15.3003008,0,4,9850,NaN,NaN,277,57,543,470,15.3019272
4,CVF-AE,24,20300835,1152.31623297201,16.9171057,0,4,10034,NaN,NaN,414,254,590,537,16.9188226
4,CVF-AE,25,20300836,344.703995209922,12.5421277,1,0,9456,125,5.3801818,173,63,253,186,12.5436744
4,CVF-AE,26,20300837,344.836783532084,15.4834382,1,0,9855,271,14.0968822,314,116,511,440,15.4850313
4,CVF-AE,27,20300838,350.986554885929,13.5366395,1,0,9581,158,7.4074955,228,82,323,265,13.5382636
4,CVF-AE,28,20300839,633.577576538137,15.3447072,0,2,9843,NaN,NaN,288,91,525,412,15.346328
4,CVF-AE,29,20300840,851.27987206666,15.5874218,0,3,9885,NaN,NaN,295,104,560,492,15.5892864
4,CVF-AE,30,20300841,309.813357433443,15.0489731,1,0,9584,53,2.0249816,487,334,67,49,15.0505636
