Scene,Algorithm,Run,Seed,BestFitness,Runtime,Feasible,Violation,NEvals,FirstFeasibleIter,FirstFeasibleTime,RepairCount,RepairSuccessCount,ViabilityFieldCount,ViabilityFieldSuccessCount,WallClock
4,CVF-AE,1,20300812,328.927072492543,7.3408809,1,0,9445,0,0.127611,348,198,67,49,0.004117
4,CVF-AE,2,20300813,326.997854430755,6.5612922,1,0,9369,0,0.0410835,245,155,94,56,0.0020119
4,CVF-AE,3,20300814,341.689597608708,6.6455187,1,0,9318,0,0.0300619,207,129,81,50,0.002607
4,CVF-AE,4,20300815,330.662094818727,6.7043248,1,0,9378,0,0.026903,252,160,96,63,0.0018549
4,CVF-AE,5,20300816,341.145578366871,6.6362184,1,0,9372,0,0.0312723,248,156,94,65,0.0027648
4,CVF-AE,6,20300817,320.903025814996,6.742038,1,0,9377,0,0.0180941,283,181,64,47,0.0017014
4,CVF-AE,7,20300818,333.72815713559,6.4972372,1,0,9355,0,0.0183719,237,165,88,69,0.0014946
4,CVF-AE,8,20300819,337.371596283349,6.9995795,1,0,9389,0,0.0207511,270,157,89,59,0.0016892
4,CVF-AE,9,20300820,333.073230155718,6.6314379,1,0,9370,0,0.02367,249,204,91,62,0.0017637
4,CVF-AE,10,20300821,328.976285316524,6.9979186,1,0,9402,0,0.0222898,295,182,77,62,0.0016828
4,CVF-AE,11,20300822,387.303846968043,6.5124692,1,0,9287,0,0.021128,163,102,94,65,0.0014789
4,CVF-AE,12,20300823,349.44816424066,6.9518161,1,0,9353,0,0.0235389,234,141,89,65,0.0012817
4,CVF-AE,13,20300824,344.708007374727,6.9375427,1,0,9364,0,0.0185878,252,137,82,57,0.0014129
4,CVF-AE,14,20300825,316.489584328868,7.0216836,1,0,9420,0,0.0206735,326,212,64,50,0.0013309
4,CVF-AE,15,20300826,336.870094131577,6.351947,1,0,9331,0,0.0222848,203,163,98,61,0.0012158
4,CVF-AE,16,20300827,382.986925107595,6.4253008,1,0,9334,0,0.0241046,204,165,100,67,0.0013314
4,CVF-AE,17,20300828,372.958922340862,6.5021595,1,0,9391,0,0.0225276,275,252,86,51,0.0012233
4,CVF-AE,18,20300829,348.237828519786,6.4212544,1,0,9342,0,0.0203005,225,178,87,61,0.0013532
4,CVF-AE,19,20300830,343.970555158979,6.4735385,1,0,9333,0,0.0185039,203,137,100,63,0.0011744
4,CVF-AE,20,20300831,324.949043605529,6.8594554,1,0,9377,0,0.0177355,249,167,98,73,0.0012539
4,CVF-AE,21,20300832,338.776376881071,6.3059028,1,0,9339,0,0.0234428,224,170,85,56,0.0015796
4,CVF-AE,22,20300833,327.660608225121,6.8620046,1,0,9395,0,0.0187565,267,206,98,72,0.0014804
4,CVF-AE,23,20300834,349.67183016988,6.8021812,1,0,9380,0,0.0237413,253,164,97,70,0.0012696
4,CVF-AE,24,20300835,354.138149856711,6.6582096,1,0,9374,0,0.020866,245,191,99,66,0.0011679
4,CVF-AE,25,20300836,323.906539106562,6.6917306,1,0,9365,0,0.0230696,258,183,77,56,0.0012265
4,CVF-AE,26,20300837,375.33902481656,6.6952987,1,0,9351,0,0.0190115,225,168,96,74,0.0011256
4,CVF-AE,27,20300838,347.231244890087,7.3747232,1,0,9326,0,0.1045589,202,119,94,67,7.4429502
4,CVF-AE,28,20300839,375.042979323877,6.6691699,1,0,9284,0,0.022625,160,98,94,56,0.0015699
4,CVF-AE,29,20300840,360.756179151788,7.437881,1,0,9405,0,0.0292378,277,168,98,75,7.4435869
4,CVF-AE,30,20300841,343.366372467433,7.0955085,1,0,9354,0,0.0258942,235,131,89,51,7.098986
